Date,Close
2017-01-03,28.93
2017-01-04,29.05
2017-01-05,28.7
2017-01-06,28.7
2017-01-09,28.54
2017-01-10,28.9
2017-01-11,29.03
2017-01-12,29.0
2017-01-13,29.41
2017-01-17,28.84
2017-01-18,29.32
2017-01-19,28.96
2017-01-20,29.19
2017-01-23,29.09
2017-01-24,29.65
2017-01-25,30.44
2017-01-26,30.05
2017-01-27,30.18
2017-01-30,29.83
2017-01-31,29.43
2017-02-01,29.24
2017-02-02,28.85
2017-02-03,29.7
2017-02-06,29.82
2017-02-07,29.32
2017-02-08,29.64
2017-02-09,30.21
2017-02-10,30.77
2017-02-13,30.86
2017-02-14,30.62
2017-02-15,30.89
2017-02-16,30.81
2017-02-17,30.79
2017-02-21,30.74
2017-02-22,30.56
2017-02-23,30.24
2017-02-24,30.58
2017-02-27,30.82
2017-02-28,30.59
2017-03-01,31.52
2017-03-02,30.71
2017-03-03,30.44
2017-03-06,30.29
2017-03-07,30.02
2017-03-08,29.89
2017-03-09,29.53
2017-03-10,29.82
2017-03-13,29.77
2017-03-14,29.3
2017-03-15,29.45
2017-03-16,29.27
2017-03-17,29.12
2017-03-20,28.83
2017-03-21,28.3
2017-03-22,28.33
2017-03-23,28.43
2017-03-24,28.24
2017-03-27,28.18
2017-03-28,28.67
2017-03-29,28.47
2017-03-30,28.63
2017-03-31,28.52
2017-04-03,28.16
2017-04-04,28.19
2017-04-05,27.89
2017-04-06,27.98
2017-04-07,27.75
2017-04-10,28.16
2017-04-11,27.99
2017-04-12,27.35
2017-04-13,26.87
2017-04-17,27.4
2017-04-18,27.23
2017-04-19,27.27
2017-04-20,27.84
2017-04-21,28.11
2017-04-24,28.76
2017-04-25,28.69
2017-04-26,29.04
2017-04-27,30.07
2017-04-28,29.51
2017-05-01,29.41
2017-05-02,29.45
2017-05-03,29.24
2017-05-04,29.08
2017-05-05,28.81
2017-05-08,28.47
2017-05-09,28.38
2017-05-10,28.29
2017-05-11,28.0
2017-05-12,28.0
2017-05-15,28.17
2017-05-16,28.43
2017-05-17,27.79
2017-05-18,28.39
2017-05-19,28.66
2017-05-22,28.93
2017-05-23,29.27
2017-05-24,29.65
2017-05-25,29.92
2017-05-26,29.69
2017-05-30,29.83
2017-05-31,29.77
2017-06-01,30.0
2017-06-02,30.09
2017-06-05,30.46
2017-06-06,30.64
2017-06-07,31.19
2017-06-08,31.25
2017-06-09,31.3
2017-06-12,31.64
2017-06-13,31.82
2017-06-14,31.39
2017-06-15,31.41
2017-06-16,31.57
2017-06-19,31.64
2017-06-20,30.89
2017-06-21,30.72
2017-06-22,30.48
2017-06-23,30.71
2017-06-26,30.82
2017-06-27,30.95
2017-06-28,31.91
2017-06-29,31.67
2017-06-30,31.75
2017-07-03,32.27
2017-07-05,32.54
2017-07-06,32.29
2017-07-07,32.61
2017-07-10,32.72
2017-07-11,32.53
2017-07-12,33.01
2017-07-13,33.08
2017-07-14,33.33
2017-07-17,33.12
2017-07-18,32.77
2017-07-19,32.71
2017-07-20,32.38
2017-07-21,32.48
2017-07-24,32.88
2017-07-25,33.31
2017-07-26,33.47
2017-07-27,32.13
2017-07-28,32.68
2017-07-31,31.97
2017-08-01,31.48
2017-08-02,31.43
2017-08-03,31.53
2017-08-04,32.07
2017-08-07,32.13
2017-08-08,32.25
2017-08-09,32.35
2017-08-10,31.76
2017-08-11,32.09
2017-08-14,32.58
2017-08-15,32.53
2017-08-16,32.29
2017-08-17,31.81
2017-08-18,31.6
2017-08-21,31.27
2017-08-22,31.69
2017-08-23,31.25
2017-08-24,31.2
2017-08-25,31.81
2017-08-28,32.41
2017-08-29,33.05
2017-08-30,33.38
2017-08-31,33.3
2017-09-01,33.4
2017-09-05,33.41
2017-09-06,33.37
2017-09-07,33.41
2017-09-08,33.98
2017-09-11,33.99
2017-09-12,33.94
2017-09-13,33.54
2017-09-14,33.33
2017-09-15,33.44
2017-09-18,33.83
2017-09-19,34.15
2017-09-20,34.64
2017-09-21,34.8
2017-09-22,35.27
2017-09-25,35.6
2017-09-26,35.85
2017-09-27,36.28
2017-09-28,36.25
2017-09-29,36.7
2017-10-02,36.56
2017-10-03,36.33
2017-10-04,36.01
2017-10-05,36.0
2017-10-06,36.26
2017-10-09,36.27
2017-10-10,36.12
2017-10-11,36.14
2017-10-12,36.47
2017-10-13,35.83
2017-10-16,36.08
2017-10-17,35.98
2017-10-18,36.55
2017-10-19,36.88
2017-10-20,37.5
2017-10-23,37.27
2017-10-24,37.44
2017-10-25,37.01
2017-10-26,39.08
2017-10-27,41.28
2017-10-30,40.2
2017-10-31,40.38
2017-11-01,39.99
2017-11-02,40.48
2017-11-03,40.34
2017-11-06,40.21
2017-11-07,40.41
2017-11-08,40.32
2017-11-09,39.7
2017-11-10,39.63
2017-11-13,39.41
2017-11-14,39.68
2017-11-15,39.11
2017-11-16,39.7
2017-11-17,39.66
2017-11-20,40.14
2017-11-21,41.07
2017-11-22,41.09
2017-11-24,41.02
2017-11-27,41.11
2017-11-28,41.62
2017-11-29,42.35
2017-11-30,43.08
2017-12-01,42.47
2017-12-04,42.58
2017-12-05,42.43
2017-12-06,42.86
2017-12-07,43.21
2017-12-08,43.5
2017-12-11,42.87
2017-12-12,43.02
2017-12-13,43.0
2017-12-14,42.7
2017-12-15,43.14
2017-12-18,43.1
2017-12-19,43.26
2017-12-20,43.11
2017-12-21,43.19
2017-12-22,44.23
2017-12-26,44.2
2017-12-27,44.54
2017-12-28,44.26
2017-12-29,43.85
2018-01-02,44.81
2018-01-03,44.86
2018-01-04,45.12
2018-01-05,45.53
2018-01-08,45.99
2018-01-09,46.49
2018-01-10,45.96
2018-01-11,46.93
2018-01-12,47.53
2018-01-16,47.39
2018-01-17,48.2
2018-01-18,48.63
2018-01-19,49.32
2018-01-22,49.7
2018-01-23,49.74
2018-01-24,49.43
2018-01-25,49.55
2018-01-26,49.97
2018-01-29,49.32
2018-01-30,48.93
2018-01-31,48.82
2018-02-01,49.08
2018-02-02,48.36
2018-02-05,46.42
2018-02-06,46.8
2018-02-07,47.34
2018-02-08,43.9
2018-02-09,43.38
2018-02-12,44.02
2018-02-13,45.2
2018-02-14,46.17
2018-02-15,45.48
2018-02-16,45.55
2018-02-20,45.08
2018-02-21,45.53
2018-02-22,46.38
2018-02-23,46.5
2018-02-26,46.93
2018-02-27,46.28
2018-02-28,46.31
2018-03-01,45.94
2018-03-02,46.26
2018-03-05,46.1
2018-03-06,46.49
2018-03-07,47.34
2018-03-08,47.5
2018-03-09,49.2
2018-03-12,49.3
2018-03-13,49.48
2018-03-14,48.65
2018-03-15,49.04
2018-03-16,49.03
2018-03-19,49.29
2018-03-20,49.99
2018-03-21,50.19
2018-03-22,48.88
2018-03-23,47.91
2018-03-26,49.22
2018-03-27,47.58
2018-03-28,47.37
2018-03-29,48.99
2018-04-02,47.19
2018-04-03,48.18
2018-04-04,48.76
2018-04-05,48.35
2018-04-06,46.95
2018-04-09,46.72
2018-04-10,47.52
2018-04-11,47.63
2018-04-12,48.46
2018-04-13,48.02
2018-04-16,49.23
2018-04-17,49.86
2018-04-18,50.33
2018-04-19,49.96
2018-04-20,49.5
2018-04-23,49.49
2018-04-24,47.45
2018-04-25,47.27
2018-04-26,44.31
2018-04-27,44.66
2018-04-30,44.62
2018-05-01,43.92
2018-05-02,44.35
2018-05-03,44.39
2018-05-04,44.77
2018-05-07,45.98
2018-05-08,47.14
2018-05-09,48.26
2018-05-10,48.36
2018-05-11,49.03
2018-05-14,48.76
2018-05-15,48.22
2018-05-16,48.55
2018-05-17,48.79
2018-05-18,49.09
2018-05-21,50.37
2018-05-22,49.43
2018-05-23,49.97
2018-05-24,51.18
2018-05-25,51.4
2018-05-29,51.57
2018-05-30,52.81
2018-05-31,51.99
2018-06-01,53.12
2018-06-04,51.37
2018-06-05,51.46
2018-06-06,52.52
2018-06-07,52.73
2018-06-08,53.55
2018-06-11,53.9
2018-06-12,54.4
2018-06-13,53.98
2018-06-14,53.43
2018-06-15,53.87
2018-06-18,53.66
2018-06-19,53.2
2018-06-20,54.36
2018-06-21,53.6
2018-06-22,52.6
2018-06-25,51.09
2018-06-26,50.97
2018-06-27,50.04
2018-06-28,49.97
2018-06-29,49.65
2018-07-02,49.71
2018-07-03,49.15
2018-07-05,48.78
2018-07-06,49.13
2018-07-09,50.64
2018-07-10,49.34
2018-07-11,48.63
2018-07-12,49.16
2018-07-13,49.43
2018-07-16,47.65
2018-07-17,48.59
2018-07-18,49.42
2018-07-19,49.72
2018-07-20,49.7
2018-07-23,50.34
2018-07-24,47.51
2018-07-25,49.32
2018-07-26,48.06
2018-07-27,47.95
2018-07-30,47.66
2018-07-31,48.93
2018-08-01,48.08
2018-08-02,49.28
2018-08-03,48.58
2018-08-06,48.83
2018-08-07,48.85
2018-08-08,49.07
2018-08-09,49.03
2018-08-10,48.86
2018-08-13,48.09
2018-08-14,48.44
2018-08-15,48.31
2018-08-16,48.73
2018-08-17,48.93
2018-08-20,49.53
2018-08-21,49.86
2018-08-22,49.64
2018-08-23,49.25
2018-08-24,48.89
2018-08-27,49.73
2018-08-28,49.73
2018-08-29,50.99
2018-08-30,51.06
2018-08-31,50.8
2018-09-04,51.5
2018-09-05,52.93
2018-09-06,55.12
2018-09-07,55.06
2018-09-10,55.86
2018-09-11,56.01
2018-09-12,55.54
2018-09-13,55.46
2018-09-14,55.3
2018-09-17,54.04
2018-09-18,54.28
2018-09-19,53.72
2018-09-20,52.73
2018-09-21,52.26
2018-09-24,52.71
2018-09-25,53.33
2018-09-26,53.84
2018-09-27,53.56
2018-09-28,53.75
2018-10-01,53.86
2018-10-02,52.11
2018-10-03,52.26
2018-10-04,51.49
2018-10-05,50.62
2018-10-08,50.25
2018-10-09,49.47
2018-10-10,46.33
2018-10-11,45.44
2018-10-12,45.52
2018-10-15,45.19
2018-10-16,46.33
2018-10-17,45.2
2018-10-18,44.05
2018-10-19,44.02
2018-10-22,43.71
2018-10-23,42.81
2018-10-24,41.17
2018-10-25,41.57
2018-10-26,41.46
2018-10-29,40.2
2018-10-30,42.07
2018-10-31,43.47
2018-11-01,44.53
2018-11-02,44.53
2018-11-05,44.58
2018-11-06,45.58
2018-11-07,46.78
2018-11-08,45.98
2018-11-09,45.0
2018-11-12,44.14
2018-11-13,43.84
2018-11-14,44.41
2018-11-15,45.37
2018-11-16,44.88
2018-11-19,44.77
2018-11-20,42.32
2018-11-21,43.23
2018-11-23,43.02
2018-11-26,44.46
2018-11-27,44.22
2018-11-28,45.77
2018-11-29,45.0
2018-11-30,45.58
2018-12-03,45.16
2018-12-04,43.22
2018-12-06,44.73
2018-12-07,42.92
2018-12-10,43.25
2018-12-11,43.23
2018-12-12,43.41
2018-12-13,42.17
2018-12-14,41.14
2018-12-17,41.47
2018-12-18,41.79
2018-12-19,40.63
2018-12-20,40.25
