Date,Close
2017-01-03,85.07
2017-01-04,85.7
2017-01-05,85.06
2017-01-06,85.81
2017-01-09,85.39
2017-01-10,85.24
2017-01-11,85.84
2017-01-12,85.45
2017-01-13,85.31
2017-01-17,84.82
2017-01-18,85.17
2017-01-19,84.56
2017-01-20,85.13
2017-01-23,84.94
2017-01-24,85.9
2017-01-25,86.38
2017-01-26,87.03
2017-01-27,86.98
2017-01-30,87.09
2017-01-31,85.65
2017-02-01,85.03
2017-02-02,85.21
2017-02-03,85.7
2017-02-06,87.39
2017-02-07,84.26
2017-02-08,84.97
2017-02-09,84.65
2017-02-10,85.33
2017-02-13,85.93
2017-02-14,85.03
2017-02-15,85.64
2017-02-16,85.32
2017-02-17,85.34
2017-02-21,85.33
2017-02-22,85.27
2017-02-23,85.34
2017-02-24,86.16
2017-02-27,86.18
2017-02-28,85.1
2017-03-01,86.33
2017-03-02,86.3
2017-03-03,85.39
2017-03-06,84.51
2017-03-07,84.09
2017-03-08,85.1
2017-03-09,85.05
2017-03-10,84.49
2017-03-13,84.31
2017-03-14,84.35
2017-03-15,84.86
2017-03-16,84.84
2017-03-17,84.94
2017-03-20,84.63
2017-03-21,84.35
2017-03-22,84.66
2017-03-23,84.52
2017-03-24,84.33
2017-03-27,84.2
2017-03-28,85.31
2017-03-29,85.11
2017-03-30,85.9
2017-03-31,86.21
2017-04-03,85.7
2017-04-04,85.8
2017-04-05,85.59
2017-04-06,85.56
2017-04-07,85.72
2017-04-10,85.0
2017-04-11,84.77
2017-04-12,84.67
2017-04-13,84.46
2017-04-17,86.17
2017-04-18,83.5
2017-04-19,83.55
2017-04-20,84.08
2017-04-21,83.25
2017-04-24,83.25
2017-04-25,83.54
2017-04-26,82.98
2017-04-27,83.09
2017-04-28,82.12
2017-05-01,82.68
2017-05-02,82.96
2017-05-03,82.96
2017-05-04,82.93
2017-05-05,83.69
2017-05-08,83.73
2017-05-09,84.0
2017-05-10,84.07
2017-05-11,83.97
2017-05-12,83.12
2017-05-15,82.3
2017-05-16,81.91
2017-05-17,81.68
2017-05-18,82.37
2017-05-19,83.36
2017-05-22,83.71
2017-05-23,82.92
2017-05-24,83.15
2017-05-25,83.6
2017-05-26,83.26
2017-05-30,83.4
2017-05-31,83.72
2017-06-01,85.26
2017-06-02,85.12
2017-06-05,84.42
2017-06-06,82.68
2017-06-07,80.75
2017-06-08,80.28
2017-06-09,81.5
2017-06-12,81.45
2017-06-13,81.77
2017-06-14,82.41
2017-06-15,82.86
2017-06-16,83.31
2017-06-19,83.67
2017-06-20,82.41
2017-06-21,82.63
2017-06-22,82.25
2017-06-23,82.37
2017-06-26,82.73
2017-06-27,83.05
2017-06-28,83.75
2017-06-29,83.33
2017-06-30,82.9
2017-07-03,83.14
2017-07-05,83.24
2017-07-06,81.54
2017-07-07,81.5
2017-07-10,81.1
2017-07-11,80.69
2017-07-12,80.4
2017-07-13,80.87
2017-07-14,81.28
2017-07-17,81.52
2017-07-18,81.09
2017-07-19,80.74
2017-07-20,82.7
2017-07-21,82.73
2017-07-24,82.12
2017-07-25,79.5
2017-07-26,78.83
2017-07-27,78.87
2017-07-28,78.9
2017-07-31,78.74
2017-08-01,79.15
2017-08-02,78.82
2017-08-03,79.61
2017-08-04,79.2
2017-08-07,79.06
2017-08-08,78.59
2017-08-09,78.82
2017-08-10,77.93
2017-08-11,77.75
2017-08-14,78.4
2017-08-15,78.29
2017-08-16,78.66
2017-08-17,77.65
2017-08-18,76.76
2017-08-21,76.91
2017-08-22,78.13
2017-08-23,72.66
2017-08-24,73.01
2017-08-25,73.13
2017-08-28,73.19
2017-08-29,72.83
2017-08-30,72.31
2017-08-31,72.38
2017-09-01,71.94
2017-09-05,71.73
2017-09-06,73.1
2017-09-07,72.47
2017-09-08,72.83
2017-09-11,73.34
2017-09-12,72.94
2017-09-13,73.65
2017-09-14,73.29
2017-09-15,73.04
2017-09-18,72.7
2017-09-19,72.75
2017-09-20,74.36
2017-09-21,74.23
2017-09-22,75.0
2017-09-25,75.87
2017-09-26,75.13
2017-09-27,75.43
2017-09-28,74.24
2017-09-29,74.07
2017-10-02,75.54
2017-10-03,74.7
2017-10-04,75.82
2017-10-05,76.37
2017-10-06,75.42
2017-10-09,74.67
2017-10-10,74.45
2017-10-11,74.35
2017-10-12,74.36
2017-10-13,75.14
2017-10-16,73.93
2017-10-17,75.59
2017-10-18,75.45
2017-10-19,72.96
2017-10-20,73.69
2017-10-23,73.01
2017-10-24,70.92
2017-10-25,69.81
2017-10-26,70.36
2017-10-27,68.56
2017-10-30,67.52
2017-10-31,67.19
2017-11-01,67.63
2017-11-02,66.19
2017-11-03,66.21
2017-11-06,66.55
2017-11-07,65.52
2017-11-08,65.6
2017-11-09,67.28
2017-11-10,67.55
2017-11-13,67.92
2017-11-14,67.66
2017-11-15,67.15
2017-11-16,67.45
2017-11-17,69.44
2017-11-20,69.62
2017-11-21,69.54
2017-11-22,68.87
2017-11-24,68.97
2017-11-27,68.84
2017-11-28,70.65
2017-11-29,72.93
2017-11-30,71.44
2017-12-01,73.38
2017-12-04,74.7
2017-12-05,75.31
2017-12-06,74.47
2017-12-07,73.09
2017-12-08,73.48
2017-12-11,74.44
2017-12-12,74.51
2017-12-13,73.71
2017-12-14,73.1
2017-12-15,74.41
2017-12-18,73.47
2017-12-19,73.87
2017-12-20,74.0
2017-12-21,74.08
2017-12-22,73.61
2017-12-26,73.35
2017-12-27,73.48
2017-12-28,73.4
2017-12-29,72.83
2018-01-02,72.77
2018-01-03,70.36
2018-01-04,71.06
2018-01-05,72.17
2018-01-08,72.41
2018-01-09,72.08
2018-01-10,72.7
2018-01-11,74.32
2018-01-12,75.92
2018-01-16,74.32
2018-01-17,75.5
2018-01-18,76.02
2018-01-19,74.96
2018-01-22,76.36
2018-01-23,75.5
2018-01-24,76.58
2018-01-25,76.68
2018-01-26,77.65
2018-01-29,77.4
2018-01-30,76.8
2018-01-31,76.65
2018-02-01,76.19
2018-02-02,74.91
2018-02-05,72.89
2018-02-06,73.78
2018-02-07,75.38
2018-02-08,75.91
2018-02-09,76.95
2018-02-12,78.78
2018-02-13,79.56
2018-02-14,82.78
2018-02-15,77.28
2018-02-16,78.72
2018-02-20,78.36
2018-02-21,77.03
2018-02-22,76.79
2018-02-23,77.31
2018-02-26,78.1
2018-02-27,76.94
2018-02-28,76.23
2018-03-01,74.85
2018-03-02,75.65
2018-03-05,75.88
