Date,Close
2017-01-03,18.72
2017-01-04,18.81
2017-01-05,18.85
2017-01-06,18.79
2017-01-09,18.63
2017-01-10,18.75
2017-01-11,18.76
2017-01-12,18.77
2017-01-13,18.61
2017-01-17,18.58
2017-01-18,18.72
2017-01-19,18.34
2017-01-20,18.27
2017-01-23,17.67
2017-01-24,17.83
2017-01-25,17.74
2017-01-26,17.53
2017-01-27,17.59
2017-01-30,17.46
2017-01-31,17.48
2017-02-01,16.96
2017-02-02,17.11
2017-02-03,17.32
2017-02-06,17.23
2017-02-07,17.48
2017-02-08,18.11
2017-02-09,18.32
2017-02-10,18.12
2017-02-13,17.9
2017-02-14,17.97
2017-02-15,18.04
2017-02-16,17.79
2017-02-17,17.87
2017-02-21,17.91
2017-02-22,17.87
2017-02-23,17.73
2017-02-24,17.92
2017-02-27,17.88
2017-02-28,18.11
2017-03-01,18.1
2017-03-02,18.13
2017-03-03,18.04
2017-03-06,17.92
2017-03-07,17.99
2017-03-08,18.1
2017-03-09,17.94
2017-03-10,17.98
2017-03-13,18.3
2017-03-14,18.36
2017-03-15,18.05
2017-03-16,18.14
2017-03-17,18.28
2017-03-20,18.21
2017-03-21,18.03
2017-03-22,18.09
2017-03-23,18.1
2017-03-24,18.12
2017-03-27,17.99
2017-03-28,17.98
2017-03-29,18.32
2017-03-30,18.16
2017-03-31,17.99
2017-04-03,17.25
2017-04-04,17.03
2017-04-05,17.01
2017-04-06,16.96
2017-04-07,16.88
2017-04-10,16.99
2017-04-11,16.98
2017-04-12,16.87
2017-04-13,16.8
2017-04-17,16.93
2017-04-18,17.07
2017-04-19,17.26
2017-04-20,17.53
2017-04-21,17.69
2017-04-24,17.95
2017-04-25,17.6
2017-04-26,17.67
2017-04-27,17.15
2017-04-28,16.54
2017-05-01,16.11
2017-05-02,16.39
2017-05-03,16.46
2017-05-04,16.72
2017-05-05,16.85
2017-05-08,16.92
2017-05-09,17.05
2017-05-10,17.17
2017-05-11,17.09
2017-05-12,17.03
2017-05-15,17.21
2017-05-16,16.99
2017-05-17,16.59
2017-05-18,16.65
2017-05-19,16.76
2017-05-22,16.56
2017-05-23,16.01
2017-05-24,16.0
2017-05-25,16.26
2017-05-26,16.57
2017-05-30,16.51
2017-05-31,16.14
2017-06-01,16.38
2017-06-02,16.39
2017-06-05,16.01
2017-06-06,15.69
