Date,Close
2017-01-03,46.47
2017-01-04,47.34
2017-01-05,47.0
2017-01-06,47.49
2017-01-09,48.4
2017-01-10,48.21
2017-01-11,48.79
2017-01-12,48.09
2017-01-13,48.72
2017-01-17,47.9
2017-01-18,48.07
2017-01-19,47.88
2017-01-20,49.19
2017-01-23,49.89
2017-01-24,50.32
2017-01-25,50.01
2017-01-26,48.62
2017-01-27,49.21
2017-01-30,47.06
2017-01-31,46.24
2017-02-01,43.93
2017-02-02,44.32
2017-02-03,45.99
2017-02-06,44.6
2017-02-07,45.4
2017-02-08,45.26
2017-02-09,51.32
2017-02-10,52.33
2017-02-13,51.84
2017-02-14,52.2
2017-02-15,52.79
2017-02-16,52.42
2017-02-17,53.38
2017-02-21,53.11
2017-02-22,53.55
2017-02-23,54.06
2017-02-24,55.3
2017-02-27,54.71
2017-02-28,53.83
2017-03-01,55.71
2017-03-02,55.2
2017-03-03,56.5
2017-03-06,56.67
2017-03-07,56.75
2017-03-08,56.03
2017-03-09,55.85
2017-03-10,56.18
2017-03-13,56.46
2017-03-14,56.06
2017-03-15,56.31
2017-03-16,56.59
2017-03-17,56.47
2017-03-20,56.44
2017-03-21,54.87
2017-03-22,55.28
2017-03-23,54.09
2017-03-24,54.94
2017-03-27,55.87
2017-03-28,56.48
2017-03-29,56.97
2017-03-30,57.19
2017-03-31,57.51
2017-04-03,57.79
2017-04-04,58.02
2017-04-05,57.24
2017-04-06,57.9
2017-04-07,57.85
2017-04-10,57.4
2017-04-11,57.96
2017-04-12,57.87
2017-04-13,57.74
2017-04-17,58.33
2017-04-18,59.04
2017-04-19,59.44
2017-04-20,59.49
2017-04-21,59.28
2017-04-24,60.02
2017-04-25,60.5
2017-04-26,59.97
2017-04-27,60.45
2017-04-28,60.25
2017-05-01,60.76
2017-05-02,60.52
2017-05-03,63.3
2017-05-04,63.58
2017-05-05,64.72
2017-05-08,65.12
2017-05-09,64.47
2017-05-10,64.45
2017-05-11,64.08
2017-05-12,65.01
2017-05-15,65.41
2017-05-16,65.57
2017-05-17,63.2
2017-05-18,64.22
2017-05-19,64.89
2017-05-22,65.0
2017-05-23,64.6
2017-05-24,65.09
2017-05-25,65.91
2017-05-26,65.96
2017-05-30,66.08
2017-05-31,65.44
2017-06-01,67.11
2017-06-02,67.87
2017-06-05,68.32
2017-06-06,68.15
2017-06-07,68.64
2017-06-08,69.01
2017-06-09,65.56
2017-06-12,66.57
2017-06-13,67.5
2017-06-14,66.58
2017-06-15,68.04
2017-06-16,69.36
2017-06-19,70.84
2017-06-20,70.35
2017-06-21,71.58
2017-06-22,71.79
2017-06-23,73.03
2017-06-26,71.77
2017-06-27,69.41
2017-06-28,69.72
2017-06-29,67.54
2017-06-30,68.41
2017-07-03,65.99
2017-07-05,66.72
2017-07-06,66.42
2017-07-07,67.64
2017-07-10,67.09
2017-07-11,68.23
2017-07-12,69.8
