Date,Close
2017-01-03,14.1
2017-01-04,14.66
2017-01-05,14.38
2017-01-06,13.74
2017-01-09,13.26
2017-01-10,13.29
2017-01-11,13.36
2017-01-12,13.45
2017-01-13,13.35
2017-01-17,13.24
2017-01-18,13.14
2017-01-19,13.06
2017-01-20,13.42
2017-01-23,13.7
2017-01-24,13.89
2017-01-25,13.96
2017-01-26,13.66
2017-01-27,13.98
2017-01-30,13.84
2017-01-31,13.78
2017-02-01,13.62
2017-02-02,14.33
2017-02-03,14.13
2017-02-06,13.6
2017-02-07,14.02
2017-02-08,14.02
2017-02-09,14.24
2017-02-10,13.97
2017-02-13,13.77
2017-02-14,13.79
2017-02-15,14.41
2017-02-16,14.3
2017-02-17,14.04
2017-02-21,14.17
2017-02-22,14.31
2017-02-23,14.13
2017-02-24,14.22
2017-02-27,14.47
2017-02-28,14.47
2017-03-01,14.63
2017-03-02,14.55
2017-03-03,14.7
2017-03-06,14.77
2017-03-07,14.47
2017-03-08,14.52
2017-03-09,14.59
2017-03-10,14.94
2017-03-13,15.2
2017-03-14,15.13
2017-03-15,15.25
2017-03-16,15.45
2017-03-17,15.82
2017-03-20,15.78
2017-03-21,15.67
2017-03-22,15.39
2017-03-23,17.18
2017-03-24,17.68
2017-03-27,18.33
2017-03-28,18.39
2017-03-29,18.5
2017-03-30,18.47
2017-03-31,18.43
2017-04-03,18.45
2017-04-04,18.59
2017-04-05,18.11
2017-04-06,18.54
2017-04-07,18.55
2017-04-10,18.46
2017-04-11,18.91
2017-04-12,18.76
2017-04-13,18.32
2017-04-17,18.73
2017-04-18,18.82
2017-04-19,18.66
2017-04-20,18.5
2017-04-21,18.64
2017-04-24,18.66
2017-04-25,18.75
2017-04-26,18.96
2017-04-27,18.81
2017-04-28,18.48
2017-05-01,18.32
2017-05-02,18.51
2017-05-03,18.94
2017-05-04,18.68
2017-05-05,18.86
2017-05-08,18.63
2017-05-09,18.71
2017-05-10,19.25
2017-05-11,18.7
2017-05-12,18.92
2017-05-15,18.99
2017-05-16,19.55
2017-05-17,18.88
2017-05-18,19.12
2017-05-19,19.36
2017-05-22,19.67
2017-05-23,19.57
2017-05-24,19.49
2017-05-25,19.81
2017-05-26,19.92
2017-05-30,19.65
2017-05-31,19.33
2017-06-01,19.61
2017-06-02,19.37
2017-06-05,19.4
2017-06-06,20.01
2017-06-07,20.31
2017-06-08,21.53
2017-06-09,21.43
2017-06-12,21.25
2017-06-13,21.9
2017-06-14,21.7
2017-06-15,21.51
2017-06-16,21.43
2017-06-19,21.54
2017-06-20,21.38
2017-06-21,20.7
2017-06-22,21.5
2017-06-23,21.76
2017-06-26,22.03
2017-06-27,21.53
2017-06-28,21.56
2017-06-29,21.4
2017-06-30,21.4
2017-07-03,21.15
2017-07-05,20.95
2017-07-06,20.66
2017-07-07,21.14
2017-07-10,20.78
2017-07-11,20.81
2017-07-12,20.89
2017-07-13,20.83
2017-07-14,20.75
2017-07-17,20.26
2017-07-18,20.58
2017-07-19,20.73
2017-07-20,20.65
2017-07-21,20.5
2017-07-24,21.11
2017-07-25,21.66
2017-07-26,21.31
2017-07-27,20.74
2017-07-28,20.14
2017-07-31,20.16
2017-08-01,20.36
2017-08-02,20.31
2017-08-03,20.31
2017-08-04,20.52
2017-08-07,20.93
2017-08-08,20.41
2017-08-09,20.67
2017-08-10,20.88
2017-08-11,20.74
2017-08-14,21.32
2017-08-15,21.2
2017-08-16,21.41
2017-08-17,20.83
2017-08-18,20.38
2017-08-21,20.31
2017-08-22,21.0
2017-08-23,20.72
2017-08-24,20.9
2017-08-25,20.96
2017-08-28,20.95
2017-08-29,21.14
2017-08-30,21.39
2017-08-31,22.19
2017-09-01,22.41
2017-09-05,22.64
2017-09-06,22.5
2017-09-07,22.85
2017-09-08,22.59
2017-09-11,22.6
2017-09-12,22.6
2017-09-13,22.53
2017-09-14,22.53
2017-09-15,22.52
2017-09-18,22.84
2017-09-19,22.8
2017-09-20,22.79
2017-09-21,22.56
2017-09-22,22.5
2017-09-25,22.46
2017-09-26,22.87
2017-09-27,22.97
2017-09-28,23.21
2017-09-29,23.39
2017-10-02,23.31
2017-10-03,23.31
2017-10-04,22.91
2017-10-05,24.05
2017-10-06,24.0
2017-10-09,23.67
2017-10-10,23.55
2017-10-11,23.7
2017-10-12,23.63
2017-10-13,23.71
2017-10-16,23.59
2017-10-17,23.97
2017-10-18,25.2
2017-10-19,24.92
2017-10-20,25.13
2017-10-23,25.01
2017-10-24,25.17
2017-10-25,25.37
2017-10-26,24.66
2017-10-27,25.5
2017-10-30,25.46
2017-10-31,26.09
2017-11-01,26.07
2017-11-02,26.02
2017-11-03,26.06
2017-11-06,26.6
2017-11-07,26.65
2017-11-08,26.92
2017-11-09,27.09
2017-11-10,26.88
2017-11-13,27.15
2017-11-14,27.16
2017-11-15,26.92
2017-11-16,27.27
2017-11-17,27.18
2017-11-20,27.68
2017-11-21,27.83
2017-11-22,27.38
2017-11-24,27.5
2017-11-27,27.61
2017-11-28,27.88
2017-11-29,28.44
2017-11-30,28.76
2017-12-01,28.92
2017-12-04,28.82
2017-12-05,28.59
2017-12-06,28.36
2017-12-07,28.85
2017-12-08,28.53
2017-12-11,28.79
2017-12-12,28.58
2017-12-13,29.0
2017-12-14,29.25
2017-12-15,29.69
2017-12-18,29.03
2017-12-19,29.4
2017-12-20,30.9
2017-12-21,31.34
2017-12-22,30.52
2017-12-26,30.76
2017-12-27,31.24
2017-12-28,31.42
2017-12-29,31.33
2018-01-02,30.74
2018-01-03,30.33
2018-01-04,30.31
2018-01-05,30.79
2018-01-08,30.79
2018-01-09,31.01
2018-01-10,31.0
2018-01-11,32.22
2018-01-12,32.11
2018-01-16,32.19
2018-01-17,32.75
2018-01-18,32.26
2018-01-19,32.9
2018-01-22,33.01
2018-01-23,32.5
2018-01-24,32.49
2018-01-25,33.01
2018-01-26,32.64
2018-01-29,32.26
2018-01-30,32.01
2018-01-31,31.91
2018-02-01,32.24
2018-02-02,31.07
2018-02-05,29.96
2018-02-06,30.66
2018-02-07,29.45
2018-02-08,27.11
2018-02-09,27.56
2018-02-12,27.83
2018-02-13,27.85
2018-02-14,28.45
2018-02-15,28.18
2018-02-16,28.06
2018-02-20,28.45
2018-02-21,27.16
2018-02-22,26.17
2018-02-23,26.67
2018-02-26,27.18
2018-02-27,26.35
2018-02-28,26.61
2018-03-01,26.51
2018-03-02,25.95
2018-03-05,25.55
2018-03-06,26.35
2018-03-07,26.77
2018-03-08,26.42
2018-03-09,27.25
2018-03-12,27.29
2018-03-13,26.95
2018-03-14,27.08
2018-03-15,26.57
2018-03-16,26.66
2018-03-19,26.4
2018-03-20,26.66
2018-03-21,26.49
2018-03-22,26.11
2018-03-23,25.84
2018-03-26,26.59
2018-03-27,26.22
2018-03-28,25.86
2018-03-29,26.26
2018-04-02,25.13
2018-04-03,25.54
2018-04-04,26.01
2018-04-05,26.5
2018-04-06,26.28
2018-04-09,26.32
2018-04-10,26.33
2018-04-11,26.2
2018-04-12,27.02
2018-04-13,26.6
2018-04-16,26.76
2018-04-17,26.79
2018-04-18,27.49
2018-04-19,27.37
2018-04-20,27.5
2018-04-23,27.51
2018-04-24,26.72
