Date,Close
2017-01-03,31.28
2017-01-04,31.56
2017-01-05,31.86
2017-01-06,31.74
2017-01-09,31.73
2017-01-10,31.7
2017-01-11,31.12
2017-01-12,30.9
2017-01-13,30.83
2017-01-17,30.39
2017-01-18,30.36
2017-01-19,30.05
2017-01-20,30.12
2017-01-23,29.82
2017-01-24,29.53
2017-01-25,29.66
2017-01-26,29.65
2017-01-27,29.78
2017-01-30,29.68
2017-01-31,30.08
2017-02-01,30.02
2017-02-02,30.08
2017-02-03,30.42
2017-02-06,30.55
2017-02-07,30.41
2017-02-08,30.47
2017-02-09,30.69
2017-02-10,30.67
2017-02-13,30.91
2017-02-14,31.05
2017-02-15,31.77
2017-02-16,31.87
2017-02-17,31.87
2017-02-21,31.87
2017-02-22,31.84
2017-02-23,32.29
2017-02-24,32.48
2017-02-27,32.5
2017-02-28,32.34
2017-03-01,32.63
2017-03-02,32.71
2017-03-03,32.72
2017-03-06,32.56
2017-03-07,32.22
2017-03-08,32.14
2017-03-09,32.28
2017-03-10,32.33
2017-03-13,32.33
2017-03-14,32.44
2017-03-15,32.83
2017-03-16,32.64
2017-03-17,32.53
2017-03-20,32.59
2017-03-21,32.47
2017-03-22,32.68
2017-03-23,32.51
2017-03-24,32.23
2017-03-27,32.4
2017-03-28,32.38
2017-03-29,32.54
2017-03-30,32.56
2017-03-31,32.43
2017-04-03,32.46
2017-04-04,32.55
2017-04-05,32.41
2017-04-06,32.33
2017-04-07,32.33
2017-04-10,32.27
2017-04-11,32.16
2017-04-12,32.15
2017-04-13,32.12
2017-04-17,32.23
2017-04-18,32.08
2017-04-19,31.86
2017-04-20,31.98
2017-04-21,31.89
2017-04-24,31.98
2017-04-25,32.0
2017-04-26,32.09
2017-04-27,32.1
2017-04-28,32.15
2017-05-01,32.02
2017-05-02,31.86
2017-05-03,31.73
2017-05-04,31.71
2017-05-05,31.74
2017-05-08,31.71
2017-05-09,31.64
2017-05-10,31.31
2017-05-11,31.32
2017-05-12,31.29
2017-05-15,31.4
2017-05-16,30.9
2017-05-17,30.55
2017-05-18,30.54
2017-05-19,30.77
2017-05-22,30.45
2017-05-23,30.47
2017-05-24,30.38
2017-05-25,30.49
2017-05-26,30.47
2017-05-30,30.46
2017-05-31,30.95
2017-06-01,31.01
2017-06-02,30.85
2017-06-05,30.67
2017-06-06,30.4
2017-06-07,30.33
2017-06-08,30.1
2017-06-09,31.06
2017-06-12,31.0
2017-06-13,30.88
2017-06-14,30.99
2017-06-15,31.1
2017-06-16,31.25
2017-06-19,31.49
2017-06-20,31.81
2017-06-21,32.12
2017-06-22,32.29
2017-06-23,32.39
2017-06-26,32.27
2017-06-27,32.01
2017-06-28,31.99
2017-06-29,31.88
2017-06-30,31.84
2017-07-03,32.06
2017-07-05,31.89
2017-07-06,31.49
2017-07-07,31.61
2017-07-10,31.67
2017-07-11,31.44
2017-07-12,31.49
2017-07-13,31.55
2017-07-14,31.69
2017-07-17,31.52
2017-07-18,31.62
2017-07-19,31.87
2017-07-20,31.79
2017-07-21,31.74
2017-07-24,31.59
2017-07-25,31.38
2017-07-26,31.18
2017-07-27,31.28
2017-07-28,31.42
2017-07-31,31.43
2017-08-01,31.36
2017-08-02,31.21
2017-08-03,31.69
2017-08-04,31.89
2017-08-07,31.58
2017-08-08,31.55
2017-08-09,31.71
2017-08-10,31.68
2017-08-11,31.52
2017-08-14,31.58
