Date,Close
2017-01-03,58.58
2017-01-04,59.11
2017-01-05,58.51
2017-01-06,58.86
2017-01-09,58.19
2017-01-10,58.65
2017-01-11,58.98
2017-01-12,58.87
2017-01-13,59.03
2017-01-17,58.27
2017-01-18,59.48
2017-01-19,58.3
2017-01-20,58.24
2017-01-23,57.74
2017-01-24,58.58
2017-01-25,59.65
2017-01-26,58.57
2017-01-27,58.0
2017-01-30,57.74
2017-01-31,57.09
2017-02-01,57.2
2017-02-02,57.51
2017-02-03,59.42
2017-02-06,59.47
2017-02-07,59.72
2017-02-08,59.84
2017-02-09,60.58
2017-02-10,60.86
2017-02-13,62.09
2017-02-14,62.06
2017-02-15,62.73
2017-02-16,62.6
2017-02-17,62.12
2017-02-21,62.42
2017-02-22,62.83
2017-02-23,62.87
2017-02-24,62.75
2017-02-27,62.78
2017-02-28,62.54
2017-03-01,64.02
2017-03-02,62.71
2017-03-03,63.57
2017-03-06,63.37
2017-03-07,63.04
2017-03-08,63.07
2017-03-09,63.07
2017-03-10,63.54
2017-03-13,63.58
2017-03-14,63.01
2017-03-15,63.83
2017-03-16,64.2
2017-03-17,63.44
2017-03-20,63.11
2017-03-21,61.26
2017-03-22,61.9
2017-03-23,62.18
2017-03-24,62.17
2017-03-27,62.11
2017-03-28,63.01
2017-03-29,62.47
2017-03-30,63.11
2017-03-31,63.11
2017-04-03,63.09
2017-04-04,62.85
2017-04-05,62.16
2017-04-06,62.73
2017-04-07,62.57
2017-04-10,62.67
2017-04-11,62.9
2017-04-12,61.93
2017-04-13,61.51
2017-04-17,62.63
2017-04-18,62.39
2017-04-19,62.08
2017-04-20,62.92
2017-04-21,62.81
2017-04-24,63.92
2017-04-25,64.35
2017-04-26,64.31
2017-04-27,65.18
2017-04-28,65.13
2017-05-01,64.97
2017-05-02,64.91
2017-05-03,64.9
2017-05-04,64.43
2017-05-05,64.34
2017-05-08,63.95
2017-05-09,63.46
2017-05-10,63.86
2017-05-11,63.54
2017-05-12,63.0
2017-05-15,63.71
2017-05-16,63.98
2017-05-17,61.4
2017-05-18,60.55
2017-05-19,60.83
2017-05-22,61.43
2017-05-23,61.71
2017-05-24,61.96
2017-05-25,62.66
2017-05-26,62.75
2017-05-30,62.52
2017-05-31,62.91
2017-06-01,64.08
2017-06-02,63.96
2017-06-05,63.29
2017-06-06,62.07
2017-06-07,62.41
2017-06-08,63.63
2017-06-09,64.91
2017-06-12,64.97
2017-06-13,65.54
2017-06-14,65.36
2017-06-15,65.2
2017-06-16,65.35
2017-06-19,65.88
2017-06-20,65.02
2017-06-21,63.86
2017-06-22,62.69
2017-06-23,62.58
2017-06-26,63.06
2017-06-27,63.4
2017-06-28,64.69
2017-06-29,64.53
2017-06-30,64.07
2017-07-03,64.76
2017-07-05,64.25
2017-07-06,64.12
2017-07-07,64.61
2017-07-10,65.36
2017-07-11,65.16
2017-07-12,65.51
2017-07-13,65.95
2017-07-14,66.1
2017-07-17,66.34
2017-07-18,66.41
2017-07-19,66.7
2017-07-20,65.89
2017-07-21,66.42
2017-07-24,66.38
2017-07-25,67.16
2017-07-26,66.66
2017-07-27,66.63
2017-07-28,67.37
2017-07-31,66.75
2017-08-01,66.72
2017-08-02,66.66
2017-08-03,66.55
2017-08-04,67.04
2017-08-07,66.51
2017-08-08,66.23
2017-08-09,65.99
2017-08-10,64.43
2017-08-11,64.32
2017-08-14,65.01
2017-08-15,65.0
2017-08-16,65.16
2017-08-17,62.93
2017-08-18,62.93
2017-08-21,62.73
2017-08-22,62.87
2017-08-23,62.97
2017-08-24,63.07
2017-08-25,63.33
2017-08-28,63.32
2017-08-29,62.66
2017-08-30,62.56
2017-08-31,62.52
2017-09-01,63.31
2017-09-05,61.82
2017-09-06,61.29
2017-09-07,59.92
2017-09-08,60.67
2017-09-11,61.88
2017-09-12,62.47
2017-09-13,62.25
2017-09-14,62.01
2017-09-15,62.51
2017-09-18,62.42
2017-09-19,62.9
2017-09-20,63.12
2017-09-21,62.93
2017-09-22,63.12
2017-09-25,63.38
2017-09-26,63.36
2017-09-27,64.52
2017-09-28,64.0
2017-09-29,64.34
2017-10-02,64.92
2017-10-03,65.34
2017-10-04,65.82
2017-10-05,66.57
2017-10-06,66.65
2017-10-09,66.59
2017-10-10,67.5
2017-10-11,67.3
2017-10-12,67.33
2017-10-13,67.21
2017-10-16,67.32
2017-10-17,67.57
2017-10-18,67.9
2017-10-19,68.17
2017-10-20,67.75
2017-10-23,68.27
2017-10-24,68.57
2017-10-25,67.68
2017-10-26,68.2
2017-10-27,68.1
2017-10-30,66.52
2017-10-31,65.85
2017-11-01,67.13
2017-11-02,68.89
2017-11-03,68.32
2017-11-06,69.22
2017-11-07,69.11
2017-11-08,68.49
2017-11-09,68.42
2017-11-10,68.06
2017-11-13,68.03
2017-11-14,68.33
2017-11-15,68.57
2017-11-16,68.39
2017-11-17,68.64
2017-11-20,68.82
2017-11-21,68.55
2017-11-22,68.4
2017-11-24,68.65
2017-11-27,68.68
2017-11-28,70.05
2017-11-29,71.54
2017-11-30,70.79
2017-12-01,70.52
2017-12-04,70.85
2017-12-05,70.68
2017-12-06,70.82
2017-12-07,70.99
2017-12-08,71.76
2017-12-11,71.53
2017-12-12,70.78
2017-12-13,70.25
2017-12-14,69.89
2017-12-15,70.37
2017-12-18,70.61
2017-12-19,70.86
2017-12-20,71.25
2017-12-21,71.24
2017-12-22,71.26
2017-12-26,71.33
2017-12-27,71.07
2017-12-28,71.39
2017-12-29,70.56
2018-01-02,70.38
2018-01-03,70.53
2018-01-04,71.45
2018-01-05,72.0
2018-01-08,72.21
2018-01-09,72.97
2018-01-10,73.38
2018-01-11,73.88
2018-01-12,74.21
2018-01-16,72.9
2018-01-17,73.45
2018-01-18,73.48
2018-01-19,74.05
2018-01-22,73.97
2018-01-23,73.56
2018-01-24,74.0
2018-01-25,74.26
2018-01-26,75.04
2018-01-29,74.5
2018-01-30,68.5
2018-01-31,67.6
2018-02-01,68.46
2018-02-02,66.35
2018-02-05,63.55
2018-02-06,64.54
2018-02-07,63.92
2018-02-08,60.38
2018-02-09,61.39
2018-02-12,61.84
2018-02-13,61.72
2018-02-14,63.27
2018-02-15,62.87
2018-02-16,63.05
2018-02-20,62.7
2018-02-21,63.3
2018-02-22,62.37
2018-02-23,63.15
2018-02-26,63.98
2018-02-27,63.57
2018-02-28,62.33
2018-03-01,61.19
2018-03-02,61.09
2018-03-05,61.37
2018-03-06,61.59
2018-03-07,61.58
2018-03-08,61.37
2018-03-09,63.05
2018-03-12,63.05
2018-03-13,62.68
2018-03-14,62.05
2018-03-15,61.97
2018-03-16,62.11
2018-03-19,61.62
2018-03-20,61.74
2018-03-21,62.2
2018-03-22,59.93
2018-03-23,57.76
2018-03-26,59.23
2018-03-27,58.79
2018-03-28,59.4
2018-03-29,60.91
2018-04-02,59.42
2018-04-03,60.19
2018-04-04,61.04
2018-04-05,61.31
2018-04-06,59.61
2018-04-09,59.63
2018-04-10,61.07
2018-04-11,60.18
2018-04-12,61.05
2018-04-13,60.65
2018-04-16,61.06
2018-04-17,60.25
2018-04-18,60.89
2018-04-19,61.0
2018-04-20,60.89
2018-04-23,61.46
2018-04-24,61.05
2018-04-25,61.08
2018-04-26,61.27
2018-04-27,60.46
2018-04-30,59.22
2018-05-01,58.3
2018-05-02,56.8
2018-05-03,55.84
2018-05-04,57.15
2018-05-07,57.16
2018-05-08,57.43
2018-05-09,57.72
2018-05-10,58.75
2018-05-11,59.03
2018-05-14,59.11
2018-05-15,59.16
2018-05-16,59.43
2018-05-17,59.59
2018-05-18,58.8
2018-05-21,59.18
2018-05-22,59.96
2018-05-23,59.41
2018-05-24,58.57
2018-05-25,58.23
2018-05-29,55.24
2018-05-30,56.36
2018-05-31,55.8
2018-06-01,56.45
2018-06-04,56.19
2018-06-05,55.96
2018-06-06,56.91
2018-06-07,56.64
2018-06-08,56.8
2018-06-11,57.36
2018-06-12,56.76
2018-06-13,56.57
2018-06-14,56.26
2018-06-15,56.4
2018-06-18,56.05
2018-06-19,55.78
2018-06-20,55.93
2018-06-21,55.64
2018-06-22,55.66
2018-06-25,54.85
2018-06-26,54.17
2018-06-27,52.58
2018-06-28,52.97
2018-06-29,52.95
2018-07-02,52.86
2018-07-03,53.23
2018-07-05,53.53
2018-07-06,53.62
2018-07-09,55.19
2018-07-10,54.77
2018-07-11,53.4
2018-07-12,53.24
2018-07-13,53.16
2018-07-16,54.08
2018-07-17,54.86
2018-07-18,55.71
2018-07-19,54.54
2018-07-20,54.03
2018-07-23,54.69
2018-07-24,54.83
2018-07-25,55.02
2018-07-26,55.48
2018-07-27,57.74
2018-07-30,58.27
2018-07-31,58.08
2018-08-01,56.26
2018-08-02,55.65
2018-08-03,55.82
2018-08-06,56.1
2018-08-07,56.37
2018-08-08,56.3
2018-08-09,55.64
2018-08-10,53.98
2018-08-13,53.61
2018-08-14,54.41
2018-08-15,54.19
2018-08-16,55.48
2018-08-17,55.72
2018-08-20,55.7
2018-08-21,56.49
2018-08-22,56.19
2018-08-23,55.29
2018-08-24,55.51
2018-08-27,56.44
2018-08-28,56.25
2018-08-29,55.95
2018-08-30,55.25
2018-08-31,55.19
2018-09-04,55.71
2018-09-05,56.0
2018-09-06,55.72
2018-09-07,55.06
2018-09-10,55.26
2018-09-11,54.87
2018-09-12,54.53
2018-09-13,54.84
2018-09-14,56.94
2018-09-17,56.95
2018-09-18,57.72
2018-09-19,58.8
2018-09-20,59.39
2018-09-21,59.54
2018-09-24,58.52
2018-09-25,58.28
2018-09-26,58.02
2018-09-27,58.63
2018-09-28,58.59
2018-10-01,58.6
2018-10-02,58.86
2018-10-03,59.81
2018-10-04,60.57
2018-10-05,60.0
2018-10-08,60.65
2018-10-09,60.21
2018-10-10,58.66
2018-10-11,55.62
2018-10-12,55.14
2018-10-15,54.58
2018-10-16,54.57
2018-10-17,55.08
2018-10-18,53.83
2018-10-19,53.56
2018-10-22,52.54
2018-10-23,51.39
2018-10-24,48.93
2018-10-25,49.43
2018-10-26,45.98
2018-10-29,45.8
2018-10-30,46.25
2018-10-31,47.07
2018-11-01,48.17
2018-11-02,47.56
2018-11-05,48.04
2018-11-06,48.28
2018-11-07,49.41
2018-11-08,49.53
2018-11-09,49.3
2018-11-12,48.58
2018-11-13,49.0
2018-11-14,48.32
2018-11-15,48.52
2018-11-16,48.24
2018-11-19,49.02
2018-11-20,48.0
2018-11-21,48.47
2018-11-23,48.31
2018-11-26,48.99
2018-11-27,48.88
2018-11-28,50.36
2018-11-29,49.68
2018-11-30,49.32
2018-12-03,48.31
2018-12-04,45.87
2018-12-06,45.03
2018-12-07,44.4
2018-12-10,42.93
2018-12-11,42.07
2018-12-12,42.78
2018-12-13,43.25
2018-12-14,43.62
2018-12-17,43.77
2018-12-18,43.66
2018-12-19,43.26
2018-12-20,43.13
2018-12-21,41.6
2018-12-24,41.08
2018-12-26,43.37
2018-12-27,43.98
2018-12-28,43.56
2018-12-31,44.17
2019-01-02,44.36
2019-01-03,43.39
2019-01-04,45.3
2019-01-07,45.63
2019-01-08,45.14
2019-01-09,45.6
2019-01-10,45.92
2019-01-11,46.02
2019-01-14,46.84
2019-01-15,47.42
2019-01-16,48.27
2019-01-17,49.01
2019-01-18,50.1
2019-01-22,49.52
2019-01-23,48.92
2019-01-24,49.1
2019-01-25,50.08
2019-01-28,49.79
2019-01-29,49.62
2019-01-30,48.14
2019-01-31,50.07
2019-02-01,49.61
2019-02-04,49.7
2019-02-05,48.85
2019-02-06,48.77
2019-02-07,47.96
2019-02-08,47.83
2019-02-11,48.38
2019-02-12,48.8
2019-02-13,49.21
2019-02-14,48.85
2019-02-15,50.79
2019-02-19,51.36
2019-02-20,52.22
2019-02-21,52.05
2019-02-22,52.87
2019-02-25,53.09
2019-02-26,52.58
2019-02-27,52.42
2019-02-28,52.64
2019-03-01,51.4
2019-03-04,51.36
2019-03-05,51.58
2019-03-06,50.95
2019-03-07,50.0
2019-03-08,49.91
2019-03-11,50.59
2019-03-12,50.76
2019-03-13,51.11
2019-03-14,51.69
2019-03-15,52.17
2019-03-18,52.79
2019-03-19,51.93
2019-03-20,50.69
2019-03-21,51.43
2019-03-22,49.45
2019-03-25,49.01
2019-03-26,50.15
2019-03-27,49.91
2019-03-28,50.01
2019-03-29,50.19
2019-04-01,51.98
2019-04-02,51.72
2019-04-03,52.26
2019-04-04,52.61
2019-04-05,53.19
2019-04-08,53.32
2019-04-09,51.8
2019-04-10,52.75
2019-04-11,53.46
2019-04-12,54.87
2019-04-15,54.29
2019-04-16,55.42
2019-04-17,55.67
2019-04-18,55.22
2019-04-22,55.03
2019-04-23,55.55
2019-04-24,55.09
2019-04-25,55.78
2019-04-26,57.38
2019-04-29,57.43
2019-04-30,57.16
2019-05-01,56.88
2019-05-02,56.54
2019-05-03,57.58
2019-05-06,57.3
2019-05-07,56.45
2019-05-08,56.03
2019-05-09,55.89
2019-05-10,56.48
2019-05-13,54.24
2019-05-14,55.28
2019-05-15,54.78
2019-05-16,55.52
2019-05-17,54.75
2019-05-20,54.87
2019-05-21,55.32
2019-05-22,54.92
2019-05-23,53.59
2019-05-24,54.22
2019-05-28,54.12
2019-05-29,54.04
2019-05-30,54.12
2019-05-31,51.57
2019-06-03,53.01
2019-06-04,54.8
2019-06-05,54.54
2019-06-06,55.14
2019-06-07,55.37
2019-06-10,54.69
2019-06-11,54.78
2019-06-12,54.42
2019-06-13,55.45
2019-06-14,55.91
2019-06-17,54.86
2019-06-18,55.99
2019-06-19,56.17
2019-06-20,57.72
2019-06-21,57.63
2019-06-24,57.51
2019-06-25,56.43
2019-06-26,56.16
2019-06-27,56.8
2019-06-28,57.92
2019-07-01,58.72
2019-07-02,57.77
2019-07-03,58.65
2019-07-05,58.81
2019-07-08,58.25
2019-07-09,58.47
2019-07-10,58.08
2019-07-11,58.22
2019-07-12,59.12
2019-07-15,58.69
2019-07-16,58.99
2019-07-17,58.4
2019-07-18,59.7
2019-07-19,59.37
2019-07-22,58.84
2019-07-23,59.82
2019-07-24,60.58
2019-07-25,60.09
2019-07-26,60.68
2019-07-29,59.51
2019-07-30,59.43
2019-07-31,58.04
2019-08-01,55.7
2019-08-02,55.29
2019-08-05,53.72
2019-08-06,54.33
2019-08-07,53.84
2019-08-08,55.69
2019-08-09,54.99
2019-08-12,52.88
2019-08-13,54.06
2019-08-14,52.43
2019-08-15,52.18
2019-08-16,53.29
2019-08-19,53.88
2019-08-20,53.27
2019-08-21,53.74
2019-08-22,54.09
2019-08-23,52.31
2019-08-26,53.08
2019-08-27,52.51
2019-08-28,52.51
2019-08-29,53.2
2019-08-30,53.22
2019-09-03,52.67
2019-09-04,52.56
2019-09-05,53.9
2019-09-06,54.5
2019-09-09,56.01
2019-09-10,56.65
2019-09-11,56.68
2019-09-12,57.36
2019-09-13,57.83
2019-09-16,56.92
2019-09-17,57.17
2019-09-18,57.15
2019-09-19,56.9
2019-09-20,56.56
2019-09-23,57.12
2019-09-24,56.55
2019-09-25,56.78
2019-09-26,56.72
2019-09-27,57.37
2019-09-30,57.14
2019-10-01,55.18
2019-10-02,53.71
2019-10-03,53.36
2019-10-04,54.75
2019-10-07,54.29
2019-10-08,52.37
2019-10-09,53.3
2019-10-10,53.95
2019-10-11,55.35
2019-10-14,55.26
2019-10-15,55.83
2019-10-16,55.4
2019-10-17,55.49
2019-10-18,56.0
2019-10-21,56.83
2019-10-22,56.77
2019-10-23,57.33
2019-10-24,57.4
2019-10-25,54.51
2019-10-28,55.08
2019-10-29,55.0
2019-10-30,54.32
2019-10-31,53.38
2019-11-01,54.55
2019-11-04,55.42
2019-11-05,56.27
2019-11-06,56.31
2019-11-07,55.86
2019-11-08,55.3
2019-11-11,55.56
2019-11-12,55.87
2019-11-13,54.4
2019-11-14,54.59
2019-11-15,54.62
2019-11-18,54.28
2019-11-19,54.79
2019-11-20,54.28
2019-11-21,54.34
2019-11-22,54.62
2019-11-25,54.85
2019-11-26,54.64
2019-11-27,55.21
2019-11-29,55.1
2019-12-02,53.85
2019-12-03,52.35
2019-12-04,52.8
2019-12-05,52.79
2019-12-06,53.66
2019-12-09,53.25
2019-12-10,53.24
2019-12-11,53.52
2019-12-12,54.86
2019-12-13,54.29
2019-12-16,54.38
2019-12-17,54.66
2019-12-18,54.74
2019-12-19,55.1
2019-12-20,55.05
2019-12-23,54.79
2019-12-24,54.72
2019-12-26,54.97
2019-12-27,54.76
2019-12-30,54.65
2019-12-31,55.0
2020-01-02,55.73
2020-01-03,54.91
2020-01-06,55.0
2020-01-07,55.35
2020-01-08,55.59
2020-01-09,56.18
2020-01-10,55.7
2020-01-13,56.05
2020-01-14,55.75
2020-01-15,55.21
2020-01-16,56.1
2020-01-17,57.08
2020-01-21,55.62
2020-01-22,55.61
2020-01-23,55.33
2020-01-24,54.36
2020-01-27,52.91
2020-01-28,53.85
2020-01-29,54.48
2020-01-30,54.43
2020-01-31,52.95
2020-02-03,53.87
2020-02-04,54.58
2020-02-05,56.14
2020-02-06,56.12
2020-02-07,55.59
2020-02-10,55.8
2020-02-11,56.34
2020-02-12,56.52
2020-02-13,55.99
2020-02-14,56.36
2020-02-18,55.26
2020-02-19,55.91
2020-02-20,55.98
2020-02-21,54.41
2020-02-24,51.73
2020-02-25,49.48
2020-02-26,48.95
2020-02-27,46.81
2020-02-28,44.39
2020-03-02,47.08
2020-03-03,44.75
2020-03-04,46.24
2020-03-05,43.89
2020-03-06,42.28
2020-03-09,35.41
2020-03-10,37.57
2020-03-11,35.92
2020-03-12,30.98
2020-03-13,35.55
2020-03-16,29.31
2020-03-17,28.66
2020-03-18,27.21
2020-03-19,26.89
2020-03-20,25.68
2020-03-23,24.16
2020-03-24,29.61
2020-03-25,32.59
2020-03-26,33.85
2020-03-27,32.6
2020-03-30,33.21
2020-03-31,31.34
2020-04-01,27.4
2020-04-02,26.6
2020-04-03,26.41
2020-04-06,28.26
2020-04-07,28.81
2020-04-08,30.44
2020-04-09,32.6
2020-04-13,31.5
2020-04-14,31.58
2020-04-15,29.63
2020-04-16,28.63
2020-04-17,30.54
2020-04-20,29.79
2020-04-21,28.43
2020-04-22,29.05
2020-04-23,29.47
2020-04-24,29.98
2020-04-27,31.69
2020-04-28,33.61
2020-04-29,36.55
2020-04-30,36.41
2020-05-01,35.1
2020-05-04,34.97
2020-05-05,34.86
2020-05-06,33.96
2020-05-07,36.29
2020-05-08,38.21
2020-05-11,36.61
2020-05-12,34.93
2020-05-13,32.51
2020-05-14,33.62
2020-05-15,33.85
2020-05-18,36.77
2020-05-19,35.3
2020-05-20,36.12
2020-05-21,37.0
2020-05-22,36.93
2020-05-26,39.13
2020-05-27,40.99
2020-05-28,40.8
2020-05-29,38.62
2020-06-01,39.52
2020-06-02,39.71
2020-06-03,43.03
2020-06-04,44.64
2020-06-05,47.05
2020-06-08,48.72
2020-06-09,47.27
2020-06-10,44.34
2020-06-11,40.05
2020-06-12,41.88
2020-06-15,43.01
2020-06-16,44.2
2020-06-17,42.85
2020-06-18,42.25
2020-06-19,42.17
2020-06-22,41.25
2020-06-23,41.89
2020-06-24,39.54
2020-06-25,40.0
2020-06-26,39.14
2020-06-29,40.35
2020-06-30,41.54
2020-07-01,40.16
2020-07-02,40.79
2020-07-06,42.26
2020-07-07,41.01
2020-07-08,41.87
2020-07-09,39.86
2020-07-10,41.89
2020-07-13,41.86
2020-07-14,42.53
2020-07-15,44.56
2020-07-16,44.76
2020-07-17,44.51
2020-07-20,43.86
2020-07-21,44.8
2020-07-22,44.98
2020-07-23,45.02
2020-07-24,44.77
2020-07-27,44.71
2020-07-28,43.43
2020-07-29,43.88
2020-07-30,42.45
2020-07-31,42.43
2020-08-03,42.97
2020-08-04,43.24
2020-08-05,44.65
2020-08-06,42.95
2020-08-07,44.32
2020-08-10,45.56
2020-08-11,46.18
2020-08-12,45.43
2020-08-13,44.89
2020-08-14,45.22
2020-08-17,44.4
2020-08-18,43.76
2020-08-19,43.69
2020-08-20,43.14
2020-08-21,42.61
2020-08-24,44.62
2020-08-25,44.31
2020-08-26,43.71
2020-08-27,44.34
2020-08-28,44.33
2020-08-31,42.11
2020-09-01,42.88
2020-09-02,43.3
2020-09-03,42.52
2020-09-04,43.42
2020-09-08,42.09
2020-09-09,41.85
2020-09-10,40.77
2020-09-11,41.07
2020-09-14,41.32
2020-09-15,39.95
