Date,Close
2017-01-03,18.55
2017-01-04,18.99
2017-01-05,18.93
2017-01-06,18.46
2017-01-09,18.53
2017-01-10,18.69
2017-01-11,18.84
2017-01-12,19.01
2017-01-13,19.19
2017-01-17,19.16
2017-01-18,19.21
2017-01-19,18.94
2017-01-20,19.12
2017-01-23,19.21
2017-01-24,20.34
2017-01-25,20.44
2017-01-26,21.18
2017-01-27,21.26
2017-01-30,21.39
2017-01-31,21.51
2017-02-01,21.21
2017-02-02,21.26
2017-02-03,21.39
2017-02-06,21.29
2017-02-07,21.25
2017-02-08,21.27
2017-02-09,21.4
2017-02-10,21.62
2017-02-13,21.52
2017-02-14,21.49
2017-02-15,21.63
2017-02-16,21.34
2017-02-17,21.4
2017-02-21,21.61
2017-02-22,21.71
2017-02-23,21.6
2017-02-24,21.73
2017-02-27,22.1
2017-02-28,22.05
2017-03-01,22.49
2017-03-02,22.42
2017-03-03,22.48
2017-03-06,22.46
2017-03-07,22.79
2017-03-08,23.16
2017-03-09,23.12
2017-03-10,23.53
2017-03-13,23.39
2017-03-14,23.18
2017-03-15,23.43
2017-03-16,23.81
2017-03-17,23.72
2017-03-20,23.74
2017-03-21,23.4
2017-03-22,23.37
2017-03-23,23.42
2017-03-24,23.49
2017-03-27,23.47
2017-03-28,23.73
2017-03-29,23.75
2017-03-30,23.83
2017-03-31,23.55
2017-04-03,23.48
2017-04-04,23.37
2017-04-05,23.29
2017-04-06,23.36
2017-04-07,23.28
2017-04-10,23.46
2017-04-11,23.76
2017-04-12,23.77
2017-04-13,23.71
2017-04-17,24.11
2017-04-18,24.2
2017-04-19,24.19
2017-04-20,23.34
2017-04-21,23.32
2017-04-24,23.08
2017-04-25,22.2
2017-04-26,22.7
2017-04-27,22.87
2017-04-28,22.67
2017-05-01,22.48
2017-05-02,22.32
2017-05-03,22.18
2017-05-04,22.15
2017-05-05,22.34
2017-05-08,22.25
2017-05-09,22.71
2017-05-10,22.89
2017-05-11,23.02
2017-05-12,22.75
2017-05-15,22.94
2017-05-16,23.07
2017-05-17,22.54
2017-05-18,22.75
2017-05-19,23.13
2017-05-22,23.29
2017-05-23,22.92
2017-05-24,23.08
2017-05-25,22.89
2017-05-26,22.84
2017-05-30,22.67
2017-05-31,22.67
2017-06-01,23.08
2017-06-02,23.71
2017-06-05,23.4
2017-06-06,23.44
2017-06-07,23.59
2017-06-08,23.42
2017-06-09,23.44
2017-06-12,23.47
2017-06-13,24.12
2017-06-14,24.28
2017-06-15,24.08
2017-06-16,24.01
