Date,Close
2017-01-03,77.32
2017-01-04,77.75
2017-01-05,78.39
2017-01-06,78.49
2017-01-09,77.23
2017-01-10,77.13
2017-01-11,77.72
2017-01-12,77.5
2017-01-13,77.26
2017-01-17,78.0
2017-01-18,77.89
2017-01-19,77.05
2017-01-20,77.02
2017-01-23,77.2
2017-01-24,77.44
2017-01-25,77.14
2017-01-26,76.98
2017-01-27,76.77
2017-01-30,76.44
2017-01-31,77.63
2017-02-01,76.69
2017-02-02,77.79
2017-02-03,78.03
2017-02-06,77.85
2017-02-07,77.92
2017-02-08,78.57
2017-02-09,78.13
2017-02-10,78.67
2017-02-13,78.72
2017-02-14,78.09
2017-02-15,78.0
2017-02-16,78.55
2017-02-17,78.7
2017-02-21,79.77
2017-02-22,79.72
2017-02-23,80.5
2017-02-24,81.44
2017-02-27,81.18
2017-02-28,82.19
2017-03-01,82.4
2017-03-02,83.32
2017-03-03,83.03
2017-03-06,82.96
2017-03-07,82.54
2017-03-08,80.94
2017-03-09,80.87
2017-03-10,81.61
2017-03-13,81.68
2017-03-14,81.88
2017-03-15,83.6
2017-03-16,82.55
2017-03-17,83.23
2017-03-20,82.53
2017-03-21,83.69
2017-03-22,83.66
2017-03-23,83.59
2017-03-24,84.12
2017-03-27,84.14
2017-03-28,84.2
2017-03-29,83.52
2017-03-30,83.28
2017-03-31,83.38
2017-04-03,83.51
2017-04-04,83.74
2017-04-05,84.02
2017-04-06,84.48
2017-04-07,84.26
2017-04-10,84.78
2017-04-11,84.79
2017-04-12,85.37
2017-04-13,85.23
2017-04-17,85.74
2017-04-18,86.18
2017-04-19,85.61
2017-04-20,85.32
2017-04-21,85.83
2017-04-24,86.18
2017-04-25,86.36
2017-04-26,86.25
2017-04-27,86.1
2017-04-28,85.09
2017-05-01,84.06
2017-05-02,84.7
2017-05-03,84.36
2017-05-04,84.45
2017-05-05,84.87
2017-05-08,84.91
2017-05-09,84.14
2017-05-10,84.19
2017-05-11,84.29
2017-05-12,84.76
2017-05-15,84.52
2017-05-16,83.89
2017-05-17,84.1
2017-05-18,84.61
2017-05-19,84.57
2017-05-22,85.15
2017-05-23,85.78
2017-05-24,86.44
2017-05-25,87.46
2017-05-26,87.4
2017-05-30,87.72
2017-05-31,88.35
2017-06-01,89.03
2017-06-02,89.22
2017-06-05,88.36
2017-06-06,87.96
2017-06-07,88.06
2017-06-08,87.85
2017-06-09,87.99
2017-06-12,87.45
2017-06-13,87.5
2017-06-14,88.06
2017-06-15,88.64
2017-06-16,88.92
2017-06-19,88.7
2017-06-20,88.81
2017-06-21,88.6
2017-06-22,88.17
2017-06-23,87.84
2017-06-26,88.2
2017-06-27,87.3
2017-06-28,86.51
2017-06-29,85.19
2017-06-30,85.16
2017-07-03,84.82
2017-07-05,84.64
2017-07-06,84.36
2017-07-07,84.67
2017-07-10,84.2
2017-07-11,84.35
2017-07-12,85.09
2017-07-13,84.72
2017-07-14,85.13
2017-07-17,85.56
2017-07-18,85.76
2017-07-19,86.01
2017-07-20,86.56
2017-07-21,87.23
2017-07-24,86.48
2017-07-25,86.1
2017-07-26,86.89
2017-07-27,86.96
2017-07-28,86.14
2017-07-31,86.73
2017-08-01,87.13
2017-08-02,87.24
2017-08-03,88.72
2017-08-04,88.06
2017-08-07,88.59
2017-08-08,88.73
2017-08-09,88.32
2017-08-10,88.97
2017-08-11,88.53
2017-08-14,88.84
2017-08-15,89.23
2017-08-16,89.62
2017-08-17,88.88
2017-08-18,89.29
2017-08-21,89.2
2017-08-22,89.48
2017-08-23,89.92
2017-08-24,89.9
