Date,Close
2017-01-03,34.91
2017-01-04,35.11
2017-01-05,34.87
2017-01-06,34.9
2017-01-09,34.19
2017-01-10,34.57
2017-01-11,34.72
2017-01-12,34.4
2017-01-13,34.89
2017-01-17,34.14
2017-01-18,34.28
2017-01-19,34.47
2017-01-20,34.66
2017-01-23,34.77
2017-01-24,37.41
2017-01-25,37.6
2017-01-26,37.45
2017-01-27,36.7
2017-01-30,36.58
2017-01-31,35.89
2017-02-01,35.7
2017-02-02,35.53
2017-02-03,36.6
2017-02-06,36.68
2017-02-07,36.46
2017-02-08,36.17
2017-02-09,36.92
2017-02-10,36.96
2017-02-13,37.15
2017-02-14,37.39
2017-02-15,37.4
2017-02-16,37.73
2017-02-17,37.24
2017-02-21,38.47
2017-02-22,37.66
2017-02-23,37.14
2017-02-24,37.76
2017-02-27,38.13
2017-02-28,37.32
2017-03-01,38.25
2017-03-02,37.52
2017-03-03,38.04
2017-03-06,37.67
2017-03-07,37.53
2017-03-08,37.49
2017-03-09,36.72
2017-03-10,37.31
2017-03-13,37.67
2017-03-14,37.23
2017-03-15,37.65
2017-03-16,37.48
2017-03-17,37.26
2017-03-20,37.1
2017-03-21,35.91
2017-03-22,36.31
2017-03-23,36.43
2017-03-24,36.13
2017-03-27,35.98
2017-03-28,36.48
2017-03-29,36.72
2017-03-30,37.12
2017-03-31,37.11
2017-04-03,36.48
2017-04-04,36.35
2017-04-05,35.3
2017-04-06,35.59
2017-04-07,35.8
2017-04-10,35.8
2017-04-11,35.62
2017-04-12,34.83
2017-04-13,34.16
2017-04-17,34.87
2017-04-18,34.94
2017-04-19,35.05
2017-04-20,35.21
2017-04-21,35.01
2017-04-24,35.93
2017-04-25,36.0
2017-04-26,36.29
2017-04-27,36.13
2017-04-28,35.44
2017-05-01,35.6
2017-05-02,35.53
2017-05-03,35.05
2017-05-04,34.97
2017-05-05,34.51
2017-05-08,34.44
2017-05-09,34.51
2017-05-10,33.67
2017-05-11,33.61
2017-05-12,32.49
2017-05-15,32.45
2017-05-16,31.82
2017-05-17,31.05
2017-05-18,31.22
2017-05-19,31.44
2017-05-22,31.6
2017-05-23,31.7
2017-05-24,31.28
2017-05-25,31.01
2017-05-26,31.07
2017-05-30,30.75
2017-05-31,30.66
2017-06-01,31.37
2017-06-02,31.6
2017-06-05,31.26
2017-06-06,31.24
2017-06-07,31.4
2017-06-08,31.81
2017-06-09,32.71
2017-06-12,32.66
2017-06-13,33.0
2017-06-14,32.46
2017-06-15,31.98
2017-06-16,32.06
2017-06-19,32.4
2017-06-20,31.77
2017-06-21,31.22
2017-06-22,31.21
2017-06-23,31.62
2017-06-26,32.29
2017-06-27,32.16
2017-06-28,32.26
2017-06-29,31.88
2017-06-30,32.92
2017-07-03,32.67
2017-07-05,32.67
2017-07-06,32.76
2017-07-07,33.05
2017-07-10,33.39
2017-07-11,33.41
2017-07-12,33.75
2017-07-13,34.37
2017-07-14,34.23
2017-07-17,33.8
2017-07-18,33.08
2017-07-19,33.37
2017-07-20,32.75
2017-07-21,33.05
2017-07-24,33.61
2017-07-25,34.17
2017-07-26,33.77
2017-07-27,33.94
2017-07-28,33.58
2017-07-31,33.73
2017-08-01,34.44
2017-08-02,34.22
2017-08-03,35.7
2017-08-04,36.5
2017-08-07,36.29
2017-08-08,36.54
2017-08-09,36.68
2017-08-10,35.68
2017-08-11,35.61
2017-08-14,35.62
2017-08-15,35.33
2017-08-16,34.27
2017-08-17,33.83
2017-08-18,34.04
2017-08-21,33.78
2017-08-22,34.3
2017-08-23,34.42
2017-08-24,34.41
2017-08-25,34.61
2017-08-28,34.89
2017-08-29,35.26
2017-08-30,35.38
2017-08-31,35.93
2017-09-01,36.02
2017-09-05,35.78
2017-09-06,35.56
2017-09-07,35.5
2017-09-08,36.13
2017-09-11,36.16
2017-09-12,36.54
2017-09-13,36.27
2017-09-14,36.46
2017-09-15,36.3
2017-09-18,36.34
2017-09-19,36.77
2017-09-20,36.97
2017-09-21,37.06
2017-09-22,37.12
2017-09-25,37.31
2017-09-26,37.51
2017-09-27,37.59
2017-09-28,37.52
2017-09-29,37.37
2017-10-02,37.42
2017-10-03,37.49
2017-10-04,37.14
2017-10-05,37.5
2017-10-06,37.54
2017-10-09,37.37
2017-10-10,37.36
2017-10-11,37.52
2017-10-12,37.5
2017-10-13,37.29
2017-10-16,37.84
2017-10-17,37.45
2017-10-18,37.4
2017-10-19,37.17
2017-10-20,37.45
2017-10-23,37.48
2017-10-24,37.88
2017-10-25,37.37
2017-10-26,37.83
2017-10-27,37.98
2017-10-30,38.06
2017-10-31,37.73
2017-11-01,37.34
2017-11-02,36.56
2017-11-03,35.66
2017-11-06,36.31
2017-11-07,36.21
2017-11-08,36.34
2017-11-09,35.51
2017-11-10,35.84
2017-11-13,36.72
2017-11-14,35.75
2017-11-15,35.35
2017-11-16,35.97
2017-11-17,36.01
2017-11-20,36.47
2017-11-21,36.89
2017-11-22,36.47
2017-11-24,36.13
2017-11-27,36.16
2017-11-28,37.06
2017-11-29,37.65
2017-11-30,37.9
2017-12-01,37.39
2017-12-04,38.8
2017-12-05,38.42
2017-12-06,38.29
2017-12-07,38.45
2017-12-08,39.4
2017-12-11,39.17
2017-12-12,39.12
2017-12-13,38.29
2017-12-14,37.44
2017-12-15,37.72
2017-12-18,38.38
2017-12-19,37.8
2017-12-20,38.54
2017-12-21,39.4
2017-12-22,39.41
2017-12-26,39.5
2017-12-27,39.48
2017-12-28,39.33
2017-12-29,39.11
2018-01-02,39.24
2018-01-03,39.55
2018-01-04,39.86
2018-01-05,39.51
2018-01-08,39.1
2018-01-09,38.64
2018-01-10,38.14
2018-01-11,39.07
2018-01-12,39.44
2018-01-16,38.69
2018-01-17,38.73
2018-01-18,38.53
2018-01-19,38.99
2018-01-22,39.09
2018-01-23,38.87
2018-01-24,38.97
2018-01-25,38.89
2018-01-26,39.14
2018-01-29,38.87
2018-01-30,38.4
2018-01-31,38.49
2018-02-01,38.26
2018-02-02,36.09
2018-02-05,34.4
2018-02-06,35.18
2018-02-07,34.45
2018-02-08,33.51
2018-02-09,33.53
2018-02-12,33.98
2018-02-13,33.72
2018-02-14,34.43
2018-02-15,34.83
2018-02-16,35.07
2018-02-20,34.95
2018-02-21,34.84
2018-02-22,35.9
2018-02-23,35.67
2018-02-26,35.66
2018-02-27,35.04
2018-02-28,34.44
2018-03-01,33.86
2018-03-02,34.24
2018-03-05,34.22
2018-03-06,34.68
2018-03-07,35.17
2018-03-08,35.17
2018-03-09,35.99
2018-03-12,35.96
2018-03-13,35.46
2018-03-14,35.07
2018-03-15,35.0
2018-03-16,35.36
2018-03-19,34.94
2018-03-20,35.1
2018-03-21,35.82
2018-03-22,34.39
2018-03-23,33.21
2018-03-26,34.25
2018-03-27,34.0
2018-03-28,33.87
2018-03-29,34.35
2018-04-02,33.53
2018-04-03,34.17
2018-04-04,34.51
2018-04-05,34.6
2018-04-06,33.72
2018-04-09,33.46
2018-04-10,34.17
2018-04-11,33.98
2018-04-12,34.31
2018-04-13,34.15
2018-04-16,34.54
2018-04-17,34.68
2018-04-18,34.58
2018-04-19,34.28
2018-04-20,33.81
2018-04-23,33.49
2018-04-24,32.71
2018-04-25,32.78
2018-04-26,32.83
2018-04-27,32.92
2018-04-30,32.5
2018-05-01,32.81
2018-05-02,32.81
2018-05-03,34.06
2018-05-04,34.95
2018-05-07,35.14
2018-05-08,35.53
2018-05-09,36.08
2018-05-10,36.26
2018-05-11,36.38
2018-05-14,36.49
2018-05-15,36.5
2018-05-16,36.74
2018-05-17,36.72
2018-05-18,36.62
2018-05-21,36.92
2018-05-22,36.19
2018-05-23,35.63
2018-05-24,35.6
2018-05-25,35.59
2018-05-29,35.62
2018-05-30,36.29
2018-05-31,36.01
2018-06-01,36.02
2018-06-04,36.23
2018-06-05,36.95
2018-06-06,37.1
2018-06-07,37.14
2018-06-08,37.11
2018-06-11,36.82
2018-06-12,36.84
2018-06-13,36.74
2018-06-14,35.92
2018-06-15,35.6
2018-06-18,35.75
2018-06-19,35.41
2018-06-20,35.39
2018-06-21,34.74
2018-06-22,34.18
2018-06-25,33.86
2018-06-26,33.84
2018-06-27,33.4
2018-06-28,33.25
2018-06-29,33.4
2018-07-02,33.56
2018-07-03,33.65
2018-07-05,33.75
2018-07-06,33.84
2018-07-09,34.24
2018-07-10,34.34
2018-07-11,33.61
2018-07-12,33.54
2018-07-13,33.68
2018-07-16,33.28
2018-07-17,33.19
2018-07-18,33.18
2018-07-19,33.4
2018-07-20,33.29
2018-07-23,32.82
2018-07-24,33.07
2018-07-25,33.73
2018-07-26,33.65
2018-07-27,33.7
2018-07-30,33.28
2018-07-31,34.07
2018-08-01,34.1
2018-08-02,35.11
2018-08-03,34.92
2018-08-06,35.08
2018-08-07,34.75
2018-08-08,34.82
2018-08-09,34.7
2018-08-10,34.45
2018-08-13,33.7
2018-08-14,34.02
2018-08-15,33.94
2018-08-16,33.18
2018-08-17,34.14
2018-08-20,34.12
2018-08-21,34.45
2018-08-22,34.17
2018-08-23,34.0
2018-08-24,33.77
2018-08-27,33.99
2018-08-28,34.12
2018-08-29,34.69
2018-08-30,34.45
2018-08-31,34.59
2018-09-04,33.96
2018-09-05,34.16
2018-09-06,34.26
2018-09-07,33.92
2018-09-10,34.4
2018-09-11,34.62
2018-09-12,35.15
2018-09-13,34.48
2018-09-14,34.56
2018-09-17,34.81
2018-09-18,34.25
2018-09-19,34.5
2018-09-20,34.67
2018-09-21,34.48
2018-09-24,34.35
2018-09-25,33.69
2018-09-26,33.21
2018-09-27,32.88
2018-09-28,33.38
2018-10-01,33.49
2018-10-02,33.63
2018-10-03,33.67
2018-10-04,32.64
2018-10-05,32.41
2018-10-08,32.56
2018-10-09,32.41
2018-10-10,31.69
2018-10-11,31.44
2018-10-12,31.34
2018-10-15,31.76
2018-10-16,32.76
2018-10-17,32.58
2018-10-18,32.31
2018-10-19,32.09
2018-10-22,31.83
2018-10-23,31.46
2018-10-24,30.3
2018-10-25,31.05
2018-10-26,30.96
2018-10-29,30.81
2018-10-30,31.42
2018-10-31,31.2
2018-11-01,33.43
2018-11-02,34.38
2018-11-05,34.91
2018-11-06,34.81
2018-11-07,35.55
2018-11-08,35.34
2018-11-09,34.84
2018-11-12,33.63
2018-11-13,33.68
2018-11-14,33.75
2018-11-15,34.28
2018-11-16,34.42
2018-11-19,34.0
2018-11-20,33.74
2018-11-21,34.01
2018-11-23,33.7
2018-11-26,34.58
2018-11-27,34.71
2018-11-28,34.71
2018-11-29,34.38
2018-11-30,35.1
2018-12-03,35.83
2018-12-04,33.51
2018-12-06,32.65
2018-12-07,31.33
2018-12-10,30.71
2018-12-11,30.7
2018-12-12,31.35
2018-12-13,30.61
2018-12-14,30.27
2018-12-17,29.38
2018-12-18,29.19
2018-12-19,28.55
2018-12-20,28.64
2018-12-21,28.25
2018-12-24,27.93
2018-12-26,29.78
2018-12-27,30.17
2018-12-28,30.02
2018-12-31,30.1
2019-01-02,29.92
2019-01-03,29.55
2019-01-04,31.17
2019-01-07,31.29
2019-01-08,31.77
2019-01-09,31.81
2019-01-10,32.42
2019-01-11,32.3
2019-01-14,32.09
2019-01-15,31.91
2019-01-16,31.92
2019-01-17,32.54
2019-01-18,33.5
2019-01-22,33.41
2019-01-23,33.23
2019-01-24,33.64
2019-01-25,34.75
2019-01-28,35.02
2019-01-29,34.9
2019-01-30,35.18
2019-01-31,35.34
2019-02-01,34.49
2019-02-04,34.77
2019-02-05,34.62
2019-02-06,34.76
2019-02-07,34.3
2019-02-08,34.31
2019-02-11,34.61
2019-02-12,35.42
2019-02-13,35.6
2019-02-14,35.43
2019-02-15,35.76
2019-02-19,35.69
2019-02-20,36.61
2019-02-21,36.18
2019-02-22,36.48
2019-02-25,36.55
2019-02-26,35.9
2019-02-27,35.97
2019-02-28,35.64
2019-03-01,35.94
2019-03-04,35.92
2019-03-05,35.72
2019-03-06,35.5
2019-03-07,34.99
2019-03-08,35.19
2019-03-11,35.89
2019-03-12,36.22
2019-03-13,36.62
2019-03-14,36.91
2019-03-15,37.35
2019-03-18,37.41
2019-03-19,37.4
2019-03-20,37.23
2019-03-21,37.57
2019-03-22,36.69
2019-03-25,36.92
2019-03-26,37.14
2019-03-27,37.12
2019-03-28,37.39
2019-03-29,37.74
2019-04-01,38.64
2019-04-02,38.71
2019-04-03,38.75
2019-04-04,39.11
2019-04-05,39.51
2019-04-08,39.97
2019-04-09,38.99
2019-04-10,39.32
2019-04-11,39.69
2019-04-12,40.39
2019-04-15,40.24
2019-04-16,40.15
2019-04-17,40.09
2019-04-18,40.01
2019-04-22,39.82
2019-04-23,40.51
2019-04-24,40.48
2019-04-25,40.16
2019-04-26,40.56
2019-04-29,40.53
2019-04-30,40.6
2019-05-01,40.41
2019-05-02,39.75
2019-05-03,38.78
2019-05-06,38.72
2019-05-07,37.97
2019-05-08,37.8
2019-05-09,37.51
2019-05-10,37.45
2019-05-13,35.4
2019-05-14,35.72
2019-05-15,35.67
2019-05-16,35.8
2019-05-17,35.09
2019-05-20,34.73
2019-05-21,35.32
2019-05-22,34.84
2019-05-23,34.85
2019-05-24,35.14
2019-05-28,35.1
2019-05-29,35.23
2019-05-30,35.37
2019-05-31,34.76
2019-06-03,35.4
2019-06-04,37.13
2019-06-05,37.35
2019-06-06,36.89
2019-06-07,37.3
2019-06-10,37.19
2019-06-11,37.24
2019-06-12,37.28
2019-06-13,37.95
2019-06-14,37.78
2019-06-17,37.52
2019-06-18,38.42
2019-06-19,38.74
2019-06-20,39.26
2019-06-21,38.66
2019-06-24,38.2
2019-06-25,38.0
2019-06-26,37.73
2019-06-27,37.99
2019-06-28,38.19
2019-07-01,39.08
2019-07-02,38.85
2019-07-03,38.89
2019-07-05,38.58
2019-07-08,38.33
2019-07-09,38.17
2019-07-10,37.57
2019-07-11,37.43
2019-07-12,38.18
2019-07-15,37.93
2019-07-16,38.08
2019-07-17,37.91
2019-07-18,37.94
2019-07-19,37.84
2019-07-22,37.37
2019-07-23,37.71
2019-07-24,38.31
2019-07-25,37.64
2019-07-26,37.8
2019-07-29,37.91
2019-07-30,38.02
2019-07-31,37.42
2019-08-01,35.51
2019-08-02,33.51
2019-08-05,32.66
2019-08-06,33.07
2019-08-07,32.87
2019-08-08,33.66
2019-08-09,34.31
2019-08-12,33.26
2019-08-13,33.65
2019-08-14,32.41
2019-08-15,32.46
2019-08-16,33.17
2019-08-19,33.55
2019-08-20,33.27
2019-08-21,33.43
2019-08-22,33.48
2019-08-23,33.41
2019-08-26,33.21
2019-08-27,32.66
2019-08-28,32.97
2019-08-29,33.53
2019-08-30,33.9
2019-09-03,32.89
2019-09-04,33.62
2019-09-05,34.35
2019-09-06,34.22
2019-09-09,35.47
2019-09-10,38.27
2019-09-11,38.11
2019-09-12,38.03
2019-09-13,38.11
2019-09-16,38.92
2019-09-17,38.22
2019-09-18,38.4
2019-09-19,37.88
2019-09-20,37.59
2019-09-23,38.12
2019-09-24,37.53
2019-09-25,37.75
2019-09-26,37.62
2019-09-27,37.77
2019-09-30,37.8
2019-10-01,36.55
2019-10-02,36.4
2019-10-03,36.59
2019-10-04,37.1
2019-10-07,37.33
2019-10-08,37.07
2019-10-09,37.28
2019-10-10,37.84
2019-10-11,38.82
2019-10-14,38.83
2019-10-15,39.28
2019-10-16,39.14
2019-10-17,39.3
2019-10-18,40.22
2019-10-21,40.54
2019-10-22,40.86
2019-10-23,41.25
2019-10-24,41.2
2019-10-25,41.44
2019-10-28,42.08
2019-10-29,41.85
2019-10-30,41.98
2019-10-31,42.05
2019-11-01,43.08
2019-11-04,43.74
2019-11-05,43.75
2019-11-06,43.33
2019-11-07,43.14
2019-11-08,42.93
2019-11-11,42.84
2019-11-12,42.65
2019-11-13,42.17
2019-11-14,42.0
2019-11-15,42.42
2019-11-18,42.06
2019-11-19,42.0
2019-11-20,42.26
2019-11-21,41.73
2019-11-22,41.87
2019-11-25,42.15
2019-11-26,41.67
2019-11-27,42.07
2019-11-29,41.64
2019-12-02,41.36
2019-12-03,40.64
2019-12-04,40.24
2019-12-05,40.42
2019-12-06,40.5
2019-12-09,40.49
2019-12-10,39.91
2019-12-11,40.18
2019-12-12,41.55
2019-12-13,41.06
2019-12-16,40.67
2019-12-17,41.26
2019-12-18,40.71
2019-12-19,40.8
2019-12-20,41.27
2019-12-23,41.27
2019-12-24,41.03
2019-12-26,41.24
2019-12-27,40.82
2019-12-30,40.88
2019-12-31,40.71
2020-01-02,41.09
2020-01-03,40.86
2020-01-06,40.87
2020-01-07,40.68
2020-01-08,40.6
2020-01-09,41.32
2020-01-10,41.07
2020-01-13,41.04
2020-01-14,40.6
2020-01-15,40.24
2020-01-16,40.93
2020-01-17,41.26
2020-01-21,41.22
2020-01-22,41.09
2020-01-23,41.11
2020-01-24,40.37
2020-01-27,39.54
2020-01-28,40.15
2020-01-29,40.17
2020-01-30,39.94
2020-01-31,39.15
2020-02-03,39.47
2020-02-04,39.41
2020-02-05,40.36
2020-02-06,39.11
2020-02-07,38.89
2020-02-10,39.36
2020-02-11,40.18
2020-02-12,40.77
2020-02-13,40.8
2020-02-14,40.5
2020-02-18,40.15
2020-02-19,39.5
2020-02-20,39.42
2020-02-21,40.02
2020-02-24,39.43
2020-02-25,37.96
2020-02-26,37.08
2020-02-27,39.42
2020-02-28,38.13
2020-03-02,38.83
2020-03-03,38.56
2020-03-04,40.24
2020-03-05,39.12
2020-03-06,38.24
2020-03-09,33.22
2020-03-10,34.14
2020-03-11,32.54
2020-03-12,29.61
2020-03-13,32.45
2020-03-16,29.15
2020-03-17,29.86
2020-03-18,27.16
2020-03-19,26.98
2020-03-20,25.13
2020-03-23,23.8
2020-03-24,27.6
2020-03-25,30.41
2020-03-26,31.49
2020-03-27,29.84
2020-03-30,30.51
2020-03-31,31.73
2020-04-01,30.79
2020-04-02,30.82
2020-04-03,30.56
2020-04-06,33.13
2020-04-07,32.58
2020-04-08,33.8
2020-04-09,33.55
2020-04-13,32.32
2020-04-14,33.7
2020-04-15,32.55
2020-04-16,32.65
2020-04-17,34.91
2020-04-20,33.64
2020-04-21,32.44
2020-04-22,33.09
2020-04-23,33.37
2020-04-24,33.98
2020-04-27,34.96
2020-04-28,37.12
2020-04-29,36.53
2020-04-30,36.36
2020-05-01,34.97
2020-05-04,34.73
2020-05-05,34.97
2020-05-06,33.91
2020-05-07,33.21
2020-05-08,34.36
2020-05-11,32.97
2020-05-12,31.91
2020-05-13,30.33
2020-05-14,30.91
2020-05-15,31.34
2020-05-18,33.39
2020-05-19,33.0
2020-05-20,33.54
2020-05-21,33.85
2020-05-22,34.25
2020-05-26,36.28
2020-05-27,37.28
2020-05-28,36.61
2020-05-29,36.93
2020-06-01,37.93
2020-06-02,39.6
2020-06-03,40.39
2020-06-04,41.02
2020-06-05,42.39
2020-06-08,43.31
2020-06-09,41.53
2020-06-10,39.67
2020-06-11,36.79
2020-06-12,37.05
2020-06-15,38.06
2020-06-16,38.76
2020-06-17,38.92
2020-06-18,38.36
2020-06-19,38.71
2020-06-22,39.23
2020-06-23,39.51
2020-06-24,37.96
2020-06-25,38.95
2020-06-26,38.64
2020-06-29,39.12
2020-06-30,39.23
2020-07-01,38.34
2020-07-02,38.87
2020-07-06,39.0
2020-07-07,38.49
2020-07-08,37.35
2020-07-09,36.16
2020-07-10,36.8
2020-07-13,37.31
2020-07-14,38.33
2020-07-15,40.02
2020-07-16,40.03
2020-07-17,40.54
2020-07-20,40.14
2020-07-21,40.64
2020-07-22,40.92
2020-07-23,41.12
2020-07-24,40.68
2020-07-27,41.08
2020-07-28,39.97
2020-07-29,41.15
2020-07-30,40.12
2020-07-31,39.97
2020-08-03,41.2
2020-08-04,41.53
2020-08-05,42.78
2020-08-06,45.43
2020-08-07,46.36
2020-08-10,48.2
2020-08-11,49.86
2020-08-12,49.48
2020-08-13,49.27
2020-08-14,49.45
2020-08-17,50.79
2020-08-18,50.34
2020-08-19,49.85
2020-08-20,49.77
2020-08-21,49.58
2020-08-24,50.9
2020-08-25,51.14
2020-08-26,51.43
2020-08-27,51.0
2020-08-28,51.39
2020-08-31,51.25
2020-09-01,52.57
2020-09-02,53.34
2020-09-03,51.5
2020-09-04,51.98
2020-09-08,51.36
2020-09-09,52.23
2020-09-10,51.16
2020-09-11,51.56
2020-09-14,52.26
2020-09-15,51.99
2020-09-16,52.53
2020-09-17,52.58
2020-09-18,51.9
2020-09-21,49.22
2020-09-22,50.08
2020-09-23,51.29
2020-09-24,51.42
2020-09-25,51.71
2020-09-28,52.89
2020-09-29,52.74
2020-09-30,52.86
2020-10-01,53.56
2020-10-02,55.2
2020-10-05,56.9
2020-10-06,56.74
2020-10-07,58.36
2020-10-08,59.0
2020-10-09,59.23
2020-10-12,61.34
2020-10-13,60.37
2020-10-14,60.82
2020-10-15,62.05
2020-10-16,61.98
2020-10-19,61.89
2020-10-20,63.04
2020-10-21,61.57
2020-10-22,61.12
2020-10-23,62.27
2020-10-26,61.14
2020-10-27,60.77
2020-10-28,60.88
2020-10-29,62.66
2020-10-30,62.43
2020-11-02,66.45
2020-11-03,67.32
2020-11-04,63.46
2020-11-05,64.49
2020-11-06,65.12
2020-11-09,65.49
2020-11-10,66.58
2020-11-11,67.54
2020-11-12,67.07
2020-11-13,68.94
2020-11-16,69.35
2020-11-17,67.39
2020-11-18,67.58
2020-11-19,68.22
2020-11-20,66.88
2020-11-23,68.91
2020-11-24,70.63
2020-11-25,69.69
2020-11-27,69.93
2020-11-30,68.34
2020-12-01,69.96
2020-12-02,68.57
2020-12-03,69.37
2020-12-04,70.73
2020-12-07,71.51
2020-12-08,71.73
2020-12-09,73.1
2020-12-10,73.01
2020-12-11,72.07
2020-12-14,68.51
2020-12-15,69.24
2020-12-16,68.4
2020-12-17,68.82
2020-12-18,68.29
2020-12-21,68.58
2020-12-22,69.13
2020-12-23,70.81
2020-12-24,70.93
2020-12-28,70.71
2020-12-29,70.62
2020-12-30,71.15
2020-12-31,72.02
2021-01-04,68.25
2021-01-05,69.57
2021-01-06,74.8
2021-01-07,76.39
2021-01-08,75.98
2021-01-11,75.31
2021-01-12,76.26
2021-01-13,74.77
2021-01-14,77.58
2021-01-15,76.16
2021-01-19,78.25
2021-01-20,79.27
2021-01-21,77.81
2021-01-22,77.66
2021-01-25,75.72
2021-01-26,74.84
2021-01-27,71.67
2021-01-28,72.55
2021-01-29,70.47
2021-02-01,72.88
2021-02-02,75.82
2021-02-03,74.12
2021-02-04,75.31
2021-02-05,75.95
2021-02-08,76.58
2021-02-09,77.17
2021-02-10,76.22
2021-02-11,77.01
2021-02-12,77.87
2021-02-16,77.61
2021-02-17,76.83
2021-02-18,75.88
2021-02-19,77.25
2021-02-22,77.91
2021-02-23,78.21
2021-02-24,81.13
2021-02-25,84.61
2021-02-26,83.85
2021-03-01,85.7
2021-03-02,84.21
2021-03-03,82.73
2021-03-04,81.83
2021-03-05,83.12
2021-03-08,83.34
2021-03-09,83.23
2021-03-10,85.49
2021-03-11,87.41
2021-03-12,88.64
2021-03-15,88.85
2021-03-16,87.26
2021-03-17,87.93
2021-03-18,85.81
2021-03-19,85.46
2021-03-22,85.05
2021-03-23,82.39
2021-03-24,82.28
2021-03-25,83.48
2021-03-26,87.14
2021-03-29,84.32
2021-03-30,87.57
2021-03-31,87.98
2021-04-01,89.17
2021-04-05,91.93
2021-04-06,92.15
2021-04-07,91.1
2021-04-08,91.52
2021-04-09,93.72
2021-04-12,93.25
