Date,Close
2017-01-03,14.43
2017-01-04,14.62
2017-01-05,14.43
2017-01-06,14.48
2017-01-09,14.37
2017-01-10,14.56
2017-01-11,14.52
2017-01-12,14.43
2017-01-13,14.68
2017-01-17,13.78
2017-01-18,14.03
2017-01-19,13.98
2017-01-20,14.04
2017-01-23,13.91
2017-01-24,14.24
2017-01-25,14.62
2017-01-26,14.7
2017-01-27,14.54
2017-01-30,14.45
2017-01-31,14.41
2017-02-01,14.46
2017-02-02,14.25
2017-02-03,14.62
2017-02-06,14.63
2017-02-07,14.58
2017-02-08,14.49
2017-02-09,14.99
2017-02-10,14.99
2017-02-13,15.15
2017-02-14,15.49
2017-02-15,15.56
2017-02-16,15.59
2017-02-17,15.38
2017-02-21,15.43
2017-02-22,15.32
2017-02-23,15.34
2017-02-24,15.2
2017-02-27,15.31
2017-02-28,15.27
2017-03-01,15.91
2017-03-02,15.32
2017-03-03,15.36
2017-03-06,15.23
2017-03-07,15.25
2017-03-08,15.21
2017-03-09,15.2
2017-03-10,15.13
2017-03-13,15.12
2017-03-14,15.09
2017-03-15,15.0
2017-03-16,15.05
2017-03-17,15.05
2017-03-20,14.88
2017-03-21,14.1
2017-03-22,14.18
2017-03-23,14.23
2017-03-24,14.23
2017-03-27,14.08
2017-03-28,14.4
2017-03-29,14.31
2017-03-30,14.68
2017-03-31,14.53
2017-04-03,14.58
2017-04-04,14.56
2017-04-05,14.37
2017-04-06,14.53
2017-04-07,14.44
2017-04-10,14.22
2017-04-11,14.17
2017-04-12,13.96
2017-04-13,13.68
2017-04-17,13.99
2017-04-18,13.34
2017-04-19,13.36
2017-04-20,13.64
2017-04-21,13.47
2017-04-24,13.81
2017-04-25,13.86
2017-04-26,14.02
2017-04-27,13.79
2017-04-28,13.75
2017-05-01,13.87
2017-05-02,13.84
2017-05-03,14.12
2017-05-04,14.27
2017-05-05,14.28
2017-05-08,14.35
2017-05-09,14.21
2017-05-10,14.35
2017-05-11,14.18
2017-05-12,14.13
2017-05-15,14.34
2017-05-16,14.54
2017-05-17,13.97
2017-05-18,14.01
2017-05-19,14.09
2017-05-22,14.07
2017-05-23,14.47
2017-05-24,14.27
2017-05-25,14.28
2017-05-26,14.13
2017-05-30,13.97
2017-05-31,13.84
2017-06-01,13.79
2017-06-02,13.54
2017-06-05,13.53
2017-06-06,13.5
2017-06-07,13.59
2017-06-08,14.03
2017-06-09,14.4
2017-06-12,14.36
2017-06-13,14.42
2017-06-14,14.5
2017-06-15,14.4
2017-06-16,14.36
2017-06-19,14.5
2017-06-20,14.27
2017-06-21,13.96
2017-06-22,13.84
2017-06-23,13.57
2017-06-26,13.75
2017-06-27,14.0
2017-06-28,14.09
2017-06-29,14.66
2017-06-30,14.64
2017-07-03,14.88
2017-07-05,14.85
2017-07-06,14.71
2017-07-07,14.69
2017-07-10,14.75
2017-07-11,14.75
2017-07-12,14.63
2017-07-13,14.82
2017-07-14,14.68
2017-07-17,14.7
2017-07-18,14.54
2017-07-19,14.47
2017-07-20,14.31
2017-07-21,14.23
2017-07-24,14.4
2017-07-25,14.56
2017-07-26,14.45
2017-07-27,14.39
2017-07-28,14.5
2017-07-31,14.6
2017-08-01,14.69
2017-08-02,14.83
2017-08-03,14.9
2017-08-04,14.94
2017-08-07,14.87
2017-08-08,14.86
2017-08-09,14.68
2017-08-10,14.3
2017-08-11,14.07
2017-08-14,14.41
2017-08-15,14.48
2017-08-16,14.34
2017-08-17,13.99
2017-08-18,14.06
2017-08-21,14.04
2017-08-22,14.24
2017-08-23,14.31
2017-08-24,14.45
2017-08-25,14.45
2017-08-28,14.29
2017-08-29,14.16
2017-08-30,14.24
2017-08-31,14.11
2017-09-01,14.23
2017-09-05,13.64
2017-09-06,13.62
2017-09-07,13.17
2017-09-08,13.26
2017-09-11,13.52
2017-09-12,13.7
2017-09-13,13.74
2017-09-14,13.69
2017-09-15,13.75
2017-09-18,14.02
2017-09-19,14.15
2017-09-20,14.31
2017-09-21,14.43
2017-09-22,14.42
2017-09-25,14.48
2017-09-26,14.71
2017-09-27,15.05
2017-09-28,15.04
2017-09-29,15.23
2017-10-02,15.23
2017-10-03,15.17
2017-10-04,15.09
2017-10-05,15.27
2017-10-06,15.21
2017-10-09,15.01
2017-10-10,15.16
2017-10-11,15.04
2017-10-12,14.91
2017-10-13,14.83
2017-10-16,14.96
2017-10-17,14.78
2017-10-18,14.9
2017-10-19,14.97
2017-10-20,15.22
2017-10-23,15.12
2017-10-24,15.44
2017-10-25,15.57
2017-10-26,15.81
2017-10-27,15.72
2017-10-30,15.6
2017-10-31,15.48
2017-11-01,15.56
2017-11-02,15.71
2017-11-03,15.81
2017-11-06,15.88
2017-11-07,15.47
2017-11-08,15.36
2017-11-09,15.28
2017-11-10,15.17
2017-11-13,15.44
2017-11-14,15.69
2017-11-15,15.8
2017-11-16,15.7
2017-11-17,15.8
2017-11-20,15.86
2017-11-21,15.66
2017-11-22,15.56
2017-11-24,15.57
2017-11-27,15.52
2017-11-28,16.0
2017-11-29,16.57
2017-11-30,16.59
2017-12-01,16.65
2017-12-04,16.95
2017-12-05,16.87
2017-12-06,16.78
2017-12-07,16.97
2017-12-08,17.08
2017-12-11,16.98
2017-12-12,17.31
2017-12-13,17.08
