Date,Close
2017-01-03,90.63
2017-01-04,90.62
2017-01-05,89.05
2017-01-06,88.58
2017-01-09,87.25
2017-01-10,87.94
2017-01-11,86.64
2017-01-12,86.39
2017-01-13,86.32
2017-01-17,89.58
2017-01-18,89.29
2017-01-19,88.2
2017-01-20,88.9
2017-01-23,89.29
2017-01-24,90.11
2017-01-25,91.15
2017-01-26,90.01
2017-01-27,87.97
2017-01-30,88.44
2017-01-31,88.43
2017-02-01,87.37
2017-02-02,76.61
2017-02-03,76.17
2017-02-06,76.53
2017-02-07,75.98
2017-02-08,77.5
2017-02-09,77.98
2017-02-10,79.61
2017-02-13,79.34
2017-02-14,79.49
2017-02-15,79.17
2017-02-16,78.47
2017-02-17,78.39
2017-02-21,78.19
2017-02-22,78.11
2017-02-23,78.65
2017-02-24,79.21
2017-02-27,79.79
2017-02-28,79.33
2017-03-01,80.57
2017-03-02,80.71
2017-03-03,79.79
2017-03-06,79.73
2017-03-07,79.14
2017-03-08,80.43
2017-03-09,79.68
2017-03-10,80.3
2017-03-13,79.59
2017-03-14,80.03
2017-03-15,81.25
2017-03-16,81.04
2017-03-17,80.7
2017-03-20,79.46
2017-03-21,78.23
2017-03-22,78.21
2017-03-23,79.22
2017-03-24,79.74
2017-03-27,80.42
2017-03-28,81.65
2017-03-29,82.97
2017-03-30,81.9
2017-03-31,81.62
2017-04-03,81.37
2017-04-04,77.74
2017-04-05,79.52
2017-04-06,80.71
2017-04-07,79.28
2017-04-10,80.53
2017-04-11,80.33
2017-04-12,80.18
2017-04-13,79.15
2017-04-17,80.0
2017-04-18,79.53
2017-04-19,80.0
2017-04-20,79.72
2017-04-21,78.92
2017-04-24,79.61
2017-04-25,80.57
2017-04-26,81.18
2017-04-27,82.42
2017-04-28,80.72
2017-05-01,79.31
2017-05-02,80.81
2017-05-03,79.87
2017-05-04,80.34
2017-05-05,82.11
2017-05-08,82.1
2017-05-09,84.05
2017-05-10,83.07
2017-05-11,79.23
2017-05-12,76.4
2017-05-15,76.55
2017-05-16,73.94
2017-05-17,72.75
2017-05-18,71.38
2017-05-19,69.29
2017-05-22,68.24
2017-05-23,67.7
2017-05-24,66.68
2017-05-25,66.52
2017-05-26,66.11
2017-05-30,67.34
2017-05-31,67.8
2017-06-01,69.5
2017-06-02,69.17
2017-06-05,69.16
2017-06-06,69.02
2017-06-07,69.13
2017-06-08,69.2
2017-06-09,70.15
2017-06-12,69.7
2017-06-13,70.03
2017-06-14,70.59
2017-06-15,71.57
2017-06-16,72.08
2017-06-19,71.43
2017-06-20,70.66
2017-06-21,70.91
2017-06-22,71.43
2017-06-23,72.73
2017-06-26,72.89
2017-06-27,72.88
2017-06-28,72.85
2017-06-29,73.31
2017-06-30,73.8
2017-07-03,74.85
2017-07-05,73.1
2017-07-06,70.53
2017-07-07,72.3
2017-07-10,72.42
2017-07-11,71.75
2017-07-12,71.25
2017-07-13,71.88
2017-07-14,71.37
2017-07-17,72.82
2017-07-18,72.14
2017-07-19,72.97
2017-07-20,73.76
2017-07-21,74.88
2017-07-24,73.04
2017-07-25,74.98
2017-07-26,74.66
2017-07-27,75.61
2017-07-28,75.24
2017-07-31,75.65
2017-08-01,75.73
2017-08-02,75.51
2017-08-03,76.05
2017-08-04,77.29
2017-08-07,78.15
2017-08-08,88.53
2017-08-09,87.05
2017-08-10,83.84
2017-08-11,83.78
2017-08-14,84.87
2017-08-15,84.96
2017-08-16,86.15
2017-08-17,85.5
2017-08-18,84.32
2017-08-21,84.9
2017-08-22,85.32
2017-08-23,84.59
2017-08-24,85.95
2017-08-25,87.2
2017-08-28,87.23
2017-08-29,86.83
2017-08-30,86.95
2017-08-31,87.89
2017-09-01,89.32
2017-09-05,89.5
2017-09-06,90.55
2017-09-07,88.74
2017-09-08,90.79
2017-09-11,92.15
2017-09-12,91.4
2017-09-13,90.63
2017-09-14,90.82
2017-09-15,90.87
2017-09-18,90.16
2017-09-19,91.03
2017-09-20,89.11
2017-09-21,88.48
2017-09-22,88.42
2017-09-25,88.5
2017-09-26,88.73
2017-09-27,89.2
2017-09-28,88.86
2017-09-29,88.29
2017-10-02,88.98
2017-10-03,88.54
2017-10-04,89.48
2017-10-05,89.43
2017-10-06,88.25
2017-10-09,86.95
2017-10-10,87.22
2017-10-11,85.2
2017-10-12,85.26
2017-10-13,85.04
2017-10-16,86.05
2017-10-17,86.01
2017-10-18,85.33
2017-10-19,86.38
2017-10-20,90.37
2017-10-23,89.56
2017-10-24,90.67
2017-10-25,91.85
2017-10-26,91.26
2017-10-27,91.09
2017-10-30,91.81
2017-10-31,89.43
2017-11-01,89.45
2017-11-02,91.73
2017-11-03,90.67
2017-11-06,88.03
2017-11-07,85.0
2017-11-08,85.43
2017-11-09,86.3
2017-11-10,86.63
2017-11-13,86.67
2017-11-14,87.2
2017-11-15,87.13
2017-11-16,88.41
2017-11-17,89.11
2017-11-20,89.56
2017-11-21,90.27
2017-11-22,91.94
2017-11-24,91.42
2017-11-27,92.37
2017-11-28,94.52
2017-11-29,94.65
2017-11-30,95.15
2017-12-01,95.6
2017-12-04,99.71
2017-12-05,95.79
2017-12-06,97.3
2017-12-07,99.97
2017-12-08,102.34
2017-12-11,101.19
2017-12-12,100.14
2017-12-13,96.22
2017-12-14,96.85
2017-12-15,96.11
2017-12-18,98.06
2017-12-19,97.33
2017-12-20,98.62
2017-12-21,100.92
2017-12-22,101.8
2017-12-26,103.39
2017-12-27,103.31
2017-12-28,102.61
2017-12-29,103.69
2018-01-02,104.88
2018-01-03,101.64
2018-01-04,103.52
2018-01-05,104.38
2018-01-08,104.96
2018-01-09,104.99
2018-01-10,104.98
2018-01-11,105.94
2018-01-12,106.79
2018-01-16,104.42
2018-01-17,106.05
2018-01-18,109.82
2018-01-19,112.78
2018-01-22,114.89
2018-01-23,115.85
2018-01-24,117.74
2018-01-25,117.37
2018-01-26,118.87
2018-01-29,116.97
2018-01-30,116.09
2018-01-31,114.31
2018-02-01,111.5
2018-02-02,109.8
2018-02-05,105.44
2018-02-06,106.73
2018-02-07,107.7
2018-02-08,101.32
2018-02-09,103.49
2018-02-12,103.39
2018-02-13,104.54
2018-02-14,106.68
2018-02-15,106.95
2018-02-16,105.59
2018-02-20,105.39
2018-02-21,106.67
2018-02-22,107.51
2018-02-23,108.53
2018-02-26,109.61
2018-02-27,107.9
2018-02-28,105.84
2018-03-01,105.12
2018-03-02,106.44
2018-03-05,107.42
2018-03-06,106.96
2018-03-07,106.97
2018-03-08,105.23
2018-03-09,105.84
2018-03-12,107.48
2018-03-13,107.32
2018-03-14,107.78
2018-03-15,108.44
2018-03-16,109.15
2018-03-19,108.32
2018-03-20,110.4
2018-03-21,109.47
2018-03-22,107.66
2018-03-23,107.08
2018-03-26,110.73
2018-03-27,109.59
2018-03-28,110.04
2018-03-29,111.8
2018-04-02,108.04
2018-04-03,109.84
