Date,Close
2017-01-03,65.61
2017-01-04,66.55
2017-01-05,65.69
2017-01-06,65.31
2017-01-09,65.45
2017-01-10,66.77
2017-01-11,66.55
2017-01-12,66.59
2017-01-13,66.93
2017-01-17,67.12
2017-01-18,66.9
2017-01-19,65.96
2017-01-20,66.0
2017-01-23,65.11
2017-01-24,66.11
2017-01-25,65.96
2017-01-26,65.57
2017-01-27,65.33
2017-01-30,65.39
2017-01-31,66.11
2017-02-01,65.88
2017-02-02,65.64
2017-02-03,65.96
2017-02-06,66.34
2017-02-07,66.36
2017-02-08,67.67
2017-02-09,68.17
2017-02-10,68.79
2017-02-13,68.05
2017-02-14,68.7
2017-02-15,68.92
2017-02-16,68.26
2017-02-17,68.55
2017-02-21,68.81
2017-02-22,69.04
2017-02-23,67.64
2017-02-24,69.01
2017-02-27,69.15
2017-02-28,68.58
2017-03-01,66.8
2017-03-02,67.81
2017-03-03,67.07
2017-03-06,67.4
2017-03-07,66.87
2017-03-08,66.71
2017-03-09,66.65
2017-03-10,66.96
2017-03-13,66.95
2017-03-14,67.28
2017-03-15,67.54
2017-03-16,67.31
2017-03-17,67.65
2017-03-20,66.46
2017-03-21,65.77
2017-03-22,66.35
2017-03-23,65.77
2017-03-24,66.12
2017-03-27,65.34
2017-03-28,65.77
2017-03-29,66.06
2017-03-30,66.61
2017-03-31,65.87
2017-04-03,65.18
2017-04-04,63.66
2017-04-05,62.53
2017-04-06,63.45
2017-04-07,63.09
2017-04-10,63.5
2017-04-11,63.91
2017-04-12,63.73
2017-04-13,63.2
2017-04-17,63.28
2017-04-18,63.41
2017-04-19,63.73
2017-04-20,64.66
2017-04-21,64.9
2017-04-24,65.06
2017-04-25,64.75
2017-04-26,65.05
2017-04-27,65.54
2017-04-28,65.0
2017-05-01,64.08
2017-05-02,64.72
2017-05-03,65.14
2017-05-04,64.57
2017-05-05,64.7
2017-05-08,64.63
2017-05-09,65.22
2017-05-10,66.05
2017-05-11,65.23
2017-05-12,63.49
2017-05-15,62.35
2017-05-16,61.5
2017-05-17,61.52
2017-05-18,61.07
2017-05-19,62.2
2017-05-22,62.45
2017-05-23,62.02
2017-05-24,61.95
2017-05-25,63.0
2017-05-26,63.52
2017-05-30,63.43
2017-05-31,63.92
2017-06-01,63.68
2017-06-02,63.74
2017-06-05,63.32
2017-06-06,61.84
2017-06-07,62.11
2017-06-08,61.32
2017-06-09,61.96
2017-06-12,61.86
2017-06-13,62.09
2017-06-14,61.1
2017-06-15,60.91
2017-06-16,60.08
2017-06-19,60.65
2017-06-20,57.72
2017-06-21,56.9
2017-06-22,55.97
2017-06-23,56.29
2017-06-26,56.7
