Date,Close
2017-01-03,46.5
2017-01-04,47.21
2017-01-05,47.38
2017-01-06,47.18
2017-01-09,47.07
2017-01-10,47.8
2017-01-11,48.31
2017-01-12,48.28
2017-01-13,48.03
2017-01-17,48.25
2017-01-18,48.6
2017-01-19,48.12
2017-01-20,48.27
2017-01-23,48.51
2017-01-24,49.25
2017-01-25,49.18
2017-01-26,49.23
2017-01-27,49.2
2017-01-30,48.58
2017-01-31,48.5
2017-02-01,48.9
2017-02-02,49.78
2017-02-03,49.67
2017-02-06,49.57
2017-02-07,49.5
2017-02-08,50.22
2017-02-09,47.14
2017-02-10,47.83
2017-02-13,46.99
2017-02-14,47.12
2017-02-15,47.62
2017-02-16,47.91
2017-02-17,47.76
2017-02-21,47.94
2017-02-22,47.72
2017-02-23,47.89
2017-02-24,47.26
2017-02-27,46.69
2017-02-28,46.48
2017-03-01,47.12
2017-03-02,46.71
2017-03-03,46.3
2017-03-06,45.29
2017-03-07,44.41
2017-03-08,44.08
2017-03-09,44.85
2017-03-10,45.21
2017-03-13,45.04
2017-03-14,45.5
2017-03-15,45.9
2017-03-16,45.88
2017-03-17,46.06
2017-03-20,46.2
2017-03-21,45.36
2017-03-22,45.41
2017-03-23,45.46
2017-03-24,44.67
2017-03-27,43.55
2017-03-28,43.83
2017-03-29,43.49
2017-03-30,43.3
2017-03-31,43.58
2017-04-03,43.59
2017-04-04,43.04
2017-04-05,43.07
2017-04-06,43.06
2017-04-07,42.9
2017-04-10,42.89
2017-04-11,43.0
2017-04-12,42.69
2017-04-13,42.51
2017-04-17,42.81
2017-04-18,42.96
2017-04-19,43.54
2017-04-20,43.99
2017-04-21,43.75
2017-04-24,44.16
2017-04-25,44.87
2017-04-26,44.73
2017-04-27,44.21
2017-04-28,44.02
2017-05-01,44.09
2017-05-02,44.46
2017-05-03,44.26
2017-05-04,45.18
2017-05-05,45.79
2017-05-08,46.41
2017-05-09,42.3
2017-05-10,43.4
2017-05-11,43.13
2017-05-12,42.53
2017-05-15,42.99
2017-05-16,43.71
2017-05-17,43.64
2017-05-18,42.94
2017-05-19,43.45
2017-05-22,43.9
2017-05-23,43.9
2017-05-24,44.07
2017-05-25,44.22
2017-05-26,44.55
2017-05-30,44.68
2017-05-31,44.42
2017-06-01,44.7
2017-06-02,44.53
2017-06-05,44.59
2017-06-06,44.22
2017-06-07,44.32
2017-06-08,44.33
2017-06-09,44.14
2017-06-12,44.19
2017-06-13,44.98
2017-06-14,45.15
2017-06-15,44.84
2017-06-16,45.03
2017-06-19,45.3
2017-06-20,45.07
2017-06-21,45.27
2017-06-22,44.92
2017-06-23,44.83
2017-06-26,45.34
2017-06-27,45.06
2017-06-28,45.47
2017-06-29,44.87
2017-06-30,44.76
2017-07-03,45.01
2017-07-05,45.03
2017-07-06,44.72
2017-07-07,45.32
2017-07-10,45.84
2017-07-11,45.4
2017-07-12,45.88
2017-07-13,45.86
2017-07-14,46.05
2017-07-17,46.12
2017-07-18,45.78
2017-07-19,46.02
2017-07-20,45.53
2017-07-21,45.7
2017-07-24,45.3
2017-07-25,45.2
2017-07-26,45.06
2017-07-27,44.69
2017-07-28,43.87
2017-07-31,43.51
2017-08-01,43.54
2017-08-02,43.56
2017-08-03,43.26
2017-08-04,43.49
2017-08-07,43.86
2017-08-08,45.0
2017-08-09,44.85
2017-08-10,44.03
2017-08-11,44.18
2017-08-14,45.0
2017-08-15,44.95
2017-08-16,45.47
2017-08-17,44.94
2017-08-18,44.96
2017-08-21,44.84
2017-08-22,45.5
2017-08-23,45.3
2017-08-24,44.85
2017-08-25,44.82
2017-08-28,44.26
2017-08-29,43.99
2017-08-30,44.31
2017-08-31,44.38
2017-09-01,44.95
2017-09-05,44.23
2017-09-06,43.44
2017-09-07,43.75
2017-09-08,43.02
2017-09-11,43.61
2017-09-12,43.63
2017-09-13,43.43
2017-09-14,43.26
2017-09-15,43.45
2017-09-18,42.89
2017-09-19,41.72
2017-09-20,41.87
2017-09-21,42.44
2017-09-22,42.5
2017-09-25,42.17
2017-09-26,42.8
2017-09-27,42.54
2017-09-28,42.94
2017-09-29,42.72
2017-10-02,43.01
2017-10-03,43.74
2017-10-04,44.0
2017-10-05,44.09
2017-10-06,44.16
2017-10-09,44.32
2017-10-10,44.78
2017-10-11,44.01
2017-10-12,44.14
2017-10-13,44.55
2017-10-16,44.65
2017-10-17,44.27
2017-10-18,44.08
2017-10-19,44.16
2017-10-20,45.22
2017-10-23,44.86
2017-10-24,44.56
2017-10-25,44.58
2017-10-26,44.74
2017-10-27,44.6
2017-10-30,44.1
2017-10-31,44.23
2017-11-01,43.96
2017-11-02,43.89
2017-11-03,44.14
2017-11-06,43.81
2017-11-07,43.61
2017-11-08,44.8
2017-11-09,44.77
2017-11-10,44.35
2017-11-13,44.98
2017-11-14,45.1
2017-11-15,44.95
2017-11-16,45.58
2017-11-17,45.72
2017-11-20,45.01
2017-11-21,45.14
2017-11-22,45.31
2017-11-24,45.57
2017-11-27,46.56
2017-11-28,47.16
2017-11-29,47.34
2017-11-30,48.05
2017-12-01,47.74
2017-12-04,48.12
2017-12-05,47.99
2017-12-06,47.58
2017-12-07,47.96
2017-12-08,47.79
2017-12-11,47.77
2017-12-12,47.71
2017-12-13,48.25
2017-12-14,48.03
2017-12-15,48.68
2017-12-18,49.38
2017-12-19,49.66
2017-12-20,48.51
2017-12-21,48.7
2017-12-22,49.09
2017-12-26,49.14
2017-12-27,49.21
2017-12-28,49.45
2017-12-29,49.3
2018-01-02,49.42
2018-01-03,49.46
2018-01-04,49.57
2018-01-05,49.42
2018-01-08,49.64
2018-01-09,48.97
2018-01-10,48.66
2018-01-11,48.65
2018-01-12,48.86
2018-01-16,48.43
2018-01-17,48.5
2018-01-18,48.74
2018-01-19,49.1
2018-01-22,48.97
2018-01-23,49.0
2018-01-24,48.9
2018-01-25,49.08
2018-01-26,48.98
2018-01-29,48.5
2018-01-30,48.16
2018-01-31,47.35
2018-02-01,47.04
2018-02-02,46.22
2018-02-05,44.47
2018-02-06,44.28
2018-02-07,44.36
2018-02-08,42.62
2018-02-09,41.66
2018-02-12,42.52
2018-02-13,41.72
2018-02-14,42.51
2018-02-15,42.89
2018-02-16,42.66
2018-02-20,42.07
2018-02-21,42.2
2018-02-22,41.94
2018-02-23,42.66
2018-02-26,42.8
2018-02-27,42.14
2018-02-28,42.37
2018-03-01,41.84
