Date,Close
2017-01-03,68.22
2017-01-04,68.36
2017-01-05,68.3
2017-01-06,68.49
2017-01-09,69.04
2017-01-10,69.45
2017-01-11,69.16
2017-01-12,68.5
2017-01-13,69.26
2017-01-17,69.79
2017-01-18,70.06
2017-01-19,69.74
2017-01-20,68.78
2017-01-23,68.99
2017-01-24,70.04
2017-01-25,70.58
2017-01-26,70.17
2017-01-27,70.27
2017-01-30,70.03
2017-01-31,70.83
2017-02-01,71.68
2017-02-02,71.45
2017-02-03,72.17
2017-02-06,71.19
2017-02-07,66.32
2017-02-08,66.59
2017-02-09,67.14
2017-02-10,67.16
2017-02-13,67.91
2017-02-14,68.94
2017-02-15,68.72
2017-02-16,68.44
2017-02-17,68.55
2017-02-21,69.81
2017-02-22,69.38
2017-02-23,69.41
2017-02-24,70.25
2017-02-27,70.35
2017-02-28,70.13
2017-03-01,71.15
2017-03-02,70.66
2017-03-03,70.07
2017-03-06,69.46
2017-03-07,68.91
2017-03-08,68.66
2017-03-09,68.78
2017-03-10,68.57
2017-03-13,68.9
2017-03-14,68.42
2017-03-15,69.37
2017-03-16,68.57
2017-03-17,68.72
2017-03-20,68.6
2017-03-21,68.42
2017-03-22,68.35
2017-03-23,68.31
2017-03-24,68.63
2017-03-27,68.34
2017-03-28,67.92
2017-03-29,68.85
2017-03-30,69.48
2017-03-31,69.46
2017-04-03,69.9
2017-04-04,69.5
2017-04-05,69.39
2017-04-06,70.03
2017-04-07,69.9
2017-04-10,69.72
2017-04-11,70.24
2017-04-12,69.72
2017-04-13,69.22
2017-04-17,70.02
2017-04-18,69.91
2017-04-19,70.53
2017-04-20,70.95
2017-04-21,70.44
2017-04-24,71.8
2017-04-25,72.29
2017-04-26,72.98
2017-04-27,73.87
2017-04-28,73.8
2017-05-01,74.17
2017-05-02,74.39
2017-05-03,75.26
2017-05-04,75.25
2017-05-05,75.71
2017-05-08,75.3
2017-05-09,75.92
2017-05-10,76.38
2017-05-11,75.19
2017-05-12,75.0
2017-05-15,75.12
2017-05-16,75.26
2017-05-17,74.15
2017-05-18,74.62
2017-05-19,75.58
2017-05-22,75.85
2017-05-23,76.28
2017-05-24,76.67
2017-05-25,77.37
2017-05-26,77.1
2017-05-30,77.07
2017-05-31,77.56
2017-06-01,79.26
2017-06-02,79.45
2017-06-05,79.06
2017-06-06,78.95
2017-06-07,79.02
2017-06-08,80.1
2017-06-09,79.78
2017-06-12,79.44
2017-06-13,80.46
2017-06-14,80.9
2017-06-15,80.88
2017-06-16,81.88
2017-06-19,82.45
2017-06-20,81.35
2017-06-21,81.84
2017-06-22,81.89
2017-06-23,82.51
2017-06-26,83.11
2017-06-27,81.47
2017-06-28,82.32
2017-06-29,81.63
2017-06-30,81.5
2017-07-03,81.5
2017-07-05,82.39
2017-07-06,80.83
2017-07-07,82.1
2017-07-10,82.06
2017-07-11,81.92
2017-07-12,82.96
2017-07-13,82.22
2017-07-14,82.53
2017-07-17,82.45
2017-07-18,81.91
2017-07-19,81.98
2017-07-20,82.19
2017-07-21,82.15
2017-07-24,82.77
2017-07-25,83.13
2017-07-26,82.5
2017-07-27,82.01
2017-07-28,81.87
2017-07-31,81.85
2017-08-01,82.7
2017-08-02,82.27
2017-08-03,82.22
2017-08-04,82.48
2017-08-07,82.21
2017-08-08,86.7
2017-08-09,86.23
2017-08-10,84.64
2017-08-11,84.94
2017-08-14,85.68
2017-08-15,85.98
2017-08-16,86.58
2017-08-17,86.23
2017-08-18,85.13
2017-08-21,84.98
2017-08-22,86.26
2017-08-23,85.12
2017-08-24,85.0
2017-08-25,84.91
2017-08-28,85.22
2017-08-29,85.46
2017-08-30,86.0
2017-08-31,87.16
2017-09-01,86.88
2017-09-05,87.09
2017-09-06,86.99
2017-09-07,87.0
2017-09-08,87.05
2017-09-11,87.48
2017-09-12,87.42
2017-09-13,87.09
2017-09-14,86.8
2017-09-15,86.64
2017-09-18,86.73
2017-09-19,86.9
2017-09-20,87.08
2017-09-21,86.76
2017-09-22,87.04
2017-09-25,86.5
2017-09-26,86.78
2017-09-27,87.61
2017-09-28,87.66
2017-09-29,88.4
2017-10-02,88.8
2017-10-03,89.64
2017-10-04,90.32
2017-10-05,91.02
2017-10-06,90.51
2017-10-09,89.91
2017-10-10,89.9
2017-10-11,90.0
2017-10-12,90.6
2017-10-13,89.49
2017-10-16,90.67
2017-10-17,90.79
2017-10-18,90.5
2017-10-19,90.6
2017-10-20,91.24
2017-10-23,91.27
2017-10-24,91.23
2017-10-25,91.07
2017-10-26,91.2
2017-10-27,92.8
2017-10-30,92.13
2017-10-31,93.33
2017-11-01,89.25
2017-11-02,87.72
2017-11-03,88.63
2017-11-06,87.2
2017-11-07,87.31
2017-11-08,87.69
2017-11-09,88.15
2017-11-10,86.85
2017-11-13,87.53
2017-11-14,88.26
2017-11-15,87.61
2017-11-16,87.89
2017-11-17,87.85
2017-11-20,88.14
2017-11-21,88.58
2017-11-22,87.9
2017-11-24,88.48
2017-11-27,88.45
2017-11-28,88.93
2017-11-29,89.44
2017-11-30,89.96
2017-12-01,89.65
2017-12-04,89.47
2017-12-05,89.08
2017-12-06,89.0
2017-12-07,88.74
2017-12-08,88.45
2017-12-11,87.83
2017-12-12,87.9
2017-12-13,87.93
2017-12-14,87.57
2017-12-15,89.19
2017-12-18,89.09
2017-12-19,89.98
2017-12-20,89.29
2017-12-21,88.25
2017-12-22,88.13
2017-12-26,87.87
2017-12-27,88.33
