Date,Close
2017-01-03,25.65
2017-01-04,26.25
2017-01-05,25.79
2017-01-06,25.93
2017-01-09,25.81
2017-01-10,26.0
2017-01-11,25.42
2017-01-12,25.5
2017-01-13,25.35
2017-01-17,24.77
2017-01-18,24.75
2017-01-19,24.5
2017-01-20,24.51
2017-01-23,24.48
2017-01-24,24.49
2017-01-25,24.74
2017-01-26,24.73
2017-01-27,24.97
2017-01-30,24.78
2017-01-31,25.44
2017-02-01,25.54
2017-02-02,25.4
2017-02-03,25.7
2017-02-06,25.23
2017-02-07,25.3
2017-02-08,24.97
2017-02-09,25.89
2017-02-10,25.81
2017-02-13,25.98
2017-02-14,26.13
2017-02-15,26.3
2017-02-16,26.25
2017-02-17,26.31
2017-02-21,26.35
2017-02-22,26.43
2017-02-23,26.59
2017-02-24,26.65
2017-02-27,26.86
2017-02-28,26.58
2017-03-01,27.05
2017-03-02,26.69
2017-03-03,26.83
2017-03-06,26.77
2017-03-07,26.68
2017-03-08,26.74
2017-03-09,26.79
2017-03-10,27.02
2017-03-13,26.81
2017-03-14,26.71
2017-03-15,26.88
2017-03-16,26.13
2017-03-17,26.2
2017-03-20,25.99
2017-03-21,25.57
2017-03-22,25.64
2017-03-23,25.88
2017-03-24,25.96
2017-03-27,25.26
2017-03-28,25.0
2017-03-29,24.99
2017-03-30,25.26
2017-03-31,25.41
2017-04-03,25.22
2017-04-04,25.08
2017-04-05,24.82
2017-04-06,25.19
2017-04-07,25.18
2017-04-10,25.03
2017-04-11,25.11
2017-04-12,24.97
2017-04-13,24.96
2017-04-17,25.29
2017-04-18,25.32
2017-04-19,25.47
2017-04-20,25.64
2017-04-21,25.44
2017-04-24,25.78
2017-04-25,26.09
2017-04-26,26.44
2017-04-27,26.66
2017-04-28,26.77
2017-05-01,26.9
2017-05-02,27.78
2017-05-03,27.44
2017-05-04,27.72
2017-05-05,27.71
2017-05-08,27.56
2017-05-09,27.64
2017-05-10,27.79
2017-05-11,27.64
2017-05-12,27.6
2017-05-15,27.78
2017-05-16,27.86
2017-05-17,27.4
2017-05-18,27.26
2017-05-19,27.49
2017-05-22,27.59
2017-05-23,27.71
2017-05-24,27.77
2017-05-25,27.8
2017-05-26,27.85
2017-05-30,27.87
2017-05-31,28.02
2017-06-01,28.31
2017-06-02,28.88
2017-06-05,28.61
2017-06-06,28.48
2017-06-07,28.47
2017-06-08,28.42
2017-06-09,28.07
2017-06-12,27.85
2017-06-13,27.84
2017-06-14,28.04
2017-06-15,27.7
2017-06-16,27.91
2017-06-19,28.23
2017-06-20,28.22
2017-06-21,28.49
2017-06-22,29.08
2017-06-23,29.38
2017-06-26,29.51
2017-06-27,29.4
2017-06-28,29.69
2017-06-29,29.33
2017-06-30,29.38
2017-07-03,29.22
2017-07-05,29.06
2017-07-06,29.01
2017-07-07,29.42
2017-07-10,29.1
2017-07-11,29.22
2017-07-12,29.07
2017-07-13,28.92
2017-07-14,28.81
2017-07-17,29.02
2017-07-18,29.31
2017-07-19,29.24
2017-07-20,29.23
2017-07-21,29.5
2017-07-24,29.53
2017-07-25,29.55
2017-07-26,29.31
2017-07-27,29.08
2017-07-28,29.13
2017-07-31,28.98
2017-08-01,28.95
2017-08-02,28.86
2017-08-03,28.85
2017-08-04,28.84
2017-08-07,29.06
2017-08-08,28.4
2017-08-09,28.61
2017-08-10,29.19
2017-08-11,29.39
2017-08-14,29.37
2017-08-15,29.26
2017-08-16,29.58
2017-08-17,29.49
2017-08-18,29.48
2017-08-21,29.62
2017-08-22,29.86
2017-08-23,29.77
2017-08-24,29.99
2017-08-25,29.99
2017-08-28,30.44
2017-08-29,30.46
2017-08-30,30.16
2017-08-31,30.95
2017-09-01,30.64
2017-09-05,30.29
2017-09-06,30.42
2017-09-07,30.16
2017-09-08,29.98
2017-09-11,30.39
2017-09-12,30.59
2017-09-13,30.71
2017-09-14,30.76
2017-09-15,30.4
2017-09-18,30.43
2017-09-19,30.48
2017-09-20,30.31
2017-09-21,30.3
2017-09-22,30.35
2017-09-25,30.39
2017-09-26,29.96
2017-09-27,30.3
2017-09-28,30.16
2017-09-29,30.22
2017-10-02,30.66
2017-10-03,30.56
2017-10-04,30.61
2017-10-05,30.67
2017-10-06,30.64
2017-10-09,30.29
2017-10-10,30.58
2017-10-11,30.86
2017-10-12,30.98
2017-10-13,30.41
2017-10-16,30.64
2017-10-17,30.84
2017-10-18,30.78
2017-10-19,30.87
2017-10-20,31.06
2017-10-23,30.97
2017-10-24,30.99
2017-10-25,31.11
2017-10-26,31.26
2017-10-27,31.49
2017-10-30,30.91
2017-10-31,32.76
2017-11-01,32.1
2017-11-02,32.0
2017-11-03,32.32
2017-11-06,32.12
2017-11-07,31.55
2017-11-08,31.68
2017-11-09,31.18
2017-11-10,31.06
2017-11-13,31.09
2017-11-14,31.31
2017-11-15,31.48
2017-11-16,32.15
2017-11-17,32.31
2017-11-20,32.51
2017-11-21,33.03
2017-11-22,33.11
2017-11-24,32.93
2017-11-27,33.12
2017-11-28,33.28
2017-11-29,33.4
2017-11-30,33.69
2017-12-01,33.3
2017-12-04,32.45
2017-12-05,32.12
2017-12-06,32.18
2017-12-07,32.23
2017-12-08,32.19
2017-12-11,31.75
2017-12-12,31.83
2017-12-13,31.95
2017-12-14,31.94
2017-12-15,32.38
2017-12-18,32.4
2017-12-19,32.33
2017-12-20,32.29
2017-12-21,32.19
2017-12-22,32.08
2017-12-26,32.12
2017-12-27,32.05
2017-12-28,32.19
2017-12-29,32.39
2018-01-02,32.87
2018-01-03,33.62
2018-01-04,33.73
2018-01-05,34.1
2018-01-08,34.1
2018-01-09,34.43
2018-01-10,34.35
2018-01-11,34.54
2018-01-12,35.01
2018-01-16,35.07
2018-01-17,35.17
2018-01-18,35.01
2018-01-19,35.18
2018-01-22,35.25
2018-01-23,35.37
2018-01-24,35.34
2018-01-25,35.53
2018-01-26,35.58
2018-01-29,35.5
2018-01-30,35.1
2018-01-31,35.07
2018-02-01,35.01
2018-02-02,34.55
2018-02-05,33.13
2018-02-06,34.44
2018-02-07,34.11
2018-02-08,32.99
2018-02-09,33.4
2018-02-12,33.86
2018-02-13,34.25
2018-02-14,35.27
2018-02-15,35.38
2018-02-16,35.3
2018-02-20,34.88
2018-02-21,34.89
2018-02-22,34.88
2018-02-23,35.5
2018-02-26,35.65
2018-02-27,35.39
2018-02-28,35.34
2018-03-01,35.21
2018-03-02,35.1
2018-03-05,35.37
2018-03-06,36.2
2018-03-07,36.07
2018-03-08,35.99
2018-03-09,36.59
2018-03-12,36.67
2018-03-13,36.64
2018-03-14,36.71
2018-03-15,36.64
2018-03-16,37.05
2018-03-19,36.99
2018-03-20,37.17
2018-03-21,37.11
2018-03-22,36.89
2018-03-23,36.19
2018-03-26,37.3
2018-03-27,36.7
2018-03-28,36.86
2018-03-29,37.76
2018-04-02,36.23
2018-04-03,36.62
2018-04-04,36.81
2018-04-05,37.05
2018-04-06,36.33
2018-04-09,36.58
2018-04-10,37.23
2018-04-11,37.35
2018-04-12,37.3
2018-04-13,37.24
2018-04-16,37.48
2018-04-17,38.25
2018-04-18,38.34
2018-04-19,38.05
2018-04-20,38.2
2018-04-23,38.52
2018-04-24,38.12
2018-04-25,37.89
2018-04-26,38.15
2018-04-27,38.04
2018-04-30,37.73
2018-05-01,37.7
2018-05-02,36.69
2018-05-03,36.63
2018-05-04,36.97
2018-05-07,37.19
2018-05-08,37.28
2018-05-09,37.24
2018-05-10,37.47
2018-05-11,37.87
2018-05-14,37.99
2018-05-15,37.33
2018-05-16,37.94
2018-05-17,37.91
2018-05-18,38.24
2018-05-21,38.1
2018-05-22,38.03
2018-05-23,38.16
2018-05-24,37.87
2018-05-25,37.21
2018-05-29,36.82
2018-05-30,37.48
2018-05-31,37.58
2018-06-01,37.74
2018-06-04,38.42
2018-06-05,38.82
2018-06-06,39.82
2018-06-07,39.7
2018-06-08,39.93
2018-06-11,40.23
2018-06-12,40.55
2018-06-13,40.65
2018-06-14,41.02
2018-06-15,41.4
2018-06-18,40.92
2018-06-19,40.89
2018-06-20,40.75
2018-06-21,40.29
2018-06-22,40.37
2018-06-25,39.56
2018-06-26,39.26
2018-06-27,36.53
2018-06-28,36.78
2018-06-29,36.99
2018-07-02,37.06
2018-07-03,36.86
2018-07-05,37.08
2018-07-06,37.6
2018-07-09,38.15
2018-07-10,38.2
2018-07-11,38.03
2018-07-12,38.33
2018-07-13,38.28
2018-07-16,37.89
2018-07-17,38.12
2018-07-18,38.05
2018-07-19,38.47
2018-07-20,39.1
2018-07-23,39.73
2018-07-24,40.62
2018-07-25,41.41
2018-07-26,41.65
2018-07-27,40.61
2018-07-30,39.35
2018-07-31,40.16
2018-08-01,41.16
2018-08-02,41.56
2018-08-03,41.59
2018-08-06,42.21
2018-08-07,45.04
2018-08-08,44.33
2018-08-09,44.57
2018-08-10,44.67
2018-08-13,44.43
2018-08-14,45.04
2018-08-15,45.0
2018-08-16,44.93
2018-08-17,45.13
2018-08-20,45.32
2018-08-21,46.22
2018-08-22,46.21
2018-08-23,46.99
2018-08-24,47.06
2018-08-27,46.88
2018-08-28,47.09
2018-08-29,47.93
2018-08-30,47.84
2018-08-31,48.04
2018-09-04,47.77
2018-09-05,47.3
2018-09-06,47.63
2018-09-07,47.84
2018-09-10,48.89
2018-09-11,48.93
2018-09-12,48.99
2018-09-13,49.36
2018-09-14,49.95
2018-09-17,49.21
2018-09-18,49.34
2018-09-19,49.65
2018-09-20,49.75
2018-09-21,48.98
2018-09-24,50.06
2018-09-25,50.49
2018-09-26,50.38
2018-09-27,50.96
2018-09-28,51.03
2018-10-01,50.95
2018-10-02,50.42
2018-10-03,50.08
2018-10-04,48.33
2018-10-05,48.05
2018-10-08,47.36
2018-10-09,47.13
2018-10-10,45.6
2018-10-11,45.16
2018-10-12,46.26
2018-10-15,45.55
2018-10-16,46.35
2018-10-17,45.78
2018-10-18,45.81
2018-10-19,44.38
2018-10-22,45.16
2018-10-23,45.84
2018-10-24,43.42
2018-10-25,44.96
2018-10-26,45.04
2018-10-29,44.37
2018-10-30,41.59
2018-10-31,41.93
2018-11-01,42.34
2018-11-02,42.56
2018-11-05,42.64
2018-11-06,43.17
2018-11-07,44.67
2018-11-08,43.22
2018-11-09,42.7
2018-11-12,40.92
2018-11-13,40.49
2018-11-14,40.35
2018-11-15,40.76
2018-11-16,40.06
2018-11-19,38.79
2018-11-20,39.08
2018-11-21,39.12
2018-11-23,39.87
2018-11-26,39.68
2018-11-27,39.55
2018-11-28,40.79
2018-11-29,40.6
2018-11-30,40.35
2018-12-03,41.05
2018-12-04,40.1
2018-12-06,40.12
2018-12-07,39.06
2018-12-10,38.91
2018-12-11,39.38
2018-12-12,40.49
2018-12-13,38.92
2018-12-14,37.8
2018-12-17,36.7
2018-12-18,36.54
2018-12-19,36.39
2018-12-20,35.32
2018-12-21,34.45
2018-12-24,33.19
2018-12-26,34.83
2018-12-27,35.35
2018-12-28,35.44
2018-12-31,36.18
2019-01-02,35.48
2019-01-03,34.02
2019-01-04,36.12
2019-01-07,36.47
2019-01-08,36.83
2019-01-09,37.24
2019-01-10,38.42
2019-01-11,39.44
2019-01-14,39.07
2019-01-15,39.7
2019-01-16,40.08
2019-01-17,40.49
2019-01-18,40.79
2019-01-22,40.25
2019-01-23,40.53
2019-01-24,40.56
2019-01-25,41.07
2019-01-28,40.99
2019-01-29,41.13
2019-01-30,42.1
2019-01-31,43.62
2019-02-01,43.92
2019-02-04,44.45
2019-02-05,47.15
2019-02-06,46.81
2019-02-07,46.06
2019-02-08,45.93
2019-02-11,45.95
2019-02-12,46.66
2019-02-13,47.26
2019-02-14,47.14
2019-02-15,47.91
2019-02-19,47.97
2019-02-20,48.43
2019-02-21,48.49
2019-02-22,48.74
2019-02-25,48.74
2019-02-26,47.89
2019-02-27,48.58
2019-02-28,48.48
2019-03-01,49.2
2019-03-04,48.79
2019-03-05,48.97
2019-03-06,47.82
2019-03-07,47.69
2019-03-08,47.38
2019-03-11,47.99
2019-03-12,48.34
2019-03-13,48.75
2019-03-14,48.63
2019-03-15,48.91
2019-03-18,49.19
2019-03-19,49.77
2019-03-20,49.63
2019-03-21,50.11
2019-03-22,48.09
2019-03-25,48.55
2019-03-26,48.99
2019-03-27,48.56
2019-03-28,49.23
2019-03-29,49.64
2019-04-01,49.98
2019-04-02,50.05
2019-04-03,50.47
2019-04-04,49.73
2019-04-05,49.61
2019-04-08,50.41
2019-04-09,50.28
2019-04-10,50.85
2019-04-11,50.56
2019-04-12,50.38
2019-04-15,50.16
2019-04-16,48.82
2019-04-17,47.18
2019-04-18,47.29
2019-04-22,47.79
2019-04-23,47.98
2019-04-24,47.73
2019-04-25,47.82
2019-04-26,48.74
2019-04-29,49.06
2019-04-30,51.15
2019-05-01,50.53
2019-05-02,50.33
2019-05-03,51.39
2019-05-06,51.84
2019-05-07,50.35
2019-05-08,50.49
2019-05-09,50.47
2019-05-10,50.43
2019-05-13,48.67
2019-05-14,49.35
2019-05-15,49.17
2019-05-16,50.38
2019-05-17,49.37
2019-05-20,49.36
2019-05-21,50.27
2019-05-22,50.51
2019-05-23,49.47
2019-05-24,49.45
2019-05-28,49.01
2019-05-29,48.44
2019-05-30,48.74
2019-05-31,49.51
2019-06-03,49.49
2019-06-04,50.97
2019-06-05,51.64
2019-06-06,52.2
2019-06-07,52.49
2019-06-10,53.03
2019-06-11,53.17
2019-06-12,53.86
2019-06-13,52.81
2019-06-14,52.09
2019-06-17,51.81
2019-06-18,51.87
2019-06-19,52.78
2019-06-20,53.56
2019-06-21,52.58
2019-06-24,51.46
2019-06-25,50.86
2019-06-26,50.56
2019-06-27,51.6
2019-06-28,52.12
2019-07-01,52.32
2019-07-02,53.39
2019-07-03,54.18
2019-07-05,53.7
2019-07-08,53.1
2019-07-09,53.12
2019-07-10,53.25
2019-07-11,52.12
2019-07-12,52.33
2019-07-15,52.64
2019-07-16,52.57
2019-07-17,52.51
2019-07-18,53.61
2019-07-19,52.37
2019-07-22,52.19
2019-07-23,52.01
2019-07-24,52.25
2019-07-25,52.47
2019-07-26,53.65
2019-07-29,53.77
2019-07-30,52.61
2019-07-31,52.54
2019-08-01,52.75
2019-08-02,51.51
2019-08-05,49.87
2019-08-06,48.54
2019-08-07,47.6
2019-08-08,48.92
2019-08-09,48.02
2019-08-12,47.61
2019-08-13,49.3
2019-08-14,48.06
2019-08-15,48.21
2019-08-16,49.39
2019-08-19,48.48
2019-08-20,48.15
2019-08-21,48.3
2019-08-22,47.86
2019-08-23,46.91
2019-08-26,47.52
2019-08-27,47.28
2019-08-28,47.65
2019-08-29,48.16
2019-08-30,47.89
2019-09-03,46.41
2019-09-04,46.78
2019-09-05,47.46
2019-09-06,47.05
2019-09-09,45.89
2019-09-10,47.01
2019-09-11,48.91
2019-09-12,49.98
2019-09-13,50.24
2019-09-16,50.03
2019-09-17,49.42
2019-09-18,49.6
2019-09-19,49.38
2019-09-20,50.11
2019-09-23,50.55
2019-09-24,50.24
2019-09-25,50.38
2019-09-26,50.74
2019-09-27,49.33
2019-09-30,48.92
2019-10-01,47.42
2019-10-02,47.89
2019-10-03,49.21
2019-10-04,50.35
2019-10-07,50.42
2019-10-08,49.11
2019-10-09,50.24
2019-10-10,49.87
2019-10-11,50.24
2019-10-14,50.03
2019-10-15,50.16
2019-10-16,50.51
2019-10-17,50.38
2019-10-18,50.06
2019-10-21,50.85
2019-10-22,50.17
2019-10-23,50.61
2019-10-24,50.41
2019-10-25,50.83
2019-10-28,52.3
2019-10-29,52.56
2019-10-30,52.3
2019-10-31,52.04
2019-11-01,52.6
2019-11-04,51.76
2019-11-05,51.18
2019-11-06,51.05
2019-11-07,50.74
2019-11-08,50.8
2019-11-11,50.77
2019-11-12,50.99
2019-11-13,51.22
2019-11-14,50.9
2019-11-15,53.11
2019-11-18,52.86
2019-11-19,54.09
2019-11-20,54.53
2019-11-21,53.67
2019-11-22,53.87
2019-11-25,55.02
2019-11-26,55.0
2019-11-27,55.5
2019-11-29,54.56
2019-12-02,54.47
2019-12-03,53.88
2019-12-04,54.6
2019-12-05,54.44
2019-12-06,54.83
2019-12-09,54.82
2019-12-10,54.99
