Date,Close
2017-01-03,72.75
2017-01-04,73.81
2017-01-05,72.56
2017-01-06,71.44
2017-01-09,71.43
2017-01-10,71.43
2017-01-11,71.61
2017-01-12,71.25
2017-01-13,70.19
2017-01-17,70.94
2017-01-18,66.85
2017-01-19,65.39
2017-01-20,64.1
2017-01-23,63.85
2017-01-24,64.41
2017-01-25,65.0
2017-01-26,64.17
2017-01-27,63.7
2017-01-30,64.12
2017-01-31,64.48
2017-02-01,63.67
2017-02-02,63.68
2017-02-03,63.75
2017-02-06,63.42
2017-02-07,63.57
2017-02-08,64.77
2017-02-09,66.41
2017-02-10,65.73
2017-02-13,64.81
2017-02-14,65.65
2017-02-15,65.75
2017-02-16,65.2
2017-02-17,65.79
2017-02-21,66.21
2017-02-22,65.94
2017-02-23,64.98
2017-02-24,66.51
2017-02-27,66.91
2017-02-28,58.77
2017-03-01,57.83
2017-03-02,57.95
2017-03-03,57.35
2017-03-06,56.1
2017-03-07,55.14
2017-03-08,55.02
2017-03-09,55.2
2017-03-10,55.36
2017-03-13,55.19
2017-03-14,54.75
2017-03-15,54.57
2017-03-16,54.59
2017-03-17,54.29
2017-03-20,54.37
2017-03-21,53.39
2017-03-22,53.58
2017-03-23,53.14
2017-03-24,53.12
2017-03-27,53.33
2017-03-28,53.6
2017-03-29,55.15
2017-03-30,55.25
2017-03-31,55.19
2017-04-03,54.03
2017-04-04,53.43
2017-04-05,52.75
2017-04-06,53.57
2017-04-07,53.24
2017-04-10,53.79
2017-04-11,53.71
2017-04-12,53.4
2017-04-13,53.39
2017-04-17,53.68
2017-04-18,53.6
2017-04-19,53.89
2017-04-20,54.64
2017-04-21,54.78
2017-04-24,54.82
2017-04-25,55.15
2017-04-26,55.98
2017-04-27,56.09
2017-04-28,55.85
2017-05-01,55.77
2017-05-02,56.16
2017-05-03,57.34
2017-05-04,57.29
2017-05-05,57.32
2017-05-08,57.3
2017-05-09,58.08
2017-05-10,58.41
2017-05-11,56.06
2017-05-12,55.8
2017-05-15,55.35
2017-05-16,54.53
2017-05-17,55.04
2017-05-18,55.83
2017-05-19,55.99
2017-05-22,55.46
2017-05-23,54.49
2017-05-24,54.13
2017-05-25,54.2
2017-05-26,54.4
2017-05-30,54.94
2017-05-31,55.15
2017-06-01,55.66
2017-06-02,55.52
2017-06-05,55.63
2017-06-06,54.58
