Date,Close
2017-01-03,37.73
2017-01-04,38.31
2017-01-05,38.08
2017-01-06,37.99
2017-01-09,38.05
2017-01-10,38.35
2017-01-11,38.12
2017-01-12,37.97
2017-01-13,37.97
2017-01-17,38.38
2017-01-18,38.34
2017-01-19,37.54
2017-01-20,37.74
2017-01-23,37.24
2017-01-24,37.3
2017-01-25,37.72
2017-01-26,37.53
2017-01-27,37.13
2017-01-30,37.02
2017-01-31,37.46
2017-02-01,37.34
2017-02-02,37.47
2017-02-03,37.74
2017-02-06,37.67
2017-02-07,37.62
2017-02-08,37.76
2017-02-09,38.06
2017-02-10,38.53
2017-02-13,38.45
2017-02-14,39.04
2017-02-15,39.12
2017-02-16,38.42
2017-02-17,38.6
2017-02-21,38.12
2017-02-22,38.17
2017-02-23,38.91
2017-02-24,39.13
2017-02-27,39.31
2017-02-28,39.23
2017-03-01,39.23
2017-03-02,39.7
2017-03-03,39.41
2017-03-06,39.3
2017-03-07,39.15
2017-03-08,39.23
2017-03-09,38.97
2017-03-10,39.09
2017-03-13,39.03
2017-03-14,39.14
2017-03-15,39.59
2017-03-16,39.61
2017-03-17,39.61
2017-03-20,39.09
2017-03-21,39.05
2017-03-22,39.32
2017-03-23,39.22
2017-03-24,39.22
2017-03-27,39.17
2017-03-28,39.35
2017-03-29,39.84
2017-03-30,39.89
2017-03-31,39.54
2017-04-03,39.17
2017-04-04,38.35
2017-04-05,37.97
2017-04-06,38.4
2017-04-07,38.05
2017-04-10,38.01
2017-04-11,38.49
2017-04-12,38.55
2017-04-13,38.41
2017-04-17,38.24
2017-04-18,38.42
2017-04-19,38.45
2017-04-20,39.09
2017-04-21,39.28
2017-04-24,39.31
2017-04-25,39.39
2017-04-26,39.46
2017-04-27,39.49
2017-04-28,39.32
2017-05-01,38.83
2017-05-02,39.46
2017-05-03,39.57
2017-05-04,39.49
2017-05-05,39.35
2017-05-08,39.25
2017-05-09,39.49
2017-05-10,40.36
2017-05-11,39.74
2017-05-12,38.66
2017-05-15,38.45
2017-05-16,36.88
2017-05-17,37.39
2017-05-18,37.24
2017-05-19,37.14
2017-05-22,37.65
2017-05-23,37.2
2017-05-24,36.99
2017-05-25,37.69
2017-05-26,37.77
2017-05-30,37.42
2017-05-31,37.6
2017-06-01,37.95
2017-06-02,37.61
2017-06-05,37.52
2017-06-06,36.99
2017-06-07,37.1
2017-06-08,36.39
2017-06-09,36.84
2017-06-12,36.89
2017-06-13,36.96
2017-06-14,36.59
2017-06-15,36.27
2017-06-16,36.22
2017-06-19,36.17
2017-06-20,35.09
2017-06-21,34.7
2017-06-22,34.38
2017-06-23,34.64
2017-06-26,34.97
2017-06-27,34.98
2017-06-28,35.71
2017-06-29,35.54
2017-06-30,36.09
2017-07-03,35.78
2017-07-05,35.59
2017-07-06,35.15
2017-07-07,35.17
2017-07-10,34.34
2017-07-11,34.3
2017-07-12,34.47
2017-07-13,34.99
2017-07-14,34.9
2017-07-17,35.18
2017-07-18,34.98
2017-07-19,35.15
2017-07-20,34.8
2017-07-21,34.46
2017-07-24,33.45
2017-07-25,34.35
2017-07-26,34.24
2017-07-27,34.82
2017-07-28,34.8
2017-07-31,35.16
2017-08-01,35.36
2017-08-02,35.26
2017-08-03,34.8
2017-08-04,35.08
2017-08-07,35.34
2017-08-08,35.75
2017-08-09,35.63
2017-08-10,35.13
2017-08-11,35.53
2017-08-14,34.81
2017-08-15,35.08
2017-08-16,35.8
2017-08-17,35.13
2017-08-18,35.24
2017-08-21,35.73
2017-08-22,35.8
2017-08-23,35.8
2017-08-24,35.45
2017-08-25,35.84
2017-08-28,35.9
2017-08-29,35.74
2017-08-30,36.03
2017-08-31,36.15
2017-09-01,36.19
2017-09-05,36.17
2017-09-06,36.52
2017-09-07,36.46
2017-09-08,36.2
2017-09-11,36.42
2017-09-12,36.77
2017-09-13,36.74
2017-09-14,36.6
2017-09-15,36.87
2017-09-18,36.71
2017-09-19,36.42
2017-09-20,36.21
2017-09-21,36.41
2017-09-22,36.23
2017-09-25,36.92
2017-09-26,36.89
2017-09-27,37.08
2017-09-28,36.98
2017-09-29,36.87
2017-10-02,36.7
2017-10-03,36.91
2017-10-04,36.83
2017-10-05,36.91
2017-10-06,36.8
2017-10-09,36.52
2017-10-10,36.13
2017-10-11,36.28
2017-10-12,35.89
2017-10-13,36.03
2017-10-16,35.59
2017-10-17,35.9
2017-10-18,35.65
2017-10-19,35.71
2017-10-20,36.05
2017-10-23,36.1
2017-10-24,35.87
2017-10-25,35.72
2017-10-26,35.74
2017-10-27,35.27
2017-10-30,34.67
2017-10-31,34.9
2017-11-01,34.86
2017-11-02,35.1
2017-11-03,34.3
2017-11-06,34.12
2017-11-07,34.15
2017-11-08,33.99
2017-11-09,34.63
2017-11-10,35.11
2017-11-13,35.38
2017-11-14,33.97
2017-11-15,34.52
2017-11-16,34.53
2017-11-17,35.51
2017-11-20,35.6
2017-11-21,35.62
2017-11-22,35.28
2017-11-24,35.44
2017-11-27,35.48
2017-11-28,36.33
2017-11-29,37.39
2017-11-30,37.78
2017-12-01,37.67
2017-12-04,38.5
2017-12-05,37.8
2017-12-06,37.53
2017-12-07,36.92
2017-12-08,36.94
2017-12-11,36.65
2017-12-12,36.81
2017-12-13,36.95
2017-12-14,36.71
2017-12-15,37.09
2017-12-18,37.74
2017-12-19,38.03
2017-12-20,37.9
2017-12-21,38.15
2017-12-22,38.13
2017-12-26,38.73
2017-12-27,38.49
2017-12-28,38.19
2017-12-29,38.23
2018-01-02,38.35
2018-01-03,37.66
2018-01-04,37.72
2018-01-05,38.58
2018-01-08,37.83
2018-01-09,37.75
2018-01-10,38.14
2018-01-11,38.44
2018-01-12,39.14
2018-01-16,38.3
2018-01-17,38.29
2018-01-18,38.63
2018-01-19,39.45
2018-01-22,39.73
