Date,Close
2017-01-03,49.22
2017-01-04,50.14
2017-01-05,49.36
2017-01-06,49.95
2017-01-09,50.46
2017-01-10,50.81
2017-01-11,51.11
2017-01-12,50.87
2017-01-13,51.61
2017-01-17,51.4
2017-01-18,51.79
2017-01-19,51.79
2017-01-20,52.35
2017-01-23,52.16
2017-01-24,53.18
2017-01-25,53.88
2017-01-26,53.75
2017-01-27,53.69
2017-01-30,53.49
2017-01-31,53.65
2017-02-01,54.36
2017-02-02,54.8
2017-02-03,53.93
2017-02-06,54.2
2017-02-07,53.7
2017-02-08,53.71
2017-02-09,56.02
2017-02-10,57.88
2017-02-13,58.42
2017-02-14,58.26
2017-02-15,59.44
2017-02-16,59.97
2017-02-17,59.69
2017-02-21,58.98
2017-02-22,58.44
2017-02-23,57.85
2017-02-24,57.56
2017-02-27,57.47
2017-02-28,56.98
2017-03-01,58.8
2017-03-02,57.88
2017-03-03,58.12
2017-03-06,58.73
2017-03-07,59.19
2017-03-08,59.31
2017-03-09,59.16
2017-03-10,59.0
2017-03-13,59.51
2017-03-14,59.25
2017-03-15,59.02
2017-03-16,58.51
2017-03-17,58.01
2017-03-20,57.89
2017-03-21,56.6
2017-03-22,57.58
2017-03-23,57.72
2017-03-24,58.12
2017-03-27,58.57
2017-03-28,58.81
2017-03-29,58.79
2017-03-30,58.9
2017-03-31,59.27
2017-04-03,58.74
2017-04-04,57.85
2017-04-05,57.86
2017-04-06,58.05
2017-04-07,58.47
2017-04-10,58.43
2017-04-11,58.42
2017-04-12,57.87
2017-04-13,57.53
2017-04-17,58.55
2017-04-18,59.39
2017-04-19,60.45
2017-04-20,62.03
2017-04-21,62.29
2017-04-24,62.55
2017-04-25,62.63
2017-04-26,62.78
2017-04-27,63.15
2017-04-28,62.85
2017-05-01,63.98
2017-05-02,64.09
2017-05-03,63.99
2017-05-04,63.66
2017-05-05,65.42
2017-05-08,65.06
2017-05-09,65.11
2017-05-10,68.68
2017-05-11,68.59
2017-05-12,67.98
2017-05-15,69.27
2017-05-16,70.37
2017-05-17,66.52
2017-05-18,68.6
2017-05-19,67.58
2017-05-22,69.04
2017-05-23,72.83
2017-05-24,77.73
2017-05-25,78.53
2017-05-26,77.07
2017-05-30,76.07
2017-05-31,76.74
2017-06-01,78.12
2017-06-02,77.65
2017-06-05,77.32
2017-06-06,77.66
2017-06-07,79.77
2017-06-08,79.32
2017-06-09,75.3
2017-06-12,73.83
2017-06-13,74.62
2017-06-14,74.38
2017-06-15,74.01
2017-06-16,74.16
2017-06-19,74.1
2017-06-20,73.1
2017-06-21,73.05
2017-06-22,73.05
2017-06-23,72.88
2017-06-26,73.57
2017-06-27,71.17
2017-06-28,73.27
2017-06-29,72.52
2017-06-30,73.38
2017-07-03,72.07
2017-07-05,73.28
2017-07-06,73.2
2017-07-07,74.59
2017-07-10,74.48
2017-07-11,75.9
2017-07-12,77.31
2017-07-13,76.33
2017-07-14,76.21
2017-07-17,76.1
2017-07-18,77.47
2017-07-19,78.43
2017-07-20,78.03
2017-07-21,79.25
2017-07-24,79.67
2017-07-25,80.85
2017-07-26,81.46
2017-07-27,79.71
2017-07-28,80.1
2017-07-31,79.48
2017-08-01,79.93
2017-08-02,79.39
2017-08-03,89.09
2017-08-04,87.71
2017-08-07,90.52
2017-08-08,91.52
2017-08-09,90.97
2017-08-10,88.32
2017-08-11,89.3
2017-08-14,90.71
2017-08-15,90.66
2017-08-16,92.02
2017-08-17,90.94
2017-08-18,92.07
2017-08-21,91.98
2017-08-22,94.95
2017-08-23,94.4
2017-08-24,95.25
2017-08-25,94.64
2017-08-28,95.81
2017-08-29,95.79
2017-08-30,97.65
2017-08-31,97.79
2017-09-01,95.88
2017-09-05,97.09
2017-09-06,95.82
2017-09-07,99.5
2017-09-08,99.62
2017-09-11,100.11
2017-09-12,99.95
2017-09-13,98.78
2017-09-14,99.39
2017-09-15,100.39
2017-09-18,100.82
2017-09-19,102.38
2017-09-20,102.96
2017-09-21,101.72
2017-09-22,102.84
2017-09-25,97.62
2017-09-26,97.48
2017-09-27,100.13
2017-09-28,100.89
2017-09-29,102.23
