Date,Close
2017-01-03,54.58
2017-01-04,54.52
2017-01-05,54.64
2017-01-06,53.26
2017-01-09,52.68
2017-01-10,52.76
2017-01-11,52.46
2017-01-12,52.68
2017-01-13,52.55
2017-01-17,52.74
2017-01-18,52.25
2017-01-19,52.36
2017-01-20,52.72
2017-01-23,52.41
2017-01-24,50.12
2017-01-25,49.77
2017-01-26,49.12
2017-01-27,49.6
2017-01-30,49.37
2017-01-31,49.01
2017-02-01,48.39
2017-02-02,48.28
2017-02-03,48.58
2017-02-06,48.03
2017-02-07,48.04
2017-02-08,48.37
2017-02-09,48.81
2017-02-10,48.98
2017-02-13,48.55
2017-02-14,48.27
2017-02-15,48.08
2017-02-16,48.46
2017-02-17,49.19
2017-02-21,49.43
2017-02-22,49.67
2017-02-23,50.31
2017-02-24,50.6
2017-02-27,49.94
2017-02-28,49.63
2017-03-01,49.81
2017-03-02,49.98
2017-03-03,50.09
2017-03-06,50.03
2017-03-07,49.44
2017-03-08,49.16
2017-03-09,49.28
2017-03-10,49.35
2017-03-13,49.47
2017-03-14,49.36
2017-03-15,50.14
2017-03-16,50.04
2017-03-17,50.39
2017-03-20,50.24
2017-03-21,50.16
2017-03-22,49.71
2017-03-23,49.64
2017-03-24,49.68
2017-03-27,49.14
2017-03-28,49.3
2017-03-29,49.13
2017-03-30,49.06
2017-03-31,48.75
2017-04-03,49.18
2017-04-04,49.31
2017-04-05,49.02
2017-04-06,48.43
2017-04-07,48.66
2017-04-10,48.54
2017-04-11,48.7
2017-04-12,48.92
2017-04-13,48.62
2017-04-17,48.81
2017-04-18,49.22
2017-04-19,48.94
2017-04-20,48.41
2017-04-21,47.25
2017-04-24,47.05
2017-04-25,46.7
2017-04-26,47.36
2017-04-27,46.67
2017-04-28,45.91
2017-05-01,45.88
2017-05-02,45.91
2017-05-03,46.15
2017-05-04,45.88
2017-05-05,46.69
2017-05-08,46.63
2017-05-09,46.42
2017-05-10,46.38
2017-05-11,46.02
2017-05-12,45.84
2017-05-15,45.38
2017-05-16,45.31
2017-05-17,44.48
2017-05-18,45.04
2017-05-19,45.42
2017-05-22,45.48
2017-05-23,45.48
2017-05-24,45.04
2017-05-25,45.31
2017-05-26,45.32
2017-05-30,46.2
2017-05-31,46.64
2017-06-01,46.51
2017-06-02,46.44
2017-06-05,46.37
2017-06-06,46.44
2017-06-07,46.5
2017-06-08,46.19
2017-06-09,46.72
2017-06-12,47.19
2017-06-13,46.46
2017-06-14,46.69
2017-06-15,46.64
2017-06-16,46.63
2017-06-19,46.57
2017-06-20,45.94
2017-06-21,45.41
2017-06-22,45.42
2017-06-23,45.39
2017-06-26,45.75
2017-06-27,44.84
2017-06-28,44.84
2017-06-29,44.41
2017-06-30,44.66
2017-07-03,45.0
2017-07-05,44.65
2017-07-06,43.52
2017-07-07,43.48
2017-07-10,43.2
2017-07-11,42.89
2017-07-12,43.22
2017-07-13,43.49
2017-07-14,43.56
2017-07-17,43.66
2017-07-18,43.36
2017-07-19,43.45
2017-07-20,44.22
2017-07-21,44.23
2017-07-24,43.71
2017-07-25,43.98
2017-07-26,44.4
2017-07-27,47.81
2017-07-28,47.94
2017-07-31,48.4
2017-08-01,48.89
2017-08-02,48.21
2017-08-03,48.61
2017-08-04,48.91
2017-08-07,48.86
2017-08-08,48.6
2017-08-09,48.22
2017-08-10,48.02
2017-08-11,48.06
2017-08-14,48.78
2017-08-15,48.48
2017-08-16,48.41
2017-08-17,47.89
2017-08-18,47.69
2017-08-21,48.14
2017-08-22,48.35
2017-08-23,48.28
2017-08-24,48.31
2017-08-25,48.68
2017-08-28,48.61
2017-08-29,48.51
2017-08-30,48.12
2017-08-31,47.97
2017-09-01,47.92
2017-09-05,47.36
2017-09-06,46.91
2017-09-07,46.2
2017-09-08,46.11
2017-09-11,46.3
2017-09-12,46.79
2017-09-13,47.25
2017-09-14,47.18
2017-09-15,47.86
2017-09-18,48.09
2017-09-19,49.34
2017-09-20,49.48
2017-09-21,48.94
2017-09-22,49.9
2017-09-25,49.9
2017-09-26,49.51
2017-09-27,49.51
2017-09-28,49.41
2017-09-29,49.49
2017-10-02,49.36
2017-10-03,49.85
2017-10-04,49.9
2017-10-05,49.77
2017-10-06,48.81
2017-10-09,49.05
2017-10-10,49.14
2017-10-11,48.86
2017-10-12,48.35
2017-10-13,47.86
2017-10-16,48.09
2017-10-17,48.4
2017-10-18,48.65
2017-10-19,49.21
2017-10-20,49.53
2017-10-23,48.99
2017-10-24,48.94
2017-10-25,48.64
2017-10-26,48.89
2017-10-27,48.87
2017-10-30,47.83
2017-10-31,47.87
2017-11-01,47.83
2017-11-02,47.46
2017-11-03,47.42
2017-11-06,45.53
2017-11-07,45.57
2017-11-08,45.46
2017-11-09,45.07
2017-11-10,44.88
2017-11-13,44.75
2017-11-14,44.22
2017-11-15,44.11
2017-11-16,44.77
2017-11-17,45.42
2017-11-20,46.2
2017-11-21,46.18
2017-11-22,47.1
2017-11-24,47.01
2017-11-27,47.66
2017-11-28,48.82
2017-11-29,49.9
2017-11-30,50.89
2017-12-01,51.25
2017-12-04,51.72
2017-12-05,50.92
2017-12-06,50.68
2017-12-07,50.42
2017-12-08,51.09
2017-12-11,51.84
2017-12-12,53.19
2017-12-13,52.89
2017-12-14,52.34
2017-12-15,52.67
2017-12-18,53.25
2017-12-19,52.83
2017-12-20,52.77
2017-12-21,53.01
2017-12-22,53.19
2017-12-26,53.22
2017-12-27,53.28
2017-12-28,53.43
2017-12-29,52.93
2018-01-02,53.53
2018-01-03,52.43
2018-01-04,52.6
2018-01-05,52.48
2018-01-08,52.39
2018-01-09,51.61
2018-01-10,51.69
2018-01-11,52.11
2018-01-12,51.86
2018-01-16,51.66
2018-01-17,51.72
2018-01-18,51.55
2018-01-19,51.91
2018-01-22,53.46
2018-01-23,53.23
2018-01-24,54.22
2018-01-25,54.29
2018-01-26,54.72
2018-01-29,54.13
2018-01-30,53.9
2018-01-31,54.07
2018-02-01,54.3
2018-02-02,52.98
2018-02-05,50.5
2018-02-06,50.83
2018-02-07,51.01
2018-02-08,49.04
2018-02-09,49.88
2018-02-12,50.11
2018-02-13,50.08
2018-02-14,49.51
2018-02-15,49.74
2018-02-16,50.15
2018-02-20,48.92
2018-02-21,47.96
2018-02-22,47.87
2018-02-23,48.29
2018-02-26,49.09
2018-02-27,48.04
2018-02-28,47.74
2018-03-01,47.96
2018-03-02,48.26
2018-03-05,48.71
2018-03-06,48.89
2018-03-07,48.84
2018-03-08,49.01
2018-03-09,49.01
2018-03-12,48.8
2018-03-13,48.65
2018-03-14,48.45
2018-03-15,48.29
2018-03-16,48.56
2018-03-19,48.31
2018-03-20,47.69
2018-03-21,47.28
2018-03-22,46.88
2018-03-23,46.29
2018-03-26,47.07
2018-03-27,47.31
2018-03-28,48.0
2018-03-29,47.82
2018-04-02,47.16
2018-04-03,47.5
2018-04-04,47.93
2018-04-05,48.24
2018-04-06,47.48
2018-04-09,46.92
2018-04-10,48.27
2018-04-11,47.58
2018-04-12,47.74
2018-04-13,47.66
2018-04-16,48.39
2018-04-17,48.85
2018-04-18,48.62
2018-04-19,48.43
2018-04-20,47.9
2018-04-23,48.66
2018-04-24,49.67
2018-04-25,50.1
2018-04-26,49.76
2018-04-27,51.57
2018-04-30,49.35
2018-05-01,48.82
2018-05-02,47.75
2018-05-03,47.84
2018-05-04,48.19
2018-05-07,47.73
2018-05-08,47.02
2018-05-09,46.38
2018-05-10,47.2
2018-05-11,48.62
2018-05-14,48.49
2018-05-15,47.79
2018-05-16,47.86
2018-05-17,47.85
2018-05-18,47.74
2018-05-21,48.43
2018-05-22,48.81
2018-05-23,48.59
2018-05-24,48.64
2018-05-25,48.52
2018-05-29,48.2
2018-05-30,48.6
2018-05-31,47.67
2018-06-01,47.81
2018-06-04,47.82
2018-06-05,47.97
2018-06-06,48.41
2018-06-07,49.01
2018-06-08,49.18
2018-06-11,49.3
2018-06-12,48.81
2018-06-13,47.4
2018-06-14,47.82
2018-06-15,48.06
2018-06-18,47.46
2018-06-19,48.5
2018-06-20,48.09
2018-06-21,48.63
2018-06-22,49.76
2018-06-25,49.6
2018-06-26,49.3
2018-06-27,49.31
2018-06-28,50.86
2018-06-29,50.31
2018-07-02,50.42
2018-07-03,50.7
2018-07-05,51.28
2018-07-06,51.48
2018-07-09,50.74
2018-07-10,51.34
2018-07-11,51.34
2018-07-12,51.24
2018-07-13,51.41
2018-07-16,51.59
2018-07-17,51.43
2018-07-18,51.14
2018-07-19,50.75
2018-07-20,50.62
2018-07-23,50.75
2018-07-24,51.51
2018-07-25,50.91
2018-07-26,51.18
2018-07-27,52.01
2018-07-30,52.49
2018-07-31,51.64
2018-08-01,51.73
2018-08-02,51.98
2018-08-03,52.27
2018-08-06,52.48
2018-08-07,52.46
2018-08-08,52.7
2018-08-09,53.01
2018-08-10,52.47
2018-08-13,52.22
2018-08-14,52.87
2018-08-15,53.24
2018-08-16,54.27
2018-08-17,54.79
2018-08-20,54.65
2018-08-21,54.91
2018-08-22,54.14
2018-08-23,54.28
2018-08-24,54.78
2018-08-27,54.85
2018-08-28,54.65
2018-08-29,54.57
2018-08-30,54.75
2018-08-31,54.37
2018-09-04,53.19
2018-09-05,53.82
2018-09-06,54.29
2018-09-07,54.0
2018-09-10,54.12
2018-09-11,54.72
2018-09-12,54.97
2018-09-13,54.94
2018-09-14,54.55
2018-09-17,54.7
2018-09-18,54.39
2018-09-19,53.5
2018-09-20,53.95
2018-09-21,54.42
2018-09-24,53.54
2018-09-25,53.05
2018-09-26,53.14
2018-09-27,53.59
2018-09-28,53.39
2018-10-01,53.84
2018-10-02,54.42
2018-10-03,54.29
2018-10-04,55.02
2018-10-05,54.94
2018-10-08,55.02
2018-10-09,54.99
2018-10-10,54.33
2018-10-11,53.33
2018-10-12,53.73
2018-10-15,53.6
2018-10-16,53.7
2018-10-17,53.96
2018-10-18,54.65
2018-10-19,54.9
2018-10-22,54.98
2018-10-23,57.21
2018-10-24,57.42
2018-10-25,56.43
2018-10-26,55.51
2018-10-29,56.48
2018-10-30,58.18
2018-10-31,57.09
2018-11-01,56.05
2018-11-02,56.63
2018-11-05,57.21
2018-11-06,57.21
2018-11-07,57.65
2018-11-08,58.27
2018-11-09,58.46
2018-11-12,58.72
2018-11-13,58.66
2018-11-14,58.94
2018-11-15,59.08
2018-11-16,60.21
2018-11-19,60.62
2018-11-20,59.46
2018-11-21,59.16
2018-11-23,58.64
2018-11-26,59.17
2018-11-27,60.65
2018-11-28,60.06
2018-11-29,59.45
2018-11-30,60.3
2018-12-03,58.16
2018-12-04,58.09
2018-12-06,58.08
2018-12-07,57.68
2018-12-10,58.27
2018-12-11,58.85
2018-12-12,57.25
2018-12-13,57.09
2018-12-14,57.08
2018-12-17,55.95
2018-12-18,55.65
2018-12-19,55.86
2018-12-20,55.07
2018-12-21,54.92
2018-12-24,53.05
2018-12-26,54.44
2018-12-27,55.15
2018-12-28,55.27
2018-12-31,56.22
2019-01-02,56.02
2019-01-03,56.22
2019-01-04,56.36
2019-01-07,56.72
2019-01-08,58.38
2019-01-09,57.05
2019-01-10,57.6
2019-01-11,58.02
2019-01-14,58.03
2019-01-15,58.1
2019-01-16,57.08
2019-01-17,56.83
2019-01-18,57.09
2019-01-22,56.99
2019-01-23,57.76
2019-01-24,57.07
2019-01-25,56.4
2019-01-28,55.07
2019-01-29,53.28
2019-01-30,54.0
2019-01-31,55.06
2019-02-01,54.55
2019-02-04,54.04
2019-02-05,54.14
2019-02-06,53.79
2019-02-07,53.57
2019-02-08,53.95
2019-02-11,54.05
2019-02-12,54.42
2019-02-13,54.48
2019-02-14,54.03
2019-02-15,55.16
2019-02-19,55.44
2019-02-20,55.76
2019-02-21,56.15
2019-02-22,56.92
2019-02-25,56.78
2019-02-26,56.64
2019-02-27,56.72
2019-02-28,56.92
2019-03-01,56.96
2019-03-04,56.24
2019-03-05,56.08
2019-03-06,55.68
2019-03-07,56.3
2019-03-08,56.53
2019-03-11,57.58
2019-03-12,57.43
2019-03-13,57.66
2019-03-14,57.95
2019-03-15,58.39
2019-03-18,58.07
2019-03-19,57.5
2019-03-20,57.67
2019-03-21,58.29
2019-03-22,59.76
2019-03-25,60.08
2019-03-26,60.63
2019-03-27,60.88
2019-03-28,59.08
2019-03-29,59.13
2019-04-01,59.09
2019-04-02,58.53
2019-04-03,58.87
2019-04-04,58.99
2019-04-05,59.09
2019-04-08,59.13
2019-04-09,58.4
2019-04-10,58.61
2019-04-11,58.56
2019-04-12,58.74
2019-04-15,58.71
2019-04-16,58.79
2019-04-17,57.78
2019-04-18,58.04
2019-04-22,58.37
2019-04-23,57.15
2019-04-24,57.08
2019-04-25,55.85
2019-04-26,56.58
2019-04-29,56.84
2019-04-30,57.19
2019-05-01,56.52
2019-05-02,56.99
2019-05-03,57.24
2019-05-06,56.91
2019-05-07,56.63
2019-05-08,56.38
2019-05-09,56.48
2019-05-10,56.91
2019-05-13,56.75
2019-05-14,56.55
2019-05-15,56.81
2019-05-16,57.38
2019-05-17,58.09
2019-05-20,59.01
2019-05-21,59.5
2019-05-22,59.25
2019-05-23,58.87
2019-05-24,59.32
2019-05-28,58.73
2019-05-29,58.18
2019-05-30,56.83
2019-05-31,54.35
2019-06-03,56.38
2019-06-04,56.22
2019-06-05,57.03
2019-06-06,57.54
2019-06-07,57.24
2019-06-10,56.15
2019-06-11,56.83
2019-06-12,57.36
