Date,Close
2017-01-03,84.02
2017-01-04,85.51
2017-01-05,83.88
2017-01-06,84.56
2017-01-09,84.06
2017-01-10,85.31
2017-01-11,85.29
2017-01-12,85.03
2017-01-13,85.92
2017-01-17,86.75
2017-01-18,87.24
2017-01-19,86.92
2017-01-20,86.16
2017-01-23,84.65
2017-01-24,86.4
2017-01-25,88.25
2017-01-26,87.13
2017-01-27,88.03
2017-01-30,86.72
2017-01-31,86.64
2017-02-01,86.78
2017-02-02,86.06
2017-02-03,87.58
2017-02-06,86.64
2017-02-07,86.32
2017-02-08,85.32
2017-02-09,86.2
2017-02-10,87.3
2017-02-13,87.66
2017-02-14,86.75
2017-02-15,88.48
2017-02-16,88.05
2017-02-17,87.77
2017-02-21,82.71
2017-02-22,80.17
2017-02-23,78.18
2017-02-24,79.45
2017-02-27,80.93
2017-02-28,80.12
2017-03-01,81.35
2017-03-02,80.04
2017-03-03,79.89
2017-03-06,79.96
2017-03-07,79.5
2017-03-08,79.22
2017-03-09,78.47
2017-03-10,77.55
2017-03-13,78.27
2017-03-14,77.35
2017-03-15,77.55
2017-03-16,77.22
2017-03-17,77.33
2017-03-20,77.27
2017-03-21,76.14
2017-03-22,76.09
2017-03-23,75.97
2017-03-24,75.86
2017-03-27,75.02
2017-03-28,75.81
2017-03-29,76.82
2017-03-30,77.26
2017-03-31,78.0
2017-04-03,78.04
2017-04-04,77.34
2017-04-05,77.37
2017-04-06,79.0
2017-04-07,80.24
2017-04-10,81.15
2017-04-11,81.36
2017-04-12,79.67
2017-04-13,79.01
2017-04-17,80.92
2017-04-18,80.7
2017-04-19,80.93
2017-04-20,81.51
2017-04-21,81.15
2017-04-24,82.19
2017-04-25,84.38
2017-04-26,85.95
2017-04-27,84.64
2017-04-28,83.89
2017-05-01,82.37
2017-05-02,81.86
2017-05-03,82.42
2017-05-04,82.06
2017-05-05,83.0
2017-05-08,82.04
2017-05-09,81.3
2017-05-10,81.37
2017-05-11,80.64
2017-05-12,80.11
2017-05-15,80.33
2017-05-16,79.93
2017-05-17,79.33
2017-05-18,79.41
2017-05-19,81.86
2017-05-22,81.75
2017-05-23,82.01
2017-05-24,81.92
2017-05-25,82.49
2017-05-26,81.25
2017-05-30,82.39
2017-05-31,81.75
2017-06-01,82.99
2017-06-02,84.17
2017-06-05,83.75
2017-06-06,82.25
2017-06-07,83.36
2017-06-08,84.89
2017-06-09,86.07
2017-06-12,87.31
2017-06-13,88.51
2017-06-14,88.03
2017-06-15,88.05
2017-06-16,88.92
2017-06-19,89.21
2017-06-20,88.5
2017-06-21,88.21
2017-06-22,88.35
2017-06-23,88.52
