Date,Close
2017-01-03,58.49
2017-01-04,58.94
2017-01-05,59.02
2017-01-06,58.78
2017-01-09,57.98
2017-01-10,58.1
2017-01-11,58.65
2017-01-12,58.7
2017-01-13,58.74
2017-01-17,59.35
2017-01-18,59.38
2017-01-19,58.56
2017-01-20,58.5
2017-01-23,58.39
2017-01-24,58.43
2017-01-25,58.14
2017-01-26,58.28
2017-01-27,58.23
2017-01-30,58.21
2017-01-31,59.05
2017-02-01,57.22
2017-02-02,57.32
2017-02-03,57.64
2017-02-06,57.49
2017-02-07,57.9
2017-02-08,58.33
2017-02-09,57.95
2017-02-10,57.54
2017-02-13,57.88
2017-02-14,57.36
2017-02-15,57.03
2017-02-16,57.48
2017-02-17,57.54
2017-02-21,58.07
2017-02-22,58.4
2017-02-23,59.28
2017-02-24,59.49
2017-02-27,59.54
2017-02-28,60.27
2017-03-01,59.92
2017-03-02,60.13
2017-03-03,59.29
2017-03-06,59.14
2017-03-07,59.29
2017-03-08,58.38
2017-03-09,58.11
2017-03-10,58.72
2017-03-13,59.24
2017-03-14,59.17
2017-03-15,60.32
2017-03-16,59.71
2017-03-17,60.01
2017-03-20,59.71
2017-03-21,60.74
2017-03-22,60.86
2017-03-23,60.68
2017-03-24,61.08
2017-03-27,60.98
2017-03-28,61.16
2017-03-29,60.93
2017-03-30,60.43
2017-03-31,60.63
2017-04-03,60.6
2017-04-04,60.61
2017-04-05,61.27
2017-04-06,60.82
2017-04-07,60.36
2017-04-10,60.55
2017-04-11,60.64
2017-04-12,61.1
2017-04-13,60.68
2017-04-17,60.94
2017-04-18,60.96
2017-04-19,60.48
2017-04-20,59.77
2017-04-21,60.3
2017-04-24,60.72
2017-04-25,60.73
2017-04-26,60.54
2017-04-27,60.83
2017-04-28,60.52
2017-05-01,60.34
2017-05-02,60.65
2017-05-03,60.68
2017-05-04,61.27
2017-05-05,61.6
2017-05-08,61.56
2017-05-09,60.94
2017-05-10,60.43
2017-05-11,60.49
2017-05-12,60.79
2017-05-15,61.01
2017-05-16,60.59
2017-05-17,60.78
2017-05-18,60.91
2017-05-19,61.01
2017-05-22,61.58
2017-05-23,61.63
2017-05-24,61.96
2017-05-25,62.48
2017-05-26,62.45
2017-05-30,62.57
2017-05-31,62.76
2017-06-01,63.17
2017-06-02,63.57
2017-06-05,63.04
2017-06-06,62.84
2017-06-07,63.38
2017-06-08,62.98
2017-06-09,63.13
2017-06-12,63.27
2017-06-13,63.33
2017-06-14,63.76
2017-06-15,63.88
2017-06-16,64.23
2017-06-19,63.83
2017-06-20,64.14
2017-06-21,63.87
2017-06-22,63.63
2017-06-23,63.46
2017-06-26,63.65
2017-06-27,62.67
2017-06-28,62.19
2017-06-29,61.47
2017-06-30,61.38
2017-07-03,61.11
2017-07-05,60.83
2017-07-06,60.72
2017-07-07,60.92
2017-07-10,60.82
2017-07-11,60.84
2017-07-12,61.37
2017-07-13,60.83
2017-07-14,61.23
2017-07-17,61.6
