Date,Close
2017-01-03,66.17
2017-01-04,66.68
2017-01-05,68.17
2017-01-06,68.45
2017-01-09,68.4
2017-01-10,66.32
2017-01-11,66.4
2017-01-12,66.85
2017-01-13,66.66
2017-01-17,67.3
2017-01-18,67.08
2017-01-19,66.4
2017-01-20,66.76
2017-01-23,67.68
2017-01-24,67.3
2017-01-25,66.36
2017-01-26,66.14
2017-01-27,65.94
2017-01-30,66.34
2017-01-31,66.3
2017-02-01,65.27
2017-02-02,66.34
2017-02-03,65.43
2017-02-06,66.17
2017-02-07,65.87
2017-02-08,66.03
2017-02-09,65.39
2017-02-10,65.87
2017-02-13,66.29
2017-02-14,65.51
2017-02-15,65.58
2017-02-16,66.08
2017-02-17,65.92
2017-02-21,66.94
2017-02-22,67.7
2017-02-23,68.85
2017-02-24,70.06
2017-02-27,70.04
2017-02-28,70.38
2017-03-01,69.48
2017-03-02,69.95
2017-03-03,69.57
2017-03-06,68.54
2017-03-07,68.49
2017-03-08,67.02
2017-03-09,65.8
2017-03-10,66.17
2017-03-13,66.0
2017-03-14,66.05
2017-03-15,67.24
2017-03-16,67.29
2017-03-17,67.28
2017-03-20,67.78
2017-03-21,67.82
2017-03-22,68.66
2017-03-23,69.6
2017-03-24,69.67
2017-03-27,70.13
2017-03-28,70.61
2017-03-29,70.93
2017-03-30,70.78
2017-03-31,70.82
2017-04-03,71.15
2017-04-04,70.58
2017-04-05,71.3
2017-04-06,71.58
2017-04-07,72.26
2017-04-10,72.89
2017-04-11,72.79
2017-04-12,72.93
2017-04-13,72.85
2017-04-17,73.39
2017-04-18,74.24
2017-04-19,73.87
2017-04-20,74.07
2017-04-21,73.68
2017-04-24,72.5
2017-04-25,72.67
2017-04-26,71.83
2017-04-27,72.16
2017-04-28,71.44
2017-05-01,71.2
2017-05-02,70.75
2017-05-03,69.81
2017-05-04,69.86
2017-05-05,69.8
2017-05-08,69.72
2017-05-09,69.03
2017-05-10,70.01
2017-05-11,71.5
2017-05-12,71.85
2017-05-15,71.66
2017-05-16,71.6
2017-05-17,72.26
2017-05-18,72.93
2017-05-19,73.24
2017-05-22,73.4
2017-05-23,73.25
2017-05-24,73.53
2017-05-25,73.16
2017-05-26,72.53
2017-05-30,72.5
2017-05-31,72.54
2017-06-01,72.96
2017-06-02,73.79
2017-06-05,73.47
2017-06-06,73.03
2017-06-07,73.18
2017-06-08,72.9
2017-06-09,73.45
2017-06-12,74.04
2017-06-13,74.14
2017-06-14,74.44
2017-06-15,74.67
2017-06-16,75.6
2017-06-19,76.25
2017-06-20,76.92
2017-06-21,77.15
2017-06-22,77.49
2017-06-23,77.43
2017-06-26,77.66
2017-06-27,76.5
2017-06-28,76.53
2017-06-29,74.5
2017-06-30,74.85
2017-07-03,75.76
2017-07-05,75.09
2017-07-06,73.07
2017-07-07,72.9
2017-07-10,72.53
2017-07-11,72.61
2017-07-12,73.71
2017-07-13,73.3
2017-07-14,73.75
2017-07-17,73.85
2017-07-18,74.05
2017-07-19,74.13
2017-07-20,73.7
2017-07-21,73.93
2017-07-24,73.15
2017-07-25,73.01
2017-07-26,73.29
2017-07-27,72.79
2017-07-28,73.07
2017-07-31,73.39
