Date,Close
2017-01-03,31.46
2017-01-04,31.36
2017-01-05,31.74
2017-01-06,32.42
2017-01-09,31.93
2017-01-10,28.5
2017-01-11,28.78
2017-01-12,28.7
2017-01-13,28.56
2017-01-17,28.44
2017-01-18,28.34
2017-01-19,28.45
2017-01-20,28.21
2017-01-23,28.21
2017-01-24,28.48
2017-01-25,28.81
2017-01-26,28.97
2017-01-27,28.5
2017-01-30,28.17
2017-01-31,28.84
2017-02-01,28.33
2017-02-02,28.64
2017-02-03,28.89
2017-02-06,29.18
2017-02-07,28.53
2017-02-08,28.3
2017-02-09,28.67
2017-02-10,28.44
2017-02-13,29.04
2017-02-14,28.89
2017-02-15,28.99
2017-02-16,27.99
2017-02-17,28.2
2017-02-21,28.87
2017-02-22,28.0
2017-02-23,28.27
2017-02-24,27.97
2017-02-27,28.15
2017-02-28,28.34
2017-03-01,28.79
2017-03-02,29.04
2017-03-03,29.65
2017-03-06,29.83
2017-03-07,29.42
2017-03-08,28.55
2017-03-09,28.85
2017-03-10,28.92
2017-03-13,28.85
2017-03-14,28.11
2017-03-15,28.84
2017-03-16,28.63
2017-03-17,28.57
2017-03-20,28.74
2017-03-21,28.36
2017-03-22,28.44
2017-03-23,28.4
2017-03-24,28.69
2017-03-27,28.66
2017-03-28,28.59
2017-03-29,29.34
2017-03-30,29.06
2017-03-31,29.59
2017-04-03,29.84
2017-04-04,29.92
2017-04-05,29.66
2017-04-06,30.25
2017-04-07,30.35
2017-04-10,30.52
2017-04-11,30.36
2017-04-12,30.38
2017-04-13,30.06
2017-04-17,30.18
2017-04-18,30.42
2017-04-19,30.23
2017-04-20,30.26
2017-04-21,30.01
2017-04-24,29.98
2017-04-25,30.81
2017-04-26,30.78
2017-04-27,30.75
2017-04-28,30.63
2017-05-01,30.8
2017-05-02,30.33
2017-05-03,30.71
2017-05-04,29.53
2017-05-05,30.25
2017-05-08,30.63
2017-05-09,30.06
2017-05-10,30.76
2017-05-11,30.27
2017-05-12,30.32
2017-05-15,30.78
2017-05-16,30.62
2017-05-17,30.09
2017-05-18,29.9
2017-05-19,30.2
2017-05-22,30.24
2017-05-23,30.49
2017-05-24,30.28
2017-05-25,29.86
2017-05-26,29.69
2017-05-30,28.69
2017-05-31,28.6
2017-06-01,28.81
2017-06-02,28.88
2017-06-05,28.99
2017-06-06,29.25
2017-06-07,28.73
2017-06-08,28.93
2017-06-09,29.39
2017-06-12,29.47
2017-06-13,29.55
2017-06-14,28.79
2017-06-15,28.3
2017-06-16,29.12
2017-06-19,28.87
2017-06-20,28.43
2017-06-21,27.85
2017-06-22,28.17
2017-06-23,28.75
2017-06-26,28.97
2017-06-27,29.17
2017-06-28,29.75
2017-06-29,29.8
2017-06-30,30.28
2017-07-03,30.83
2017-07-05,30.35
2017-07-06,30.47
2017-07-07,30.41
2017-07-10,30.44
2017-07-11,30.43
2017-07-12,30.79
2017-07-13,31.16
2017-07-14,31.43
2017-07-17,31.44
2017-07-18,31.15
2017-07-19,31.25
2017-07-20,31.43
2017-07-21,31.45
2017-07-24,31.67
2017-07-25,31.6
2017-07-26,31.61
2017-07-27,31.98
2017-07-28,31.99
2017-07-31,31.78
2017-08-01,31.72
2017-08-02,31.64
2017-08-03,31.06
2017-08-04,30.98
2017-08-07,31.02
2017-08-08,30.49
2017-08-09,30.63
2017-08-10,30.05
2017-08-11,30.08
2017-08-14,30.11
2017-08-15,29.97
2017-08-16,29.62
2017-08-17,29.08
2017-08-18,29.07
2017-08-21,29.01
2017-08-22,29.5
2017-08-23,29.49
2017-08-24,29.47
2017-08-25,29.39
2017-08-28,29.17
2017-08-29,29.17
2017-08-30,29.13
2017-08-31,29.73
2017-09-01,30.06
2017-09-05,30.15
2017-09-06,30.11
2017-09-07,29.81
2017-09-08,29.69
2017-09-11,30.25
2017-09-12,30.21
2017-09-13,30.42
2017-09-14,30.41
2017-09-15,30.3
2017-09-18,30.58
2017-09-19,30.5
2017-09-20,30.39
2017-09-21,29.99
2017-09-22,30.0
2017-09-25,30.59
2017-09-26,30.23
2017-09-27,29.98
2017-09-28,30.0
2017-09-29,30.01
2017-10-02,30.05
2017-10-03,30.29
2017-10-04,30.04
2017-10-05,30.34
2017-10-06,30.11
2017-10-09,30.06
2017-10-10,30.03
2017-10-11,30.16
2017-10-12,30.17
2017-10-13,29.87
2017-10-16,29.94
2017-10-17,29.92
2017-10-18,29.69
2017-10-19,29.6
2017-10-20,29.33
2017-10-23,28.84
2017-10-24,28.77
2017-10-25,28.34
2017-10-26,28.41
2017-10-27,28.62
2017-10-30,28.54
2017-10-31,28.5
2017-11-01,28.79
2017-11-02,28.11
2017-11-03,28.26
2017-11-06,28.79
2017-11-07,28.77
2017-11-08,28.38
2017-11-09,28.67
2017-11-10,28.62
2017-11-13,28.23
2017-11-14,27.72
2017-11-15,27.5
2017-11-16,27.02
2017-11-17,27.26
2017-11-20,27.32
2017-11-21,27.24
2017-11-22,27.75
2017-11-24,28.07
2017-11-27,27.98
2017-11-28,28.36
2017-11-29,28.32
2017-11-30,29.05
2017-12-01,29.29
2017-12-04,29.05
2017-12-05,29.07
2017-12-06,28.69
2017-12-07,28.47
2017-12-08,28.55
2017-12-11,28.9
2017-12-12,29.08
