Date,Close
2017-01-03,22.89
2017-01-04,23.02
2017-01-05,23.07
2017-01-06,22.75
2017-01-09,22.9
2017-01-10,22.74
2017-01-11,22.84
2017-01-12,22.66
2017-01-13,22.38
2017-01-17,22.81
2017-01-18,22.7
2017-01-19,22.54
2017-01-20,22.39
2017-01-23,22.22
2017-01-24,22.47
2017-01-25,22.3
2017-01-26,22.24
2017-01-27,21.89
2017-01-30,22.14
2017-01-31,22.25
2017-02-01,22.08
2017-02-02,22.23
2017-02-03,22.17
2017-02-06,22.13
2017-02-07,22.3
2017-02-08,22.6
2017-02-09,23.03
2017-02-10,22.67
2017-02-13,22.59
2017-02-14,22.89
2017-02-15,22.9
2017-02-16,22.96
2017-02-17,23.12
2017-02-21,23.82
2017-02-22,23.9
2017-02-23,23.77
2017-02-24,24.13
2017-02-27,23.91
2017-02-28,23.64
2017-03-01,23.48
2017-03-02,23.59
2017-03-03,23.34
2017-03-06,23.29
2017-03-07,23.29
2017-03-08,23.27
2017-03-09,23.29
2017-03-10,23.37
2017-03-13,23.32
2017-03-14,23.57
2017-03-15,23.53
2017-03-16,23.48
2017-03-17,23.3
2017-03-20,23.33
2017-03-21,23.3
2017-03-22,23.42
2017-03-23,23.29
2017-03-24,23.2
2017-03-27,23.22
2017-03-28,23.44
2017-03-29,23.58
2017-03-30,23.86
2017-03-31,24.03
2017-04-03,23.94
2017-04-04,24.0
2017-04-05,23.88
2017-04-06,23.81
2017-04-07,24.3
2017-04-10,24.35
2017-04-11,24.48
2017-04-12,24.48
2017-04-13,24.38
2017-04-17,24.5
2017-04-18,24.63
2017-04-19,24.69
2017-04-20,24.93
2017-04-21,24.98
2017-04-24,24.93
2017-04-25,25.02
2017-04-26,25.14
2017-04-27,25.15
2017-04-28,25.06
2017-05-01,25.08
2017-05-02,25.17
2017-05-03,25.25
2017-05-04,25.45
2017-05-05,25.5
2017-05-08,25.37
2017-05-09,25.57
2017-05-10,25.57
2017-05-11,25.38
2017-05-12,25.24
2017-05-15,25.43
2017-05-16,25.04
2017-05-17,25.04
2017-05-18,25.85
2017-05-19,26.26
2017-05-22,26.18
2017-05-23,26.16
2017-05-24,26.05
2017-05-25,26.1
2017-05-26,26.04
2017-05-30,26.05
2017-05-31,26.2
2017-06-01,26.6
2017-06-02,26.54
2017-06-05,26.75
2017-06-06,26.31
2017-06-07,26.38
2017-06-08,26.31
2017-06-09,26.47
2017-06-12,26.41
2017-06-13,26.51
2017-06-14,26.63
2017-06-15,26.3
2017-06-16,25.08
2017-06-19,25.17
2017-06-20,25.18
2017-06-21,25.41
2017-06-22,25.17
2017-06-23,24.95
2017-06-26,25.17
2017-06-27,25.34
2017-06-28,25.5
2017-06-29,25.31
2017-06-30,25.23
2017-07-03,25.12
2017-07-05,25.11
2017-07-06,25.16
2017-07-07,25.11
2017-07-10,24.41
2017-07-11,24.49
2017-07-12,24.65
2017-07-13,25.02
2017-07-14,25.45
2017-07-17,25.46
2017-07-18,25.4
2017-07-19,25.29
2017-07-20,25.34
2017-07-21,25.38
2017-07-24,25.63
2017-07-25,26.17
2017-07-26,26.3
2017-07-27,26.59
2017-07-28,26.6
2017-07-31,26.66
2017-08-01,26.83
2017-08-02,26.84
2017-08-03,26.96
2017-08-04,26.83
2017-08-07,27.09
2017-08-08,27.2
2017-08-09,27.2
2017-08-10,26.89
2017-08-11,26.8
2017-08-14,26.9
2017-08-15,26.92
2017-08-16,26.99
2017-08-17,26.57
2017-08-18,26.44
2017-08-21,26.57
2017-08-22,26.67
2017-08-23,26.65
2017-08-24,26.11
2017-08-25,26.21
2017-08-28,26.01
2017-08-29,26.26
2017-08-30,26.18
2017-08-31,26.02
2017-09-01,26.12
2017-09-05,26.6
2017-09-06,26.69
2017-09-07,26.71
2017-09-08,26.29
2017-09-11,26.36
2017-09-12,26.54
2017-09-13,26.62
2017-09-14,26.56
2017-09-15,26.79
2017-09-18,26.67
2017-09-19,26.68
2017-09-20,26.83
2017-09-21,26.67
2017-09-22,26.51
2017-09-25,26.38
2017-09-26,26.46
2017-09-27,26.43
2017-09-28,26.32
2017-09-29,26.05
2017-10-02,26.15
2017-10-03,26.41
2017-10-04,26.36
2017-10-05,26.47
2017-10-06,26.33
2017-10-09,26.84
2017-10-10,28.04
2017-10-11,28.58
2017-10-12,28.7
2017-10-13,28.87
2017-10-16,28.58
2017-10-17,28.66
2017-10-18,28.74
2017-10-19,28.8
2017-10-20,29.15
2017-10-23,29.55
2017-10-24,29.33
2017-10-25,29.49
2017-10-26,29.54
2017-10-27,29.39
2017-10-30,28.98
2017-10-31,29.1
2017-11-01,29.31
2017-11-02,29.6
2017-11-03,29.89
2017-11-06,29.57
2017-11-07,29.65
2017-11-08,30.09
2017-11-09,30.1
2017-11-10,30.31
2017-11-13,30.33
2017-11-14,30.36
2017-11-15,29.94
2017-11-16,33.21
2017-11-17,32.49
2017-11-20,32.49
2017-11-21,32.17
2017-11-22,32.14
2017-11-24,32.21
2017-11-27,32.21
2017-11-28,32.26
2017-11-29,32.52
2017-11-30,32.41
2017-12-01,32.45
2017-12-04,32.34
2017-12-05,32.61
2017-12-06,32.43
2017-12-07,32.26
2017-12-08,32.18
2017-12-11,32.31
2017-12-12,32.23
2017-12-13,32.59
2017-12-14,32.38
2017-12-15,32.37
2017-12-18,32.63
2017-12-19,32.93
2017-12-20,32.92
2017-12-21,32.69
2017-12-22,32.74
2017-12-26,33.05
2017-12-27,33.09
2017-12-28,33.13
2017-12-29,32.92
2018-01-02,32.86
2018-01-03,33.15
2018-01-04,33.18
2018-01-05,33.38
2018-01-08,33.87
2018-01-09,33.46
2018-01-10,33.22
2018-01-11,33.34
2018-01-12,33.62
2018-01-16,33.56
2018-01-17,34.23
2018-01-18,34.77
2018-01-19,34.86
2018-01-22,35.15
2018-01-23,35.3
2018-01-24,35.26
2018-01-25,35.53
2018-01-26,36.13
2018-01-29,36.52
2018-01-30,35.91
2018-01-31,35.53
2018-02-01,35.17
2018-02-02,34.83
2018-02-05,33.36
2018-02-06,33.63
2018-02-07,34.28
2018-02-08,33.34
2018-02-09,33.12
2018-02-12,33.18
2018-02-13,33.66
2018-02-14,33.9
2018-02-15,34.41
2018-02-16,34.93
2018-02-20,31.37
2018-02-21,30.51
2018-02-22,30.92
2018-02-23,30.96
2018-02-26,31.04
2018-02-27,30.51
2018-02-28,30.0
2018-03-01,29.69
2018-03-02,29.59
2018-03-05,29.99
2018-03-06,29.69
2018-03-07,29.25
2018-03-08,29.31
2018-03-09,29.57
2018-03-12,29.36
2018-03-13,29.43
2018-03-14,29.22
2018-03-15,29.17
2018-03-16,29.72
2018-03-19,29.15
2018-03-20,29.32
