Date,Close
2017-01-03,19.76
2017-01-04,20.05
2017-01-05,19.95
2017-01-06,19.87
2017-01-09,19.55
2017-01-10,19.83
2017-01-11,19.91
2017-01-12,19.78
2017-01-13,19.89
2017-01-17,19.88
2017-01-18,19.9
2017-01-19,19.89
2017-01-20,19.8
2017-01-23,19.77
2017-01-24,19.95
2017-01-25,20.02
2017-01-26,20.13
2017-01-27,20.09
2017-01-30,19.94
2017-01-31,19.91
2017-02-01,19.88
2017-02-02,20.09
2017-02-03,20.11
2017-02-06,20.14
2017-02-07,20.15
2017-02-08,20.05
2017-02-09,20.23
2017-02-10,20.23
2017-02-13,20.33
2017-02-14,20.48
2017-02-15,20.73
2017-02-16,20.97
2017-02-17,20.91
2017-02-21,20.95
2017-02-22,21.08
2017-02-23,21.2
2017-02-24,21.19
2017-02-27,21.0
2017-02-28,21.04
2017-03-01,21.37
2017-03-02,21.04
2017-03-03,21.08
2017-03-06,21.02
2017-03-07,21.08
2017-03-08,21.07
2017-03-09,21.23
2017-03-10,21.38
2017-03-13,21.52
2017-03-14,21.48
2017-03-15,21.62
2017-03-16,21.5
2017-03-17,21.54
2017-03-20,21.38
2017-03-21,21.16
2017-03-22,20.99
2017-03-23,21.02
2017-03-24,20.87
2017-03-27,20.96
2017-03-28,21.01
2017-03-29,20.77
2017-03-30,20.96
2017-03-31,20.93
2017-04-03,20.65
2017-04-04,20.79
2017-04-05,20.6
2017-04-06,20.5
2017-04-07,20.33
2017-04-10,20.47
2017-04-11,20.5
2017-04-12,20.31
2017-04-13,20.15
2017-04-17,20.44
2017-04-18,20.37
2017-04-19,20.27
2017-04-20,20.22
2017-04-21,20.15
2017-04-24,20.41
2017-04-25,20.21
2017-04-26,20.29
2017-04-27,20.32
2017-04-28,20.14
2017-05-01,20.11
2017-05-02,19.99
2017-05-03,20.0
2017-05-04,20.04
2017-05-05,20.0
2017-05-08,19.8
2017-05-09,19.5
2017-05-10,19.64
2017-05-11,19.63
2017-05-12,19.6
2017-05-15,19.65
2017-05-16,19.69
2017-05-17,19.68
2017-05-18,19.82
2017-05-19,19.88
2017-05-22,20.05
2017-05-23,20.15
2017-05-24,20.14
2017-05-25,20.28
2017-05-26,20.24
2017-05-30,20.28
2017-05-31,20.44
2017-06-01,20.49
2017-06-02,20.47
2017-06-05,20.33
2017-06-06,20.07
2017-06-07,20.03
2017-06-08,20.23
2017-06-09,20.47
2017-06-12,20.51
2017-06-13,20.35
2017-06-14,20.57
2017-06-15,20.63
2017-06-16,20.79
2017-06-19,20.71
2017-06-20,20.55
2017-06-21,20.46
2017-06-22,20.29
2017-06-23,20.31
2017-06-26,20.4
2017-06-27,20.27
2017-06-28,20.56
2017-06-29,20.51
2017-06-30,20.49
2017-07-03,20.75
2017-07-05,20.54
2017-07-06,20.51
2017-07-07,20.57
2017-07-10,20.44
2017-07-11,20.47
2017-07-12,20.51
2017-07-13,20.58
2017-07-14,20.71
2017-07-17,20.53
2017-07-18,20.3
2017-07-19,20.56
2017-07-20,20.79
2017-07-21,20.91
2017-07-24,21.11
2017-07-25,21.39
2017-07-26,20.47
2017-07-27,20.29
2017-07-28,20.43
2017-07-31,20.44
2017-08-01,20.54
2017-08-02,20.49
2017-08-03,20.5
2017-08-04,20.33
2017-08-07,20.19
2017-08-08,19.88
2017-08-09,20.26
2017-08-10,20.31
2017-08-11,20.26
2017-08-14,20.49
2017-08-15,20.22
2017-08-16,20.21
2017-08-17,20.03
2017-08-18,19.94
2017-08-21,19.84
2017-08-22,19.91
2017-08-23,19.8
2017-08-24,19.84
2017-08-25,20.0
2017-08-28,19.77
2017-08-29,19.76
2017-08-30,19.51
2017-08-31,19.75
2017-09-01,19.64
2017-09-05,18.8
2017-09-06,18.87
2017-09-07,18.53
2017-09-08,19.11
2017-09-11,19.49
2017-09-12,19.54
2017-09-13,19.48
2017-09-14,19.38
2017-09-15,19.41
2017-09-18,19.32
2017-09-19,19.25
2017-09-20,19.32
2017-09-21,19.31
2017-09-22,19.36
2017-09-25,19.49
2017-09-26,19.7
2017-09-27,19.69
2017-09-28,19.77
2017-09-29,19.77
2017-10-02,19.96
2017-10-03,19.93
2017-10-04,20.03
2017-10-05,20.07
2017-10-06,20.02
2017-10-09,19.93
2017-10-10,19.96
2017-10-11,19.94
2017-10-12,19.92
2017-10-13,19.97
2017-10-16,20.21
2017-10-17,20.28
2017-10-18,20.38
2017-10-19,20.57
2017-10-20,20.78
2017-10-23,20.75
2017-10-24,20.78
2017-10-25,20.83
2017-10-26,20.91
2017-10-27,20.61
2017-10-30,20.37
2017-10-31,20.32
2017-11-01,20.31
2017-11-02,20.5
2017-11-03,20.52
2017-11-06,20.57
2017-11-07,20.45
2017-11-08,20.36
2017-11-09,20.35
2017-11-10,20.37
2017-11-13,20.19
2017-11-14,20.08
2017-11-15,20.18
2017-11-16,19.88
2017-11-17,19.86
2017-11-20,19.83
2017-11-21,19.85
2017-11-22,19.68
2017-11-24,19.61
2017-11-27,19.67
2017-11-28,19.91
2017-11-29,20.3
2017-11-30,20.48
2017-12-01,20.6
2017-12-04,20.67
2017-12-05,20.59
2017-12-06,20.65
2017-12-07,20.7
2017-12-08,20.86
2017-12-11,20.89
2017-12-12,21.04
2017-12-13,20.89
2017-12-14,20.81
2017-12-15,21.11
2017-12-18,20.9
2017-12-19,20.77
2017-12-20,20.96
2017-12-21,20.95
2017-12-22,21.01
2017-12-26,21.01
2017-12-27,21.05
2017-12-28,21.27
2017-12-29,21.23
2018-01-02,20.75
2018-01-03,20.58
2018-01-04,20.66
2018-01-05,20.58
2018-01-08,20.47
2018-01-09,20.38
2018-01-10,20.13
2018-01-11,20.33
2018-01-12,20.57
2018-01-16,20.57
2018-01-17,20.77
2018-01-18,20.75
2018-01-19,20.96
2018-01-22,21.23
2018-01-23,21.35
2018-01-24,21.27
2018-01-25,21.43
2018-01-26,21.36
2018-01-29,21.24
2018-01-30,21.21
2018-01-31,21.62
2018-02-01,21.76
2018-02-02,21.72
2018-02-05,21.07
2018-02-06,20.98
2018-02-07,20.78
2018-02-08,20.08
2018-02-09,20.15
2018-02-12,20.15
2018-02-13,20.21
2018-02-14,20.57
2018-02-15,20.66
2018-02-16,20.69
2018-02-20,20.36
2018-02-21,20.49
2018-02-22,20.38
2018-02-23,20.46
2018-02-26,20.76
2018-02-27,20.59
2018-02-28,20.26
2018-03-01,20.12
2018-03-02,20.21
2018-03-05,20.79
2018-03-06,20.89
2018-03-07,20.93
2018-03-08,20.89
2018-03-09,21.33
2018-03-12,21.52
2018-03-13,21.36
2018-03-14,21.13
2018-03-15,21.09
2018-03-16,21.14
2018-03-19,21.21
2018-03-20,21.35
2018-03-21,21.17
2018-03-22,21.1
2018-03-23,20.81
2018-03-26,21.25
2018-03-27,21.1
2018-03-28,21.51
2018-03-29,21.54
2018-04-02,21.19
2018-04-03,21.54
2018-04-04,21.7
2018-04-05,21.73
2018-04-06,21.39
2018-04-09,21.41
2018-04-10,21.53
2018-04-11,21.56
2018-04-12,21.7
2018-04-13,21.65
2018-04-16,22.03
2018-04-17,22.01
2018-04-18,21.96
2018-04-19,21.97
2018-04-20,22.15
2018-04-23,22.13
2018-04-24,22.02
2018-04-25,22.56
2018-04-26,22.39
2018-04-27,22.47
2018-04-30,22.09
2018-05-01,22.21
2018-05-02,21.91
2018-05-03,21.87
2018-05-04,22.17
2018-05-07,22.27
2018-05-08,22.32
2018-05-09,22.3
2018-05-10,22.56
2018-05-11,22.79
2018-05-14,22.55
2018-05-15,22.58
2018-05-16,22.65
2018-05-17,22.73
2018-05-18,22.68
2018-05-21,22.92
2018-05-22,22.81
2018-05-23,22.76
2018-05-24,22.76
2018-05-25,22.73
2018-05-29,22.31
2018-05-30,22.8
2018-05-31,22.66
2018-06-01,22.82
2018-06-04,22.99
2018-06-05,22.84
2018-06-06,23.05
2018-06-07,23.17
2018-06-08,23.2
2018-06-11,23.1
2018-06-12,22.81
2018-06-13,22.68
2018-06-14,22.31
2018-06-15,22.33
2018-06-18,22.01
2018-06-19,22.16
2018-06-20,21.99
2018-06-21,21.76
2018-06-22,21.85
2018-06-25,21.83
2018-06-26,21.66
2018-06-27,21.29
2018-06-28,21.37
2018-06-29,21.45
2018-07-02,21.3
2018-07-03,21.38
2018-07-05,21.44
2018-07-06,21.47
2018-07-09,21.81
2018-07-10,21.87
2018-07-11,21.9
2018-07-12,21.75
2018-07-13,21.74
2018-07-16,22.05
2018-07-17,21.87
2018-07-18,22.11
2018-07-19,22.05
2018-07-20,22.12
2018-07-23,22.13
2018-07-24,22.01
2018-07-25,22.03
2018-07-26,22.55
2018-07-27,22.34
2018-07-30,22.34
2018-07-31,22.46
2018-08-01,22.47
2018-08-02,22.45
2018-08-03,22.52
2018-08-06,22.5
2018-08-07,22.35
2018-08-08,22.4
2018-08-09,22.57
2018-08-10,22.51
2018-08-13,22.51
2018-08-14,22.64
2018-08-15,22.67
2018-08-16,22.88
2018-08-17,22.95
2018-08-20,23.12
2018-08-21,23.14
2018-08-22,22.85
2018-08-23,23.01
2018-08-24,23.14
2018-08-27,23.21
2018-08-28,23.35
2018-08-29,23.28
2018-08-30,23.15
2018-08-31,23.19
2018-09-04,23.34
2018-09-05,23.31
2018-09-06,23.34
2018-09-07,23.27
2018-09-10,23.19
2018-09-11,23.31
2018-09-12,23.28
2018-09-13,23.61
2018-09-14,23.83
2018-09-17,23.59
2018-09-18,23.4
2018-09-19,23.18
2018-09-20,23.36
2018-09-21,23.35
2018-09-24,23.16
2018-09-25,23.5
2018-09-26,23.39
2018-09-27,23.45
2018-09-28,23.68
2018-10-01,23.25
2018-10-02,23.39
2018-10-03,23.45
2018-10-04,23.49
2018-10-05,23.34
2018-10-08,23.42
2018-10-09,23.51
2018-10-10,22.83
2018-10-11,22.05
2018-10-12,21.81
2018-10-15,21.76
2018-10-16,22.14
2018-10-17,22.1
2018-10-18,21.95
2018-10-19,21.91
2018-10-22,21.75
2018-10-23,21.39
2018-10-24,21.64
2018-10-25,21.96
2018-10-26,21.92
2018-10-29,22.11
2018-10-30,22.31
2018-10-31,22.49
