Date,Close
2017-01-03,30.36
2017-01-04,30.63
2017-01-05,30.95
2017-01-06,30.85
2017-01-09,30.97
2017-01-10,30.73
2017-01-11,30.96
2017-01-12,30.57
2017-01-13,30.64
2017-01-17,30.6
2017-01-18,30.5
2017-01-19,30.21
2017-01-20,30.23
2017-01-23,30.43
2017-01-24,31.13
2017-01-25,32.19
2017-01-26,31.8
2017-01-27,31.24
2017-01-30,31.16
2017-01-31,31.33
2017-02-01,31.11
2017-02-02,31.44
2017-02-03,32.11
2017-02-06,31.42
2017-02-07,32.05
2017-02-08,32.41
2017-02-09,33.17
2017-02-10,33.16
2017-02-13,33.79
2017-02-14,33.29
2017-02-15,33.66
2017-02-16,33.52
2017-02-17,33.52
2017-02-21,33.98
2017-02-22,33.76
2017-02-23,33.66
2017-02-24,33.47
2017-02-27,33.94
2017-02-28,33.72
2017-03-01,34.07
2017-03-02,34.19
2017-03-03,34.14
2017-03-06,33.72
2017-03-07,33.47
2017-03-08,33.6
2017-03-09,33.22
2017-03-10,33.28
2017-03-13,33.34
2017-03-14,33.31
2017-03-15,33.88
2017-03-16,33.74
2017-03-17,33.2
2017-03-20,33.38
2017-03-21,33.08
2017-03-22,33.16
2017-03-23,33.47
2017-03-24,33.13
2017-03-27,33.51
2017-03-28,33.63
2017-03-29,33.53
2017-03-30,33.89
2017-03-31,33.98
2017-04-03,33.71
2017-04-04,33.96
2017-04-05,33.97
2017-04-06,34.41
2017-04-07,34.86
2017-04-10,34.73
2017-04-11,34.64
2017-04-12,34.58
2017-04-13,34.43
2017-04-17,34.96
2017-04-18,34.76
2017-04-19,34.49
2017-04-20,34.78
2017-04-21,34.56
2017-04-24,34.89
2017-04-25,34.0
2017-04-26,34.26
2017-04-27,34.67
2017-04-28,33.87
2017-05-01,33.58
2017-05-02,33.7
2017-05-03,33.26
2017-05-04,33.1
2017-05-05,33.55
2017-05-08,33.34
2017-05-09,33.21
2017-05-10,33.21
2017-05-11,32.97
2017-05-12,32.87
2017-05-15,33.1
2017-05-16,33.12
2017-05-17,32.76
2017-05-18,32.7
2017-05-19,33.02
2017-05-22,33.13
2017-05-23,33.07
2017-05-24,33.18
2017-05-25,33.17
2017-05-26,33.01
2017-05-30,33.14
2017-05-31,32.96
2017-06-01,33.51
2017-06-02,33.51
2017-06-05,33.38
2017-06-06,33.41
2017-06-07,33.02
2017-06-08,32.59
2017-06-09,33.23
2017-06-12,33.6
2017-06-13,33.81
2017-06-14,33.77
2017-06-15,33.6
2017-06-16,33.66
2017-06-19,34.04
2017-06-20,33.96
2017-06-21,33.76
2017-06-22,33.94
2017-06-23,34.14
2017-06-26,33.63
2017-06-27,32.85
2017-06-28,33.2
2017-06-29,33.07
2017-06-30,33.5
2017-07-03,33.69
2017-07-05,33.21
2017-07-06,32.06
2017-07-07,32.01
2017-07-10,32.22
2017-07-11,32.51
2017-07-12,32.93
2017-07-13,32.72
2017-07-14,33.15
2017-07-17,33.4
2017-07-18,33.08
2017-07-19,33.82
2017-07-20,34.0
2017-07-21,34.43
2017-07-24,34.13
2017-07-25,34.12
2017-07-26,33.92
2017-07-27,34.23
2017-07-28,32.94
2017-07-31,33.02
2017-08-01,33.22
2017-08-02,32.37
2017-08-03,32.86
2017-08-04,32.78
2017-08-07,32.72
2017-08-08,32.46
2017-08-09,32.43
2017-08-10,32.12
2017-08-11,32.22
2017-08-14,32.24
2017-08-15,31.94
2017-08-16,31.91
2017-08-17,31.28
2017-08-18,31.17
2017-08-21,31.48
2017-08-22,31.38
2017-08-23,31.36
2017-08-24,31.38
2017-08-25,31.7
2017-08-28,31.77
2017-08-29,31.52
2017-08-30,31.75
2017-08-31,32.61
2017-09-01,32.07
2017-09-05,32.3
2017-09-06,33.23
2017-09-07,33.15
2017-09-08,33.58
2017-09-11,33.33
2017-09-12,33.24
2017-09-13,33.1
2017-09-14,33.06
2017-09-15,32.99
2017-09-18,33.37
2017-09-19,33.28
2017-09-20,33.4
2017-09-21,33.42
2017-09-22,33.58
2017-09-25,33.81
2017-09-26,33.72
2017-09-27,33.8
2017-09-28,34.01
2017-09-29,34.03
2017-10-02,34.12
2017-10-03,34.12
2017-10-04,34.32
2017-10-05,34.22
2017-10-06,34.2
2017-10-09,34.12
2017-10-10,34.32
2017-10-11,34.39
2017-10-12,34.59
2017-10-13,34.9
2017-10-16,35.02
2017-10-17,35.03
2017-10-18,35.23
2017-10-19,35.18
2017-10-20,35.28
2017-10-23,34.82
2017-10-24,34.87
2017-10-25,34.68
2017-10-26,34.88
2017-10-27,35.51
2017-10-30,35.61
2017-10-31,35.91
2017-11-01,35.81
2017-11-02,35.61
2017-11-03,35.71
2017-11-06,35.66
2017-11-07,35.99
2017-11-08,36.41
2017-11-09,36.27
2017-11-10,36.14
2017-11-13,35.96
2017-11-14,36.2
2017-11-15,36.55
2017-11-16,36.55
2017-11-17,36.28
2017-11-20,36.11
2017-11-21,36.11
2017-11-22,36.19
2017-11-24,36.17
2017-11-27,35.53
2017-11-28,35.68
2017-11-29,35.37
2017-11-30,35.38
2017-12-01,35.4
2017-12-04,35.13
2017-12-05,35.19
2017-12-06,35.24
2017-12-07,35.62
2017-12-08,35.43
2017-12-11,35.44
2017-12-12,35.63
2017-12-13,35.76
2017-12-14,35.65
2017-12-15,35.84
2017-12-18,36.01
2017-12-19,35.48
2017-12-20,35.42
2017-12-21,35.21
2017-12-22,34.94
2017-12-26,35.06
2017-12-27,35.1
2017-12-28,35.26
2017-12-29,35.26
2018-01-02,35.3
2018-01-03,35.61
2018-01-04,35.32
2018-01-05,35.27
2018-01-08,35.5
2018-01-09,35.26
2018-01-10,34.83
2018-01-11,34.99
2018-01-12,35.26
2018-01-16,34.76
2018-01-17,35.21
2018-01-18,35.3
2018-01-19,35.8
2018-01-22,35.98
2018-01-23,36.61
2018-01-24,37.59
2018-01-25,37.73
2018-01-26,37.85
2018-01-29,37.07
2018-01-30,36.79
2018-01-31,37.54
2018-02-01,37.16
2018-02-02,35.68
2018-02-05,34.79
2018-02-06,34.68
2018-02-07,34.52
2018-02-08,33.6
2018-02-09,33.79
2018-02-12,34.36
2018-02-13,34.21
2018-02-14,34.96
2018-02-15,34.95
2018-02-16,35.18
2018-02-20,34.94
2018-02-21,34.76
2018-02-22,34.86
2018-02-23,35.4
2018-02-26,35.66
