Date,Close
2017-01-03,87.46
2017-01-04,90.28
2017-01-05,91.44
2017-01-06,92.43
2017-01-09,92.75
2017-01-10,94.83
2017-01-11,92.93
2017-01-12,91.94
2017-01-13,90.53
2017-01-17,92.34
2017-01-18,91.98
2017-01-19,90.93
2017-01-20,90.82
2017-01-23,92.64
2017-01-24,94.03
2017-01-25,96.42
2017-01-26,95.5
2017-01-27,103.08
2017-01-30,102.55
2017-01-31,101.43
2017-02-01,97.86
2017-02-02,97.38
2017-02-03,96.92
2017-02-06,97.02
2017-02-07,97.01
2017-02-08,97.18
2017-02-09,98.88
2017-02-10,98.9
2017-02-13,98.97
2017-02-14,97.68
2017-02-15,99.79
2017-02-16,96.72
2017-02-17,95.91
2017-02-21,95.97
2017-02-22,94.75
2017-02-23,93.84
2017-02-24,94.01
2017-02-27,95.51
2017-02-28,96.15
2017-03-01,102.71
2017-03-02,100.15
2017-03-03,101.04
2017-03-06,100.37
2017-03-07,99.46
2017-03-08,99.23
2017-03-09,98.99
2017-03-10,99.55
2017-03-13,104.3
2017-03-14,104.7
2017-03-15,104.75
2017-03-16,106.17
2017-03-17,110.19
2017-03-20,111.64
2017-03-21,111.75
2017-03-22,113.35
2017-03-23,112.32
2017-03-24,111.92
2017-03-27,114.65
2017-03-28,115.18
2017-03-29,115.49
2017-03-30,114.3
2017-03-31,114.61
2017-04-03,116.34
2017-04-04,116.74
2017-04-05,116.68
2017-04-06,117.85
2017-04-07,116.83
2017-04-10,116.18
2017-04-11,116.23
2017-04-12,115.39
2017-04-13,113.47
2017-04-17,114.64
2017-04-18,115.89
2017-04-19,114.94
2017-04-20,116.15
2017-04-21,115.9
2017-04-24,115.57
2017-04-25,118.22
2017-04-26,125.19
2017-04-27,124.5
2017-04-28,123.01
2017-05-01,125.92
2017-05-02,125.3
2017-05-03,125.85
2017-05-04,124.32
2017-05-05,122.14
2017-05-08,120.2
2017-05-09,123.46
2017-05-10,123.27
2017-05-11,122.23
2017-05-12,125.29
2017-05-15,125.69
2017-05-16,127.91
2017-05-17,122.62
2017-05-18,122.42
2017-05-19,121.73
2017-05-22,125.16
2017-05-23,124.15
2017-05-24,124.0
2017-05-25,124.44
2017-05-26,125.73
2017-05-30,126.58
2017-05-31,128.7
2017-06-01,133.59
2017-06-02,134.68
2017-06-05,133.28
2017-06-06,132.6
2017-06-07,132.31
2017-06-08,134.73
2017-06-09,129.59
2017-06-12,130.25
2017-06-13,134.16
2017-06-14,133.49
2017-06-15,134.04
2017-06-16,134.46
2017-06-19,138.42
2017-06-20,137.13
2017-06-21,137.46
2017-06-22,137.05
2017-06-23,138.32
2017-06-26,137.15
2017-06-27,135.63
2017-06-28,135.94
2017-06-29,132.76
2017-06-30,134.12
2017-07-03,131.01
2017-07-05,132.42
2017-07-06,130.91
2017-07-07,132.46
2017-07-10,134.95
2017-07-11,134.29
2017-07-12,135.27
2017-07-13,134.98
2017-07-14,130.42
2017-07-17,129.85
2017-07-18,133.55
