Date,Close
2017-01-03,43.18
2017-01-04,43.8
2017-01-05,43.09
2017-01-06,43.37
2017-01-09,42.9
2017-01-10,43.56
2017-01-11,43.92
2017-01-12,42.97
2017-01-13,43.85
2017-01-17,41.77
2017-01-18,42.48
2017-01-19,42.31
2017-01-20,42.46
2017-01-23,42.31
2017-01-24,42.56
2017-01-25,43.28
2017-01-26,43.47
2017-01-27,43.12
2017-01-30,42.26
2017-01-31,42.19
2017-02-01,42.46
2017-02-02,41.77
2017-02-03,43.31
2017-02-06,42.97
2017-02-07,42.82
2017-02-08,42.17
2017-02-09,43.15
2017-02-10,43.57
2017-02-13,44.08
2017-02-14,45.08
2017-02-15,45.3
2017-02-16,44.9
2017-02-17,44.65
2017-02-21,44.89
2017-02-22,44.74
2017-02-23,44.82
2017-02-24,44.55
2017-02-27,45.11
2017-02-28,44.9
2017-03-01,46.53
2017-03-02,44.96
2017-03-03,45.36
2017-03-06,45.33
2017-03-07,45.28
2017-03-08,45.26
2017-03-09,45.28
2017-03-10,44.91
2017-03-13,45.03
2017-03-14,44.49
2017-03-15,44.07
2017-03-16,44.36
2017-03-17,43.76
2017-03-20,43.19
2017-03-21,40.84
2017-03-22,40.73
2017-03-23,40.89
2017-03-24,40.91
2017-03-27,40.78
2017-03-28,41.3
2017-03-29,41.32
2017-03-30,42.38
2017-03-31,42.0
2017-04-03,41.77
2017-04-04,41.66
2017-04-05,41.05
2017-04-06,41.5
2017-04-07,41.52
2017-04-10,40.93
2017-04-11,40.94
2017-04-12,40.19
2017-04-13,39.45
2017-04-17,40.18
2017-04-18,39.83
2017-04-19,39.98
2017-04-20,41.08
2017-04-21,40.85
2017-04-24,41.96
2017-04-25,40.49
2017-04-26,41.18
2017-04-27,40.66
2017-04-28,40.03
2017-05-01,40.52
2017-05-02,39.98
2017-05-03,40.58
2017-05-04,40.67
2017-05-05,40.75
2017-05-08,41.2
2017-05-09,40.93
2017-05-10,40.94
2017-05-11,40.4
2017-05-12,40.15
2017-05-15,40.54
2017-05-16,40.66
2017-05-17,38.99
2017-05-18,39.58
2017-05-19,40.1
2017-05-22,40.21
2017-05-23,41.34
2017-05-24,40.7
2017-05-25,40.88
2017-05-26,40.45
2017-05-30,39.87
2017-05-31,40.07
2017-06-01,40.55
2017-06-02,40.1
2017-06-05,40.46
2017-06-06,40.26
2017-06-07,40.46
2017-06-08,41.39
2017-06-09,42.34
2017-06-12,42.93
2017-06-13,43.13
2017-06-14,43.23
2017-06-15,42.87
2017-06-16,43.09
2017-06-19,43.36
2017-06-20,42.96
2017-06-21,42.33
2017-06-22,42.3
2017-06-23,41.93
2017-06-26,42.34
2017-06-27,42.54
2017-06-28,42.97
2017-06-29,43.99
2017-06-30,43.91
2017-07-03,44.73
2017-07-05,44.74
2017-07-06,44.12
2017-07-07,44.44
2017-07-10,44.66
2017-07-11,45.2
2017-07-12,44.79
2017-07-13,45.0
2017-07-14,44.72
2017-07-17,44.34
2017-07-18,44.08
2017-07-19,43.98
2017-07-20,43.84
2017-07-21,43.54
2017-07-24,44.32
2017-07-25,44.65
2017-07-26,45.67
2017-07-27,45.14
2017-07-28,45.26
2017-07-31,45.32
2017-08-01,45.38
2017-08-02,45.72
2017-08-03,45.49
2017-08-04,46.12
2017-08-07,45.76
2017-08-08,45.81
2017-08-09,45.29
2017-08-10,44.44
2017-08-11,44.11
2017-08-14,44.99
2017-08-15,45.13
2017-08-16,45.12
2017-08-17,43.85
2017-08-18,43.92
2017-08-21,43.54
2017-08-22,43.99
2017-08-23,43.93
